#Coverage (X)	Coverage
1.0	97.84406185562847
2.0	97.59276726195684
3.0	97.29236328065383
4.0	96.872612523932
5.0	96.21266177302695
6.0	95.14758005151683
7.0	93.48295435339054
8.0	91.01561855259492
9.0	87.58093574396267
10.0	83.09473773515369
11.0	77.58123204186637
12.0	71.16316043968595
13.0	64.06244290079151
14.0	56.56207442234337
15.0	48.96331321699688
16.0	41.55518039654372
17.0	34.59036481241955
18.0	28.25157838650877
19.0	22.659302546880326
20.0	17.86491282991345
21.0	13.85860796951647
22.0	10.590458045036257
23.0	7.986749195339954
24.0	5.953182571478322
25.0	4.3961525716777174
26.0	3.2255922601250973
27.0	2.3599097884940647
28.0	1.7290459009320216
29.0	1.2749217379519564
30.0	0.9515010290476198
31.0	0.7231430547939794
32.0	0.5637610417048364
33.0	0.4523195533929396
34.0	0.37450055309668073
35.0	0.3196406093347264
36.0	0.2808031553642678
37.0	0.25266172214674043
38.0	0.2317232857642466
39.0	0.21571410468052932
40.0	0.20318242068897518
41.0	0.1928390806921101
42.0	0.18422135115801552
43.0	0.17682998492061586
44.0	0.1703429283141702
45.0	0.1645106430678851
46.0	0.15922631827061196
47.0	0.15437887739976475
48.0	0.14991815686450138
49.0	0.14575236070605513
50.0	0.1418917263919326
51.0	0.13824087484975678
