#Position (bp)	insert size	chromosomes
1465207.0	374.3787766714083	0.0
4395620.0	374.173449168207	500.0
7326033.0	374.6226896673121	0.0
1.0256446E7	374.7880277369555	0.0
1.3186859E7	374.66945107398567	500.0
1.6117272E7	374.70912308412306	0.0
1.9047685E7	374.7507615174967	0.0
2.1978098E7	374.9916802079948	500.0
2.4908511E7	374.9496695290516	0.0
2.7838924E7	375.0223171821405	0.0
3.0769337E7	374.7012136895433	500.0
3.369975E7	374.71419115026225	0.0
3.6630163E7	375.262159927963	0.0
3.9560576E7	374.3086968844703	500.0
4.2490989E7	375.1209232930883	0.0
4.5421402E7	374.9164648910412	0.0
4.8351815E7	375.4985642315549	500.0
5.1282228E7	374.9934187789077	0.0
5.4212641E7	375.2051684101277	0.0
5.7143054E7	375.40047332639926	500.0
6.0073467E7	375.3743813463708	0.0
6.300388E7	373.78111855772266	0.0
6.5934293E7	375.1680525613387	500.0
6.8864706E7	375.02911989588415	0.0
7.1795119E7	375.24795224109687	0.0
7.4725532E7	375.2833843893595	500.0
7.7655945E7	375.3242408368897	0.0
8.0586358E7	375.4626572298214	0.0
8.3516771E7	375.50195177427037	500.0
8.6447184E7	375.3262791300804	0.0
8.9377597E7	375.27699150828954	0.0
9.230801E7	374.92375771414925	500.0
9.5238423E7	375.0138293318241	0.0
9.8168836E7	374.9686588921283	0.0
1.01099249E8	375.12466314223866	500.0
1.04029662E8	374.5562207011907	0.0
1.06960075E8	374.70452793413915	0.0
1.09890488E8	374.2771381338327	500.0
1.12820901E8	375.0270971210217	0.0
1.15751314E8	374.8609238544725	0.0
1.18681727E8	375.11359850756213	500.0
1.2161214E8	375.12818443035724	0.0
1.24542553E8	374.98874124500884	0.0
1.27472966E8	374.81847947137874	500.0
1.30403379E8	375.0295673778503	0.0
1.33333792E8	375.09441443854246	0.0
1.36264205E8	375.15600970675087	500.0
1.39194618E8	374.80062856444226	0.0
1.42125031E8	375.1251755937434	0.0
1.45055444E8	374.92469568654434	500.0
1.47985857E8	374.9521193208708	0.0
1.5091627E8	374.92347790584927	0.0
1.53846683E8	374.6206820423002	500.0
1.56777096E8	375.26738668682725	0.0
1.59707509E8	375.04433273417516	0.0
1.62637922E8	374.73564422580546	500.0
1.65568335E8	374.4068660120555	0.0
1.68498748E8	374.50714454641854	0.0
1.71429161E8	374.61725836089676	500.0
1.74359574E8	375.1644922070454	0.0
1.77289987E8	374.5004952928832	0.0
1.802204E8	374.4861869590895	500.0
1.83150813E8	375.1570000073688	0.0
1.86081226E8	374.88295974167636	0.0
1.89011639E8	374.6947534041967	500.0
1.91942052E8	375.08447022776613	0.0
1.94872465E8	375.2827400356413	0.0
1.97802878E8	374.9141791863143	500.0
2.00733291E8	374.71491672700944	0.0
2.03663704E8	374.9382432632919	0.0
2.06594117E8	375.001699497265	500.0
2.0952453E8	372.515856328756	0.0
2.12454943E8	374.3719606866651	0.0
2.141011355E8	374.9118558475841	500.0
2.15566342E8	374.68811014216817	0.0
2.18315769E8	375.25443851830204	0.0
2.21246182E8	375.21245264662963	500.0
2.24176595E8	374.60494968558265	0.0
2.27107008E8	374.7532916630495	0.0
2.30037421E8	375.2869167321577	500.0
2.32967834E8	374.65996826685364	0.0
2.35898247E8	374.6538074052285	0.0
2.3882866E8	375.167518545486	500.0
2.41759073E8	375.1262939357424	0.0
2.44689486E8	374.42927043335163	0.0
2.47619899E8	374.6075818545638	500.0
2.50550312E8	374.6992833475764	0.0
2.53480725E8	375.3695784882652	0.0
2.56411138E8	375.31414143641535	500.0
2.59341551E8	375.33776951240776	0.0
2.62271964E8	374.8536133924825	0.0
2.65202377E8	375.15269461077844	500.0
2.6813279E8	374.92780006625196	0.0
2.71063203E8	375.1866577463443	0.0
2.73993616E8	374.47940656089565	500.0
2.76924029E8	374.4545926806928	0.0
2.79854442E8	374.8367920739055	0.0
2.82784855E8	375.11261748874574	500.0
2.85715268E8	374.9406760259658	0.0
2.88645681E8	375.1964529331514	0.0
2.91576094E8	375.08046002580414	500.0
2.94506507E8	374.79676048132455	0.0
2.9743692E8	374.9024626635535	0.0
3.00367333E8	374.79399353763074	500.0
3.03297746E8	375.26665741896704	0.0
3.06228159E8	374.73779481174955	0.0
3.09158572E8	374.70254165865776	500.0
3.12088985E8	374.7312651881691	0.0
3.15019398E8	374.85509489589094	0.0
3.17949811E8	375.0502156226382	500.0
3.20880224E8	375.0458324403816	0.0
3.23810637E8	374.78865473168105	0.0
3.2674105E8	374.87561750966375	500.0
3.29671463E8	374.9121360735423	0.0
3.32601876E8	374.80905369438176	0.0
3.35532289E8	375.37486131861954	500.0
3.38462702E8	375.0650385929394	0.0
3.41393115E8	374.6072131812127	0.0
3.44323528E8	374.4194353364478	500.0
3.47253941E8	374.58872825395434	0.0
3.50184354E8	374.75470352855586	0.0
3.53114767E8	374.78863300574085	500.0
3.5604518E8	374.54257358172765	0.0
3.58975593E8	375.5565077549854	0.0
3.61906006E8	374.8470638643989	500.0
3.64836419E8	375.02630962832893	0.0
3.67766832E8	375.2879536819251	0.0
3.70697245E8	375.04557037165733	500.0
3.73627658E8	375.0067723520176	0.0
3.76133706E8	374.872905792605	0.0
3.775989125E8	373.4938311168082	500.0
3.79488484E8	375.3660151347777	0.0
3.82418897E8	375.000097236974	0.0
3.8534931E8	375.44802319451765	500.0
3.88279723E8	374.9627286703102	0.0
3.91210136E8	374.88608214065346	0.0
3.94140549E8	374.9622490707762	500.0
3.97070962E8	372.74337925671614	0.0
4.00001375E8	375.1710510216567	0.0
4.02931788E8	375.43788833658795	500.0
4.05862201E8	374.9230555839453	0.0
4.08792614E8	375.31782832736894	0.0
4.11723027E8	375.2765527406456	500.0
4.1465344E8	374.8774607295134	0.0
4.17583853E8	374.7048178357803	0.0
4.20514266E8	375.0773039262567	500.0
4.23444679E8	375.1384531232907	0.0
4.26375092E8	374.8298464720388	0.0
4.29305505E8	374.8066176734182	500.0
4.32235918E8	374.67765740420236	0.0
4.35166331E8	374.62750347679287	0.0
4.38096744E8	375.2363929382463	500.0
4.41027157E8	375.4055172916439	0.0
4.4395757E8	374.71725022968224	0.0
4.46887983E8	375.0288736133634	500.0
4.49818396E8	374.985224543271	0.0
4.52748809E8	374.79286737898826	0.0
4.55679222E8	374.95656676189566	500.0
4.58609635E8	375.2202600041224	0.0
4.61540048E8	375.08224644374656	0.0
4.64470461E8	375.00654315541834	500.0
4.67400874E8	375.2746266711085	0.0
4.70331287E8	374.5977116212339	0.0
4.732617E8	374.54129385224013	500.0
4.76192113E8	374.9110585495433	0.0
4.79122526E8	374.76866910298037	0.0
4.82052939E8	375.0671585864991	500.0
4.84983352E8	374.89326507642596	0.0
4.87913765E8	374.5825701452488	0.0
4.90844178E8	375.08763861209053	500.0
4.93774591E8	375.35950864488893	0.0
4.96705004E8	374.5405098314089	0.0
4.99635417E8	374.40282671300093	500.0
5.01414164E8	370.1286279425013	0.0
5.028793705E8	374.14833141542005	0.0
5.05496243E8	373.6294316509565	500.0
5.08426656E8	374.9701091207031	0.0
5.11357069E8	374.9307531224291	0.0
5.14287482E8	374.21836017833283	500.0
5.17217895E8	375.0328641293425	0.0
5.20148308E8	347.19780910662666	0.0
5.23078721E8	375.28420385321635	500.0
5.26009134E8	375.2986459748391	0.0
5.28939547E8	374.7895729529439	0.0
5.3186996E8	374.8022566854126	500.0
5.34800373E8	375.02498642440963	0.0
5.37730786E8	374.594399906201	0.0
5.40661199E8	374.89313078036275	500.0
5.43591612E8	375.70679427291026	0.0
5.46522025E8	375.3471504802561	0.0
5.49452438E8	374.968427519326	500.0
5.52382851E8	375.21386765364645	0.0
5.55313264E8	374.87863947936756	0.0
5.58243677E8	374.8773272252246	500.0
5.6117409E8	374.92254856547294	0.0
5.64104503E8	374.940698006428	0.0
5.67034916E8	375.1784944508172	500.0
5.69965329E8	374.94112857724417	0.0
5.72895742E8	374.3457897580508	0.0
5.75826155E8	374.79943872506254	500.0
5.78756568E8	374.7947204360986	0.0
5.81686981E8	374.1434671997093	0.0
5.83308E8	374.2285693960304	500.0
5.847732065E8	375.22041736030536	0.0
5.87547807E8	375.31623506363263	0.0
5.9047822E8	375.26152891295084	500.0
5.93408633E8	374.9695926648517	0.0
5.96339046E8	375.4046938885509	0.0
5.99269459E8	375.2491284147928	500.0
6.02199872E8	374.7839337952271	0.0
6.05130285E8	374.8482451188128	0.0
6.08060698E8	375.18219155820174	500.0
6.10991111E8	375.0752257140537	0.0
6.13921524E8	375.2497781493623	0.0
6.16851937E8	374.57480332151925	500.0
6.1978235E8	374.5049636983257	0.0
6.22712763E8	375.08128139788863	0.0
6.25643176E8	375.40602272222304	500.0
6.28573589E8	374.87083991929313	0.0
6.31504002E8	375.0931034987986	0.0
6.34434415E8	375.0719993446481	500.0
6.37364828E8	375.2227967775583	0.0
6.40295241E8	374.44804343073673	0.0
6.43225654E8	374.5496220680494	500.0
6.46156067E8	373.9786486028364	0.0
6.4908648E8	374.65089955740154	0.0
6.52016893E8	374.9284390981038	500.0
6.53723606E8	375.3515262012586	0.0
6.551888125E8	359.4227067905547	0.0
6.57877719E8	374.4383411087456	500.0
6.60808132E8	374.7229860124168	0.0
6.63738545E8	374.78541998936737	0.0
6.66668958E8	375.80606150646264	500.0
6.69599371E8	375.2100396593872	0.0
6.72529784E8	374.9749728441143	0.0
6.75460197E8	375.05495356037153	500.0
6.7839061E8	375.1944128537424	0.0
6.81321023E8	374.8661996052159	0.0
6.84251436E8	372.3444418666313	500.0
6.87181849E8	374.9941750313909	0.0
6.90112262E8	375.2417272786842	0.0
6.93042675E8	375.8151341066806	500.0
6.95973088E8	374.82824386667073	0.0
6.98903501E8	374.6779254756072	0.0
7.01833914E8	375.3171970005582	500.0
7.04432853E8	375.37704456292124	0.0
7.058980595E8	377.237522249911	0.0
7.0769474E8	374.612787610968	500.0
7.10625153E8	375.76115389035743	0.0
7.13555566E8	374.90700819462415	0.0
7.16485979E8	374.92948048936046	500.0
7.19416392E8	375.41278959292555	0.0
7.22346805E8	337.66982027591445	0.0
7.25277218E8	375.2776531060939	500.0
7.28207631E8	375.00528804012015	0.0
7.31138044E8	375.7048062987191	0.0
7.34068457E8	375.03155334471313	500.0
7.3699887E8	375.3756003842459	0.0
7.39929283E8	375.0223178119511	0.0
7.42859696E8	374.8456288975174	500.0
7.45790109E8	375.31055037191226	0.0
7.48720522E8	374.5270085931178	0.0
7.51540364E8	375.32987204510954	500.0
7.530055705E8	374.6073158165894	0.0
7.54581348E8	375.5972939672919	0.0
7.57511761E8	375.1885560164023	500.0
7.60442174E8	375.4403643652028	0.0
7.63372587E8	374.65781726541394	0.0
7.66303E8	374.87699310003853	500.0
7.69233413E8	375.4210165628441	0.0
7.72163826E8	264.235887880821	0.0
7.75094239E8	375.9588471881395	500.0
7.78024652E8	374.6658821459209	0.0
7.80955065E8	375.0858461674372	0.0
7.83885478E8	374.86760639423323	500.0
7.86815891E8	375.35390955587445	0.0
7.89746304E8	374.8381719057417	0.0
7.92676717E8	374.7881876446502	500.0
7.95279906E8	375.08426527423734	0.0
7.967451125E8	375.4019744207348	0.0
7.98537543E8	374.5130980833216	500.0
8.01467956E8	374.602780740515	0.0
8.04398369E8	374.7181659698317	0.0
8.07328782E8	375.37461066680476	500.0
8.10259195E8	375.3196932251456	0.0
8.13189608E8	375.69069154088004	0.0
8.16120021E8	375.23579198374966	500.0
8.19050434E8	295.5834809031271	0.0
8.21980847E8	374.9796952461614	0.0
8.2491126E8	374.50216975581054	500.0
8.27841673E8	374.74754348960437	0.0
8.30772086E8	374.8927222032134	0.0
8.33702499E8	375.2510037848254	500.0
8.36632912E8	375.122294506723	0.0
8.39295702E8	375.37073117635856	0.0
8.407609085E8	374.5884620065723	500.0
8.42493738E8	374.81801366389215	0.0
8.45424151E8	374.85004136842184	0.0
8.48354564E8	374.67461596538607	500.0
8.51284977E8	374.7428012973953	0.0
8.5421539E8	374.8236270947999	0.0
8.57145803E8	374.79352699179424	500.0
8.60076216E8	374.98660516792495	0.0
8.63006629E8	374.56041645446214	0.0
8.65937042E8	375.93714267983336	500.0
8.68867455E8	375.2422025134702	0.0
8.71797868E8	374.73565021930625	0.0
8.74728281E8	374.93343523567364	500.0
8.77658694E8	374.70684510285076	0.0
8.80557671E8	374.1956939312356	0.0
8.820228775E8	378.12722736992157	500.0
8.8351952E8	375.10287642977687	0.0
8.86449933E8	375.38674376814265	0.0
8.89380346E8	374.74197506078656	500.0
8.92310759E8	374.9920060309309	0.0
8.95241172E8	374.8592872067868	0.0
8.98171585E8	375.1629306205738	500.0
9.01101998E8	375.7137835296225	0.0
9.04032411E8	375.01606517660616	0.0
9.06962824E8	375.79003792744845	500.0
9.09893237E8	375.47800718132856	0.0
9.1282365E8	375.4385948629899	0.0
9.15754063E8	375.1821807217197	500.0
9.18684476E8	375.4857758451835	0.0
9.206553255E8	374.5693760719934	0.0
9.22120532E8	372.4831579298312	500.0
9.24545302E8	375.7512016846474	0.0
9.27475715E8	374.7692245091221	0.0
9.30406128E8	375.04298579382686	500.0
9.33336541E8	374.9226161342402	0.0
9.36266954E8	375.0548478595335	0.0
9.39197367E8	374.71755768873123	500.0
9.4212778E8	293.9480830316313	0.0
9.45058193E8	375.75695933946815	0.0
9.47988606E8	374.57129704055535	500.0
9.50919019E8	375.3055883187268	0.0
9.53849432E8	374.69882141153664	0.0
9.558546685E8	374.7627295194134	500.0
9.57319875E8	374.7141817584301	0.0
9.59710258E8	374.85086390291	0.0
9.62640671E8	375.2402750079538	500.0
9.65571084E8	375.18641550199175	0.0
9.68501497E8	375.9516897063688	0.0
9.7143191E8	372.675619986754	500.0
9.74362323E8	363.9186450327355	0.0
9.77292736E8	375.8098338713487	0.0
9.80223149E8	375.125139853963	500.0
9.83153562E8	375.4877347952615	0.0
9.86083975E8	375.4424551012005	0.0
9.89014388E8	375.11387362101897	500.0
9.906721855E8	374.7788388749782	0.0
9.92137392E8	375.677929584866	0.0
9.94875214E8	375.0667458712753	500.0
9.97805627E8	375.1523620142957	0.0
1.00073604E9	375.39850277279334	0.0
1.0030115745E9	374.9885395399483	500.0
1.004476781E9	375.9636613495225	0.0
1.006596866E9	375.6996226124461	0.0
1.009527279E9	375.0310408440182	500.0
1.012457692E9	375.15624673600024	0.0
1.0153660385E9	376.36901252900924	0.0
1.016831245E9	375.182156133829	500.0
1.018318518E9	374.8828704207401	0.0
1.021248931E9	375.92431238707087	0.0
1.024179344E9	374.7333196923969	500.0
1.0260173155E9	375.2443907054989	0.0
1.027482522E9	375.46841644607633	0.0
1.03004017E9	375.0943262471201	500.0
1.032970583E9	375.64985565534	0.0
1.0346323705E9	372.3931437277806	0.0
1.036097577E9	373.1280627026612	500.0
1.038831409E9	375.47304571934	0.0
1.041698028E9	375.5928968330443	0.0
1.0431632345E9	374.0135401974612	500.0
1.044692235E9	374.85528222625794	0.0
1.047622648E9	375.1336230309614	0.0
1.0499199825E9	375.2507743452526	500.0
1.051385189E9	375.57214759919714	0.0
1.053483474E9	375.69276950952377	0.0
1.056413887E9	376.16373647529934	500.0
1.058138154E9	374.8745406824147	0.0
1.0596033605E9	375.61157447352446	0.0
1.062274713E9	374.9422251464737	500.0
1.0643680305E9	375.29148845562776	0.0
1.065833237E9	355.50106476262056	0.0
1.068135539E9	374.6876963242302	500.0
1.0703193955E9	375.24745884387596	0.0
1.071784602E9	374.0034153758015	0.0
1.0733669345E9	374.1936129466365	500.0
1.074832141E9	373.6381683931518	0.0
1.076010314E9	369.83009216812235	0.0
1.0770442535E9	371.4560554437045	500.0
1.0779607175E9	373.9612873012982	0.0
1.079857191E9	374.1295612624912	0.0
1.082787604E9	375.0788606313418	500.0
1.085718017E9	374.93939214408437	0.0
1.08864843E9	370.818048545672	0.0
1.091578843E9	374.74155630657646	500.0
1.094509256E9	374.7383462494517	0.0
1.097439669E9	374.8052863945431	0.0
1.100370082E9	374.7661515299119	500.0
1.103300495E9	375.68869979380247	0.0
1.106230908E9	374.80691199317636	0.0
1.109161321E9	374.85928379279596	500.0
1.112091734E9	375.26871484834834	0.0
1.115022147E9	375.24900926133125	0.0
1.11795256E9	374.8319233105655	500.0
1.120882973E9	374.8569345910406	0.0
1.123813386E9	367.34378100017506	0.0
1.126743799E9	375.10446367195675	500.0
1.129674212E9	375.23193382922443	0.0
1.132604625E9	374.97463235562964	0.0
1.135535038E9	375.42619738804086	500.0
1.138465451E9	374.92949371758425	0.0
1.141395864E9	375.0694333075768	0.0
1.144326277E9	375.15548032354815	500.0
1.14725669E9	374.7253112336169	0.0
1.150187103E9	375.3344371595201	0.0
1.153117516E9	374.5282936487026	500.0
1.156047929E9	374.722948476871	0.0
1.158978342E9	372.66585573624553	0.0
1.160446805E9	361.9198966408269	500.0
1.16046081E9	368.37535816618913	0.0
1.160730567E9	373.36071247289004	0.0
