#Insert size (bp)	insert size
1.0	590.0
2.0	271.0
3.0	252.0
4.0	260.0
5.0	231.0
6.0	270.0
7.0	281.0
8.0	254.0
9.0	255.0
10.0	236.0
11.0	237.0
12.0	242.0
13.0	236.0
14.0	236.0
15.0	208.0
16.0	188.0
17.0	197.0
18.0	186.0
19.0	198.0
20.0	171.0
21.0	175.0
22.0	192.0
23.0	175.0
24.0	168.0
25.0	178.0
26.0	146.0
27.0	165.0
28.0	157.0
29.0	140.0
30.0	171.0
31.0	77.0
32.0	103.0
33.0	95.0
34.0	98.0
35.0	79.0
36.0	88.0
37.0	122.0
38.0	115.0
39.0	192.0
40.0	4539.0
41.0	4624.0
42.0	4578.0
43.0	4565.0
44.0	4414.0
45.0	4434.0
46.0	4371.0
47.0	4450.0
48.0	4527.0
49.0	4665.0
50.0	4688.0
51.0	4580.0
52.0	4545.0
53.0	4386.0
54.0	4454.0
55.0	4445.0
56.0	4651.0
57.0	4715.0
58.0	4635.0
59.0	4565.0
60.0	4597.0
61.0	4511.0
62.0	4566.0
63.0	4639.0
64.0	4667.0
65.0	4459.0
66.0	4404.0
67.0	4489.0
68.0	4475.0
69.0	4489.0
70.0	4678.0
71.0	4397.0
72.0	4348.0
73.0	4598.0
74.0	4466.0
75.0	4612.0
76.0	4383.0
77.0	4483.0
78.0	4831.0
79.0	4668.0
80.0	4479.0
81.0	4511.0
82.0	4684.0
83.0	4672.0
84.0	4593.0
85.0	4756.0
86.0	4785.0
87.0	4618.0
88.0	4657.0
89.0	4930.0
90.0	4867.0
91.0	4750.0
92.0	4727.0
93.0	4747.0
94.0	4794.0
95.0	4845.0
96.0	4611.0
97.0	4795.0
98.0	4757.0
99.0	4759.0
100.0	4920.0
101.0	4807.0
102.0	4916.0
103.0	4863.0
104.0	4947.0
105.0	5008.0
106.0	4913.0
107.0	4977.0
108.0	5199.0
109.0	4897.0
110.0	4995.0
111.0	5166.0
112.0	5138.0
113.0	5032.0
114.0	5349.0
115.0	5285.0
116.0	5194.0
117.0	5292.0
118.0	5146.0
119.0	5434.0
120.0	5359.0
121.0	5412.0
122.0	5147.0
123.0	5698.0
124.0	5576.0
125.0	5398.0
126.0	5534.0
127.0	5486.0
128.0	5321.0
129.0	5368.0
130.0	5655.0
131.0	5798.0
132.0	5583.0
133.0	5907.0
134.0	5808.0
135.0	5860.0
136.0	5951.0
137.0	5991.0
138.0	5933.0
139.0	6122.0
140.0	6171.0
141.0	6218.0
142.0	6227.0
143.0	6102.0
144.0	6293.0
145.0	6282.0
146.0	6113.0
