#Coverage	Number of genomic locations
0.0	2.5255065E7
1.0	4162341.0
2.0	6444818.0
3.0	1.0200229E7
4.0	1.5506812E7
5.0	2.2552036E7
6.0	3.1406358E7
7.0	4.2083893E7
8.0	5.3968777E7
9.0	6.6106227E7
10.0	7.7284644E7
11.0	8.6100737E7
12.0	9.1354483E7
13.0	9.2667465E7
14.0	8.9940487E7
15.0	8.38507E7
16.0	7.5197436E7
17.0	6.5119939E7
18.0	5.4507735E7
19.0	4.4280223E7
20.0	3.4946735E7
21.0	2.6836946E7
22.0	2.0096757E7
23.0	1.4766042E7
24.0	1.0606943E7
25.0	7495720.0
26.0	5217540.0
27.0	3596873.0
28.0	2455611.0
29.0	1682301.0
30.0	1151301.0
31.0	787431.0
32.0	556297.0
33.0	399158.0
34.0	294819.0
35.0	226148.0
36.0	179210.0
37.0	148202.0
38.0	125266.0
39.0	108947.0
40.0	96304.0
41.0	87298.0
42.0	79797.0
43.0	71567.0
44.0	66090.0
45.0	61922.0
46.0	57707.0
47.0	54204.0
48.0	49867.0
49.0	47517.0
50.0	43764.0
51.0	41759.0
52.0	39600.0
53.0	37575.0
54.0	35828.0
55.0	34331.0
56.0	32665.0
57.0	31154.0
58.0	30207.0
59.0	29429.0
60.0	27839.0
61.0	26630.0
62.0	25790.0
63.0	25501.0
64.0	23794.0
65.0	22713.0
66.0	21889.0
67.0	21271.0
68.0	20474.0
69.0	19542.0
70.0	19361.0
71.0	19034.0
72.0	18828.0
73.0	17863.0
74.0	16871.0
75.0	16377.0
76.0	16223.0
77.0	15764.0
78.0	14908.0
79.0	14504.0
80.0	14193.0
81.0	13961.0
82.0	13551.0
83.0	13043.0
84.0	12717.0
85.0	12429.0
86.0	12550.0
87.0	12104.0
88.0	11591.0
89.0	11468.0
90.0	11553.0
91.0	11131.0
92.0	10604.0
93.0	10307.0
94.0	10199.0
95.0	9966.0
96.0	10016.0
97.0	9896.0
98.0	9539.0
99.0	9365.0
100.0	9294.0
101.0	9205.0
102.0	8992.0
103.0	8583.0
104.0	8468.0
105.0	8098.0
106.0	8096.0
107.0	7950.0
108.0	7751.0
109.0	7437.0
110.0	7502.0
111.0	7620.0
112.0	7147.0
113.0	7143.0
114.0	6972.0
115.0	6794.0
116.0	6613.0
117.0	6454.0
118.0	6271.0
119.0	6198.0
120.0	6160.0
121.0	6126.0
122.0	6095.0
123.0	5882.0
124.0	5933.0
125.0	5592.0
126.0	5520.0
127.0	5398.0
128.0	5308.0
129.0	5236.0
130.0	5288.0
131.0	5314.0
132.0	5064.0
133.0	5019.0
134.0	4945.0
135.0	4826.0
136.0	4857.0
137.0	4742.0
138.0	4579.0
139.0	4487.0
140.0	4452.0
141.0	4299.0
142.0	4437.0
143.0	4363.0
144.0	4225.0
145.0	4152.0
146.0	4281.0
147.0	4064.0
148.0	4228.0
149.0	4146.0
150.0	4121.0
151.0	3882.0
152.0	3782.0
153.0	3871.0
154.0	3912.0
155.0	3855.0
156.0	3820.0
157.0	3774.0
158.0	3620.0
159.0	3635.0
160.0	3446.0
161.0	3480.0
162.0	3344.0
163.0	3271.0
164.0	3348.0
165.0	3164.0
166.0	3155.0
167.0	3201.0
168.0	3214.0
169.0	3119.0
170.0	3117.0
171.0	2899.0
172.0	3047.0
173.0	2948.0
174.0	2907.0
175.0	2815.0
176.0	2868.0
177.0	2709.0
178.0	2729.0
179.0	2853.0
180.0	2748.0
181.0	2700.0
182.0	2791.0
183.0	2689.0
184.0	2564.0
185.0	2466.0
186.0	2445.0
187.0	2381.0
188.0	2436.0
189.0	2421.0
190.0	2510.0
191.0	2435.0
192.0	2409.0
193.0	2253.0
194.0	2454.0
195.0	2265.0
196.0	2241.0
197.0	2187.0
198.0	2189.0
199.0	2158.0
200.0	2177.0
201.0	2120.0
202.0	2096.0
203.0	2070.0
204.0	2046.0
205.0	1945.0
206.0	1987.0
207.0	2054.0
208.0	2004.0
209.0	1961.0
210.0	1904.0
211.0	2046.0
212.0	1917.0
213.0	1882.0
214.0	1916.0
215.0	1878.0
216.0	1776.0
217.0	1793.0
218.0	1720.0
219.0	1802.0
220.0	1751.0
221.0	1752.0
222.0	1678.0
223.0	1771.0
224.0	1813.0
225.0	1745.0
226.0	1797.0
227.0	1785.0
228.0	1688.0
229.0	1762.0
230.0	1648.0
231.0	1565.0
232.0	1582.0
233.0	1526.0
234.0	1553.0
235.0	1581.0
236.0	1578.0
237.0	1466.0
238.0	1597.0
239.0	1559.0
240.0	1591.0
241.0	1526.0
242.0	1482.0
243.0	1413.0
244.0	1427.0
245.0	1481.0
246.0	1463.0
247.0	1512.0
248.0	1466.0
249.0	1371.0
250.0	1444.0
251.0	1365.0
252.0	1394.0
253.0	1357.0
254.0	1357.0
255.0	1448.0
256.0	1332.0
257.0	1422.0
258.0	1336.0
259.0	1289.0
260.0	1271.0
261.0	1306.0
262.0	1379.0
263.0	1309.0
264.0	1293.0
265.0	1239.0
266.0	1234.0
267.0	1144.0
268.0	1137.0
269.0	1189.0
270.0	1200.0
271.0	1143.0
272.0	1171.0
273.0	1128.0
274.0	1182.0
275.0	1143.0
276.0	1103.0
277.0	1121.0
278.0	1117.0
279.0	1104.0
280.0	1092.0
281.0	1021.0
282.0	962.0
283.0	980.0
284.0	1013.0
285.0	1055.0
286.0	995.0
287.0	983.0
288.0	950.0
289.0	964.0
290.0	981.0
291.0	907.0
292.0	938.0
293.0	965.0
294.0	938.0
295.0	908.0
296.0	949.0
297.0	881.0
298.0	837.0
299.0	857.0
300.0	857.0
301.0	844.0
302.0	849.0
303.0	876.0
304.0	822.0
305.0	863.0
306.0	820.0
307.0	749.0
308.0	742.0
309.0	836.0
310.0	846.0
311.0	796.0
312.0	780.0
313.0	811.0
314.0	787.0
315.0	804.0
316.0	753.0
317.0	758.0
318.0	828.0
319.0	788.0
320.0	783.0
321.0	815.0
322.0	788.0
323.0	749.0
324.0	748.0
325.0	788.0
326.0	768.0
327.0	724.0
328.0	736.0
329.0	712.0
330.0	702.0
331.0	776.0
332.0	696.0
333.0	715.0
334.0	731.0
335.0	705.0
336.0	696.0
337.0	712.0
338.0	699.0
339.0	702.0
340.0	686.0
341.0	675.0
342.0	667.0
343.0	681.0
344.0	727.0
345.0	715.0
346.0	718.0
347.0	651.0
348.0	612.0
349.0	596.0
350.0	587.0
351.0	597.0
352.0	593.0
353.0	636.0
354.0	623.0
355.0	626.0
356.0	660.0
357.0	606.0
358.0	656.0
359.0	589.0
360.0	661.0
361.0	693.0
362.0	674.0
363.0	667.0
364.0	614.0
365.0	641.0
366.0	608.0
367.0	632.0
368.0	593.0
369.0	612.0
370.0	590.0
371.0	565.0
372.0	533.0
373.0	544.0
374.0	602.0
375.0	540.0
376.0	541.0
377.0	523.0
378.0	547.0
379.0	504.0
380.0	488.0
381.0	466.0
382.0	471.0
383.0	493.0
384.0	453.0
385.0	488.0
386.0	445.0
387.0	483.0
388.0	492.0
389.0	490.0
390.0	513.0
391.0	460.0
392.0	488.0
393.0	510.0
394.0	507.0
395.0	528.0
396.0	524.0
397.0	472.0
398.0	468.0
399.0	474.0
400.0	470.0
401.0	459.0
402.0	441.0
403.0	538.0
404.0	497.0
405.0	482.0
406.0	459.0
407.0	433.0
408.0	509.0
409.0	475.0
410.0	470.0
411.0	468.0
412.0	442.0
413.0	445.0
414.0	482.0
415.0	405.0
416.0	448.0
417.0	400.0
418.0	443.0
419.0	419.0
420.0	418.0
421.0	453.0
422.0	406.0
423.0	402.0
424.0	392.0
425.0	416.0
426.0	407.0
427.0	384.0
428.0	370.0
429.0	384.0
430.0	382.0
431.0	348.0
432.0	443.0
433.0	422.0
434.0	415.0
435.0	358.0
436.0	402.0
437.0	409.0
438.0	404.0
439.0	362.0
440.0	439.0
441.0	394.0
442.0	393.0
443.0	414.0
444.0	381.0
445.0	425.0
446.0	413.0
447.0	431.0
448.0	428.0
449.0	458.0
450.0	439.0
451.0	456.0
452.0	471.0
453.0	447.0
454.0	455.0
455.0	422.0
456.0	423.0
457.0	457.0
458.0	431.0
459.0	404.0
460.0	446.0
461.0	448.0
462.0	425.0
463.0	459.0
464.0	406.0
465.0	435.0
466.0	450.0
467.0	387.0
468.0	427.0
469.0	451.0
470.0	439.0
471.0	400.0
472.0	471.0
473.0	443.0
474.0	419.0
475.0	427.0
476.0	445.0
477.0	388.0
478.0	383.0
479.0	350.0
480.0	331.0
481.0	341.0
482.0	336.0
483.0	351.0
484.0	360.0
485.0	308.0
486.0	342.0
487.0	347.0
488.0	342.0
489.0	329.0
490.0	384.0
491.0	382.0
492.0	412.0
493.0	379.0
494.0	396.0
495.0	405.0
496.0	403.0
497.0	388.0
498.0	347.0
499.0	391.0
500.0	389.0
501.0	371.0
502.0	359.0
503.0	332.0
504.0	366.0
505.0	367.0
506.0	379.0
507.0	392.0
508.0	379.0
509.0	365.0
510.0	372.0
511.0	410.0
512.0	393.0
513.0	415.0
514.0	424.0
515.0	420.0
516.0	439.0
517.0	414.0
518.0	396.0
519.0	388.0
520.0	417.0
521.0	360.0
522.0	381.0
523.0	367.0
524.0	369.0
525.0	351.0
526.0	369.0
527.0	364.0
528.0	363.0
529.0	355.0
530.0	368.0
531.0	400.0
532.0	356.0
533.0	370.0
534.0	361.0
535.0	349.0
536.0	361.0
537.0	339.0
538.0	332.0
539.0	352.0
540.0	328.0
541.0	340.0
542.0	320.0
543.0	376.0
544.0	380.0
545.0	305.0
546.0	330.0
547.0	338.0
548.0	309.0
549.0	328.0
550.0	305.0
551.0	365.0
552.0	389.0
553.0	381.0
554.0	349.0
555.0	390.0
556.0	345.0
557.0	332.0
558.0	362.0
559.0	329.0
560.0	338.0
561.0	364.0
562.0	325.0
563.0	313.0
564.0	306.0
565.0	315.0
566.0	314.0
567.0	318.0
568.0	329.0
569.0	314.0
570.0	284.0
571.0	295.0
572.0	304.0
573.0	293.0
574.0	282.0
575.0	284.0
576.0	286.0
577.0	265.0
578.0	263.0
579.0	278.0
580.0	238.0
581.0	272.0
582.0	275.0
583.0	292.0
584.0	262.0
585.0	278.0
586.0	272.0
587.0	260.0
588.0	262.0
589.0	237.0
590.0	233.0
591.0	240.0
592.0	229.0
593.0	230.0
594.0	249.0
595.0	228.0
596.0	221.0
597.0	249.0
598.0	248.0
599.0	249.0
600.0	233.0
601.0	221.0
602.0	194.0
603.0	202.0
604.0	215.0
605.0	215.0
606.0	212.0
607.0	193.0
608.0	209.0
609.0	190.0
610.0	194.0
611.0	208.0
612.0	194.0
613.0	202.0
614.0	178.0
615.0	170.0
616.0	179.0
617.0	203.0
618.0	166.0
619.0	164.0
620.0	166.0
621.0	188.0
622.0	191.0
623.0	188.0
624.0	190.0
625.0	166.0
626.0	184.0
627.0	160.0
628.0	178.0
629.0	159.0
630.0	173.0
631.0	182.0
632.0	142.0
633.0	191.0
634.0	160.0
635.0	190.0
636.0	156.0
637.0	179.0
638.0	164.0
639.0	168.0
640.0	180.0
641.0	153.0
642.0	174.0
643.0	140.0
644.0	174.0
645.0	145.0
646.0	142.0
647.0	151.0
648.0	171.0
649.0	140.0
650.0	171.0
651.0	152.0
652.0	156.0
653.0	159.0
654.0	140.0
655.0	139.0
656.0	150.0
657.0	177.0
658.0	163.0
659.0	155.0
660.0	179.0
661.0	170.0
662.0	155.0
663.0	188.0
664.0	178.0
665.0	174.0
666.0	145.0
667.0	176.0
668.0	165.0
669.0	152.0
670.0	156.0
671.0	175.0
672.0	164.0
673.0	176.0
674.0	175.0
675.0	162.0
676.0	171.0
677.0	159.0
678.0	186.0
679.0	144.0
680.0	166.0
681.0	150.0
682.0	161.0
683.0	146.0
684.0	131.0
685.0	127.0
686.0	152.0
687.0	121.0
688.0	148.0
689.0	127.0
690.0	138.0
691.0	153.0
692.0	126.0
693.0	151.0
694.0	135.0
695.0	133.0
696.0	137.0
697.0	136.0
698.0	129.0
699.0	113.0
700.0	124.0
701.0	123.0
702.0	109.0
703.0	118.0
704.0	125.0
705.0	137.0
706.0	106.0
707.0	159.0
708.0	149.0
709.0	143.0
710.0	154.0
711.0	124.0
712.0	132.0
713.0	110.0
714.0	132.0
715.0	143.0
716.0	140.0
717.0	133.0
718.0	160.0
719.0	139.0
720.0	128.0
721.0	141.0
722.0	141.0
723.0	145.0
724.0	127.0
725.0	143.0
726.0	144.0
727.0	125.0
728.0	128.0
729.0	131.0
730.0	138.0
731.0	155.0
732.0	132.0
733.0	113.0
734.0	142.0
735.0	133.0
736.0	134.0
737.0	134.0
738.0	122.0
739.0	143.0
740.0	116.0
741.0	152.0
742.0	140.0
743.0	134.0
744.0	144.0
745.0	132.0
746.0	125.0
747.0	138.0
748.0	143.0
749.0	130.0
750.0	141.0
751.0	132.0
752.0	138.0
753.0	116.0
754.0	127.0
755.0	137.0
756.0	127.0
757.0	134.0
758.0	129.0
759.0	121.0
760.0	126.0
761.0	138.0
762.0	137.0
763.0	142.0
764.0	137.0
765.0	132.0
766.0	133.0
767.0	137.0
768.0	115.0
769.0	135.0
770.0	150.0
771.0	131.0
772.0	100.0
773.0	99.0
774.0	121.0
775.0	122.0
776.0	120.0
777.0	123.0
778.0	99.0
779.0	99.0
780.0	110.0
781.0	105.0
782.0	102.0
783.0	90.0
784.0	103.0
785.0	98.0
786.0	112.0
787.0	122.0
788.0	89.0
789.0	99.0
790.0	121.0
791.0	113.0
792.0	99.0
793.0	101.0
794.0	106.0
795.0	111.0
796.0	100.0
797.0	108.0
798.0	98.0
799.0	94.0
800.0	88.0
801.0	96.0
802.0	73.0
803.0	93.0
804.0	105.0
805.0	91.0
806.0	108.0
807.0	88.0
808.0	91.0
809.0	96.0
810.0	100.0
811.0	91.0
812.0	97.0
813.0	110.0
814.0	99.0
815.0	98.0
816.0	95.0
817.0	105.0
818.0	91.0
819.0	103.0
820.0	104.0
821.0	99.0
822.0	72.0
823.0	81.0
824.0	95.0
825.0	87.0
826.0	88.0
827.0	98.0
828.0	64.0
829.0	84.0
830.0	79.0
831.0	71.0
832.0	108.0
833.0	91.0
834.0	89.0
835.0	102.0
836.0	96.0
837.0	95.0
838.0	86.0
839.0	85.0
840.0	81.0
841.0	87.0
842.0	90.0
843.0	89.0
844.0	95.0
845.0	93.0
846.0	84.0
847.0	93.0
848.0	93.0
849.0	97.0
850.0	76.0
851.0	87.0
852.0	87.0
853.0	80.0
854.0	81.0
855.0	91.0
856.0	76.0
857.0	91.0
858.0	75.0
859.0	91.0
860.0	73.0
861.0	75.0
862.0	74.0
863.0	94.0
864.0	80.0
865.0	84.0
866.0	83.0
867.0	92.0
868.0	84.0
869.0	90.0
870.0	76.0
871.0	90.0
872.0	93.0
873.0	110.0
874.0	90.0
875.0	75.0
876.0	70.0
877.0	91.0
878.0	111.0
879.0	99.0
880.0	80.0
881.0	87.0
882.0	84.0
883.0	83.0
884.0	78.0
885.0	78.0
886.0	86.0
887.0	89.0
888.0	84.0
889.0	82.0
890.0	103.0
891.0	96.0
892.0	97.0
893.0	76.0
894.0	100.0
895.0	71.0
896.0	90.0
897.0	107.0
898.0	83.0
899.0	108.0
900.0	83.0
901.0	87.0
902.0	88.0
903.0	77.0
904.0	90.0
905.0	85.0
906.0	77.0
907.0	80.0
908.0	79.0
909.0	78.0
910.0	88.0
911.0	79.0
912.0	72.0
913.0	78.0
914.0	75.0
915.0	91.0
916.0	76.0
917.0	74.0
918.0	83.0
919.0	85.0
920.0	68.0
921.0	93.0
922.0	97.0
923.0	82.0
924.0	80.0
925.0	95.0
926.0	91.0
927.0	89.0
928.0	92.0
929.0	62.0
930.0	75.0
931.0	61.0
932.0	66.0
933.0	69.0
934.0	80.0
935.0	72.0
936.0	78.0
937.0	85.0
938.0	94.0
939.0	83.0
940.0	61.0
941.0	62.0
942.0	81.0
943.0	81.0
944.0	74.0
945.0	65.0
946.0	62.0
947.0	66.0
948.0	61.0
949.0	69.0
950.0	83.0
951.0	88.0
952.0	68.0
953.0	60.0
954.0	81.0
955.0	77.0
956.0	72.0
957.0	81.0
958.0	90.0
959.0	68.0
960.0	76.0
961.0	78.0
962.0	75.0
963.0	68.0
964.0	72.0
965.0	86.0
966.0	68.0
967.0	89.0
968.0	64.0
969.0	87.0
970.0	76.0
971.0	65.0
972.0	54.0
973.0	73.0
974.0	68.0
975.0	70.0
976.0	55.0
977.0	83.0
978.0	65.0
979.0	69.0
980.0	56.0
981.0	62.0
982.0	82.0
983.0	65.0
984.0	65.0
985.0	82.0
986.0	68.0
987.0	80.0
988.0	68.0
989.0	65.0
990.0	68.0
991.0	61.0
992.0	76.0
993.0	68.0
994.0	61.0
995.0	56.0
996.0	77.0
997.0	61.0
998.0	78.0
999.0	59.0
1000.0	70.0
1001.0	63.0
1002.0	66.0
1003.0	68.0
1004.0	71.0
1005.0	56.0
1006.0	62.0
1007.0	64.0
1008.0	66.0
1009.0	71.0
1010.0	66.0
1011.0	74.0
1012.0	67.0
1013.0	68.0
1014.0	62.0
1015.0	70.0
1016.0	67.0
1017.0	72.0
1018.0	68.0
1019.0	62.0
1020.0	70.0
1021.0	59.0
1022.0	85.0
1023.0	73.0
1024.0	64.0
1025.0	51.0
1026.0	75.0
1027.0	84.0
1028.0	70.0
1029.0	66.0
1030.0	65.0
1031.0	83.0
1032.0	77.0
1033.0	73.0
1034.0	69.0
1035.0	81.0
1036.0	65.0
1037.0	73.0
