#Duplication rate	Coverage
1.0	6.7313705E7
2.0	1.4260533E7
3.0	2556264.0
4.0	445968.0
5.0	91967.0
6.0	29109.0
7.0	14649.0
8.0	9555.0
9.0	7144.0
10.0	5631.0
11.0	4488.0
12.0	3708.0
13.0	3111.0
14.0	2637.0
15.0	2238.0
16.0	1934.0
17.0	1681.0
18.0	1387.0
19.0	1274.0
20.0	1109.0
21.0	951.0
22.0	836.0
23.0	719.0
24.0	611.0
25.0	553.0
26.0	478.0
27.0	454.0
28.0	429.0
29.0	311.0
30.0	325.0
31.0	288.0
32.0	205.0
33.0	213.0
34.0	191.0
35.0	175.0
36.0	158.0
37.0	140.0
38.0	133.0
39.0	95.0
40.0	117.0
41.0	93.0
42.0	94.0
43.0	79.0
44.0	78.0
45.0	85.0
46.0	78.0
47.0	54.0
48.0	67.0
49.0	65.0
50.0	3637.0
