#GC Content (%)	Sample
1.0	2.480385422129974E-7
2.0	6.200963555324935E-8
3.0	6.200963555324935E-8
4.0	1.8602890665974804E-7
5.0	2.480385422129974E-7
6.0	3.7205781331949603E-7
7.0	3.100481777662467E-7
8.0	1.0541638044052388E-6
9.0	1.2401927110649868E-6
10.0	1.6742601599377326E-6
11.0	1.984308337703979E-6
12.0	3.7825877687482093E-6
13.0	5.828905742005439E-6
14.0	6.6970406397509304E-6
15.0	1.2898004195075864E-5
16.0	1.6308534150504576E-5
17.0	2.6292085474577725E-5
18.0	4.446090869167978E-5
19.0	7.745003480600844E-5
20.0	1.4163000760362152E-4
21.0	2.505189276351274E-4
22.0	4.5725905256966065E-4
23.0	7.844838993841574E-4
24.0	0.001375683764748837
25.0	0.002602730433076535
26.0	0.003400794442646854
27.0	0.005724667544640427
28.0	0.008474298804342608
29.0	0.012006677693633458
30.0	0.016337120592494626
31.0	0.02129299267554587
32.0	0.026559409013447784
33.0	0.031962804636286826
34.0	0.03700567623801928
35.0	0.041486988580181496
36.0	0.0449383828854398
37.0	0.04729815956641871
38.0	0.04851373445216906
39.0	0.04861685647609411
40.0	0.04757571469515504
41.0	0.0459297309290296
42.0	0.043559164571464436
43.0	0.041029233450527405
44.0	0.038286609279642746
45.0	0.0354328018322111
46.0	0.0326455307237281
47.0	0.030132218185119346
48.0	0.02783761363110691
49.0	0.025818145830044235
50.0	0.02412584086616051
51.0	0.024649016161323277
52.0	0.019151923979163276
53.0	0.021073788613865132
54.0	0.02048940980841131
55.0	0.01770151860357277
56.0	0.014671541781534347
57.0	0.012158105223654493
58.0	0.010491286219983149
59.0	0.009162357720441465
60.0	0.007958316626904022
61.0	0.006931871129591084
62.0	0.0061676023713972865
63.0	0.0054893409777158455
64.0	0.004854424319286124
65.0	0.0042977638209246065
66.0	0.0038184293380979888
67.0	0.0033317157086405346
68.0	0.002863728989120161
69.0	0.0024429936118913645
70.0	0.0020463799828927816
71.0	0.0016854218943373174
72.0	0.00135608871991401
73.0	0.0010712164541823823
74.0	8.829552006427175E-4
75.0	7.262568515996563E-4
76.0	5.982689638177498E-4
77.0	4.8782980289741257E-4
78.0	4.0275258291835457E-4
79.0	3.4334735205834166E-4
80.0	2.700519628344009E-4
81.0	2.2298664944948467E-4
82.0	1.707745363136487E-4
83.0	1.1000509347146435E-4
84.0	6.362188607763383E-5
85.0	2.988864433666619E-5
86.0	1.1967859661777125E-5
87.0	2.9144528710027194E-6
88.0	1.054163804405239E-6
89.0	7.441156266389921E-7
90.0	3.7205781331949603E-7
91.0	6.200963555324935E-8
92.0	0.0
93.0	1.240192711064987E-7
94.0	0.0
95.0	6.200963555324935E-8
96.0	6.200963555324935E-8
97.0	6.200963555324935E-8
98.0	1.8602890665974804E-7
99.0	1.240192711064987E-7
100.0	4.650722666493701E-6
