#Mapping quality	mapping quality
0.0	970565.0
1.0	3420413.0
2.0	675882.0
3.0	781758.0
4.0	848742.0
5.0	805445.0
6.0	853442.0
7.0	650607.0
8.0	871104.0
9.0	667795.0
10.0	698344.0
11.0	771126.0
12.0	778011.0
13.0	840322.0
14.0	894317.0
15.0	975661.0
16.0	1025476.0
17.0	1042822.0
18.0	1200065.0
19.0	1221314.0
20.0	1321694.0
21.0	1609961.0
22.0	1616045.0
23.0	2776584.0
24.0	2689397.0
25.0	2428669.0
26.0	2795007.0
27.0	3164571.0
28.0	3689438.0
29.0	4120308.0
30.0	4814606.0
31.0	5384955.0
32.0	6891526.0
33.0	7956563.0
34.0	9975319.0
35.0	1.2597145E7
36.0	1.7206534E7
37.0	2.2982056E7
38.0	3.5273339E7
39.0	5.6261946E7
40.0	1.07648857E8
41.0	2.68740625E8
42.0	5.4497147E8
