#Duplication rate	Coverage
1.0	6.5522062E7
2.0	6167886.0
3.0	541042.0
4.0	129026.0
5.0	41279.0
6.0	22339.0
7.0	14237.0
8.0	9866.0
9.0	7486.0
10.0	5607.0
11.0	4509.0
12.0	3695.0
13.0	3214.0
14.0	2773.0
15.0	2462.0
16.0	2079.0
17.0	1788.0
18.0	1707.0
19.0	1355.0
20.0	1257.0
21.0	1136.0
22.0	1046.0
23.0	931.0
24.0	846.0
25.0	726.0
26.0	715.0
27.0	598.0
28.0	518.0
29.0	481.0
30.0	456.0
31.0	410.0
32.0	377.0
33.0	362.0
34.0	324.0
35.0	287.0
36.0	249.0
37.0	234.0
38.0	235.0
39.0	187.0
40.0	203.0
41.0	184.0
42.0	166.0
43.0	158.0
44.0	152.0
45.0	127.0
46.0	140.0
47.0	126.0
48.0	121.0
49.0	110.0
50.0	5235.0
