#Insert size (bp)	insert size
1.0	2516.0
2.0	674.0
3.0	565.0
4.0	561.0
5.0	593.0
6.0	723.0
7.0	630.0
8.0	583.0
9.0	459.0
10.0	438.0
11.0	354.0
12.0	376.0
13.0	324.0
14.0	331.0
15.0	316.0
16.0	285.0
17.0	307.0
18.0	274.0
19.0	269.0
20.0	233.0
21.0	243.0
22.0	253.0
23.0	234.0
24.0	270.0
25.0	232.0
26.0	214.0
27.0	220.0
28.0	215.0
29.0	194.0
30.0	196.0
31.0	130.0
32.0	132.0
33.0	129.0
34.0	124.0
35.0	138.0
36.0	160.0
37.0	177.0
38.0	199.0
39.0	223.0
40.0	8559.0
41.0	8985.0
42.0	8700.0
43.0	8730.0
44.0	8621.0
45.0	9221.0
46.0	9330.0
47.0	9263.0
48.0	10134.0
49.0	10566.0
50.0	9959.0
51.0	9259.0
52.0	9216.0
53.0	9220.0
54.0	9490.0
55.0	9379.0
56.0	10133.0
57.0	10373.0
58.0	10449.0
59.0	10529.0
60.0	10613.0
61.0	10357.0
62.0	10325.0
63.0	10379.0
64.0	10587.0
65.0	10496.0
66.0	10761.0
67.0	10775.0
68.0	11235.0
69.0	11368.0
70.0	11605.0
71.0	11749.0
72.0	11674.0
73.0	12129.0
74.0	12358.0
75.0	12785.0
76.0	12340.0
77.0	14132.0
78.0	14075.0
79.0	14367.0
80.0	14416.0
81.0	15091.0
82.0	14786.0
83.0	15376.0
84.0	15996.0
85.0	16400.0
86.0	17295.0
87.0	17563.0
88.0	18650.0
89.0	20350.0
90.0	20883.0
91.0	20288.0
92.0	20748.0
93.0	21493.0
94.0	22515.0
95.0	23072.0
96.0	23883.0
97.0	25210.0
98.0	26661.0
99.0	27901.0
100.0	28813.0
101.0	29902.0
102.0	31278.0
103.0	32123.0
104.0	33031.0
105.0	34102.0
106.0	36357.0
107.0	37623.0
108.0	39030.0
109.0	41813.0
110.0	43921.0
111.0	44850.0
112.0	46492.0
113.0	47701.0
114.0	50049.0
115.0	51998.0
116.0	54101.0
117.0	56518.0
118.0	58684.0
119.0	61267.0
120.0	63206.0
121.0	65215.0
122.0	67019.0
123.0	69761.0
124.0	71084.0
125.0	73237.0
126.0	75585.0
127.0	77828.0
128.0	80378.0
129.0	82510.0
130.0	85778.0
131.0	88304.0
132.0	89681.0
133.0	92749.0
134.0	94634.0
135.0	97406.0
136.0	99655.0
137.0	101410.0
138.0	104705.0
139.0	106974.0
140.0	109476.0
141.0	111445.0
142.0	114780.0
143.0	117041.0
144.0	119829.0
145.0	120907.0
146.0	123689.0
147.0	124930.0
148.0	127528.0
149.0	129425.0
150.0	132559.0
151.0	135690.0
152.0	138651.0
153.0	140936.0
154.0	142928.0
155.0	146322.0
156.0	148194.0
157.0	150345.0
158.0	152118.0
159.0	154705.0
160.0	157796.0
161.0	158274.0
162.0	159950.0
163.0	162820.0
164.0	164291.0
165.0	167336.0
166.0	169655.0
167.0	171920.0
168.0	174125.0
169.0	175689.0
170.0	177132.0
171.0	179213.0
172.0	179638.0
173.0	183101.0
174.0	184083.0
175.0	186657.0
176.0	187859.0
177.0	190011.0
178.0	191763.0
179.0	193346.0
180.0	193549.0
181.0	193702.0
182.0	196249.0
183.0	197664.0
184.0	198192.0
185.0	200654.0
186.0	201056.0
187.0	202343.0
188.0	202332.0
189.0	202773.0
190.0	203835.0
191.0	204320.0
192.0	203849.0
193.0	204975.0
194.0	205316.0
195.0	204335.0
196.0	206014.0
197.0	207309.0
198.0	207536.0
199.0	207146.0
200.0	208728.0
201.0	208566.0
202.0	209129.0
203.0	208849.0
204.0	209056.0
205.0	210262.0
206.0	209449.0
207.0	208699.0
208.0	209831.0
209.0	209715.0
210.0	209774.0
211.0	209125.0
212.0	208396.0
213.0	208675.0
214.0	208121.0
215.0	208327.0
216.0	208741.0
217.0	208194.0
218.0	207112.0
219.0	208549.0
220.0	209115.0
221.0	209042.0
222.0	209224.0
223.0	208371.0
224.0	207437.0
225.0	206313.0
226.0	206556.0
227.0	206291.0
228.0	205880.0
229.0	206054.0
230.0	204843.0
231.0	203759.0
232.0	203165.0
233.0	202894.0
234.0	201721.0
235.0	201264.0
236.0	200846.0
237.0	199630.0
238.0	199301.0
239.0	198267.0
240.0	197801.0
241.0	196244.0
242.0	195789.0
243.0	193850.0
244.0	194387.0
245.0	193382.0
246.0	192120.0
247.0	190714.0
248.0	188837.0
249.0	189428.0
250.0	187637.0
251.0	186705.0
252.0	185579.0
253.0	183901.0
254.0	182599.0
255.0	181526.0
256.0	180472.0
257.0	180367.0
258.0	177588.0
259.0	177336.0
260.0	175390.0
261.0	174594.0
262.0	173290.0
263.0	172403.0
264.0	171747.0
265.0	168874.0
266.0	168715.0
267.0	166485.0
268.0	166512.0
269.0	165343.0
270.0	164439.0
271.0	161303.0
272.0	160107.0
273.0	159870.0
274.0	157841.0
275.0	157067.0
276.0	156465.0
277.0	155109.0
278.0	153482.0
279.0	152846.0
280.0	150919.0
281.0	150001.0
282.0	148870.0
283.0	147324.0
284.0	145476.0
285.0	144767.0
286.0	143774.0
287.0	142071.0
288.0	140434.0
289.0	139635.0
290.0	138308.0
291.0	136787.0
292.0	136082.0
293.0	134119.0
294.0	133129.0
295.0	132413.0
296.0	131133.0
297.0	130077.0
298.0	128735.0
299.0	127027.0
300.0	126123.0
301.0	124756.0
302.0	124071.0
303.0	122532.0
304.0	122112.0
305.0	119913.0
306.0	119346.0
