#GC Content (%)	Sample
1.0	8.747294680437708E-8
2.0	0.0
3.0	0.0
4.0	8.747294680437708E-8
5.0	8.747294680437708E-8
6.0	8.747294680437708E-8
7.0	0.0
8.0	3.498917872175083E-7
9.0	8.747294680437708E-7
10.0	2.6241884041313123E-7
11.0	2.6241884041313123E-7
12.0	1.1371483084569023E-6
13.0	2.0118777765006727E-6
14.0	1.6619859892831642E-6
15.0	2.5367154573269355E-6
16.0	6.385525116719526E-6
17.0	1.0496753616525249E-5
18.0	1.5657657477983497E-5
19.0	2.9478383073075076E-5
20.0	4.749781011477676E-5
21.0	9.210901298500906E-5
22.0	1.5578931825859557E-4
23.0	2.7571472832739653E-4
24.0	4.981584320509275E-4
25.0	9.980663230379425E-4
26.0	0.0013846967479132892
27.0	0.002497789995998987
28.0	0.003965323624536022
29.0	0.005970291038239148
30.0	0.008653523681463413
31.0	0.011990354183209987
32.0	0.015866280456111936
33.0	0.020073904143296083
34.0	0.024341359326094426
35.0	0.02847428111670763
36.0	0.031745069543616895
37.0	0.034398998749661694
38.0	0.036186245998768726
39.0	0.03726452501402629
40.0	0.03777186810549168
41.0	0.03748705619069662
42.0	0.03728306927874881
43.0	0.03680660413750537
44.0	0.03642732144016159
45.0	0.0356778532319417
46.0	0.03512572399171247
47.0	0.034304965331846994
48.0	0.033733067205639976
49.0	0.03301920048676945
50.0	0.03227830462733638
51.0	0.03483242720107739
52.0	0.028389957195988205
53.0	0.032569152175460934
54.0	0.03344738056137688
55.0	0.029175726677131933
56.0	0.02401613490987575
57.0	0.01998450679166201
58.0	0.01742014988314489
59.0	0.015348703029870438
60.0	0.013295450549531294
61.0	0.011757151307029517
62.0	0.01055693500392666
63.0	0.009638818954267919
64.0	0.008842202827720457
65.0	0.008176621175485952
66.0	0.007277049390549738
67.0	0.006111559847328217
68.0	0.005205777483168893
69.0	0.004606937689346127
70.0	0.003963049327919107
71.0	0.003400860698807376
72.0	0.0028008837566761537
73.0	0.002369204764196553
74.0	0.002047479265850054
75.0	0.0017632796616826331
76.0	0.0014821416106533653
77.0	0.00129398730207715
78.0	0.0011516688176264286
79.0	0.0010242207341324512
80.0	8.82689506202969E-4
81.0	7.577781381663185E-4
82.0	6.085492909180513E-4
83.0	4.463744475427362E-4
84.0	2.68629419636242E-4
85.0	1.2307443615375854E-4
86.0	4.3474054561775404E-5
87.0	1.5045346850352855E-5
88.0	6.298052169915149E-6
89.0	2.9740801913488207E-6
90.0	6.123106276306395E-7
91.0	5.248376808262625E-7
92.0	1.7494589360875415E-7
93.0	3.498917872175083E-7
94.0	2.6241884041313123E-7
95.0	5.248376808262625E-7
96.0	5.248376808262625E-7
97.0	1.137148308456902E-6
98.0	2.624188404131312E-6
99.0	3.673863765783837E-6
100.0	1.8806683562941072E-5
