#Coverage	Number of genomic locations
0.0	2.4561529E7
1.0	2885665.0
2.0	4095127.0
3.0	6625130.0
4.0	1.091342E7
5.0	1.7096235E7
6.0	2.5141188E7
7.0	3.4694655E7
8.0	4.5056126E7
9.0	5.5408392E7
10.0	6.4759568E7
11.0	7.2348108E7
12.0	7.7739157E7
13.0	8.0538702E7
14.0	8.0542878E7
15.0	7.8220363E7
16.0	7.3844282E7
17.0	6.7876822E7
18.0	6.0907925E7
19.0	5.3450447E7
20.0	4.5914114E7
21.0	3.8712668E7
22.0	3.2037811E7
23.0	2.6109138E7
24.0	2.0918503E7
25.0	1.6526299E7
26.0	1.2891998E7
27.0	9922048.0
28.0	7538130.0
29.0	5669356.0
30.0	4248614.0
31.0	3152200.0
32.0	2336452.0
33.0	1715997.0
34.0	1264663.0
35.0	928372.0
36.0	688615.0
37.0	518532.0
38.0	395750.0
39.0	305913.0
40.0	242928.0
41.0	196413.0
42.0	162499.0
43.0	136768.0
44.0	119945.0
45.0	106751.0
46.0	94040.0
47.0	85262.0
48.0	77732.0
49.0	70548.0
50.0	65680.0
51.0	62200.0
52.0	56479.0
53.0	54298.0
54.0	50127.0
55.0	47543.0
56.0	44332.0
57.0	42055.0
58.0	39495.0
59.0	37609.0
60.0	35522.0
61.0	33625.0
62.0	31660.0
63.0	30110.0
64.0	28592.0
65.0	27325.0
66.0	26777.0
67.0	25296.0
68.0	24587.0
69.0	23773.0
70.0	22537.0
71.0	21767.0
72.0	21151.0
73.0	20104.0
74.0	19176.0
75.0	18926.0
76.0	18299.0
77.0	18089.0
78.0	17231.0
79.0	16399.0
80.0	15571.0
81.0	15710.0
82.0	15129.0
83.0	14715.0
84.0	14454.0
85.0	14079.0
86.0	13928.0
87.0	13646.0
88.0	13521.0
89.0	13000.0
90.0	12538.0
91.0	12487.0
92.0	12338.0
93.0	11756.0
94.0	11707.0
95.0	11341.0
96.0	11305.0
97.0	10710.0
98.0	10778.0
99.0	10383.0
100.0	10377.0
101.0	10316.0
102.0	9829.0
103.0	9494.0
104.0	9317.0
105.0	9145.0
106.0	9046.0
107.0	8670.0
108.0	8661.0
109.0	8551.0
110.0	8584.0
111.0	8255.0
112.0	8104.0
113.0	8185.0
114.0	8087.0
115.0	7741.0
116.0	7529.0
117.0	7372.0
118.0	7089.0
119.0	7039.0
120.0	7132.0
121.0	6667.0
122.0	6699.0
123.0	6583.0
124.0	6340.0
125.0	6254.0
126.0	6049.0
127.0	5916.0
128.0	5863.0
129.0	6169.0
130.0	6115.0
131.0	5804.0
132.0	5898.0
133.0	5743.0
134.0	5545.0
135.0	5439.0
136.0	5318.0
137.0	5381.0
138.0	5184.0
139.0	5040.0
140.0	4915.0
141.0	4871.0
142.0	4971.0
143.0	4967.0
144.0	4951.0
145.0	4911.0
146.0	4759.0
147.0	4750.0
148.0	4591.0
149.0	4455.0
150.0	4575.0
151.0	4477.0
152.0	4185.0
153.0	4209.0
154.0	4207.0
155.0	4167.0
156.0	4148.0
157.0	4042.0
158.0	4178.0
159.0	4115.0
160.0	3919.0
161.0	3979.0
162.0	3948.0
163.0	3830.0
164.0	4083.0
165.0	3879.0
166.0	3831.0
