#Duplication rate	Coverage
1.0	7.128198E7
2.0	1.6461369E7
3.0	3277770.0
4.0	650604.0
5.0	150562.0
6.0	48622.0
7.0	23177.0
8.0	14449.0
9.0	10087.0
10.0	7405.0
11.0	5550.0
12.0	4511.0
13.0	3671.0
14.0	2998.0
15.0	2638.0
16.0	2232.0
17.0	1945.0
18.0	1776.0
19.0	1437.0
20.0	1294.0
21.0	1172.0
22.0	985.0
23.0	925.0
24.0	823.0
25.0	744.0
26.0	610.0
27.0	604.0
28.0	545.0
29.0	475.0
30.0	424.0
31.0	416.0
32.0	365.0
33.0	331.0
34.0	255.0
35.0	296.0
36.0	262.0
37.0	232.0
38.0	203.0
39.0	187.0
40.0	197.0
41.0	152.0
42.0	172.0
43.0	146.0
44.0	117.0
45.0	131.0
46.0	128.0
47.0	106.0
48.0	119.0
49.0	107.0
50.0	6115.0
