#Mapping quality	mapping quality
0.0	910575.0
1.0	3414127.0
2.0	628220.0
3.0	714626.0
4.0	786239.0
5.0	742075.0
6.0	774314.0
7.0	594229.0
8.0	775726.0
9.0	621326.0
10.0	636196.0
11.0	710573.0
12.0	715079.0
13.0	781552.0
14.0	819663.0
15.0	904352.0
16.0	948825.0
17.0	981983.0
18.0	1115601.0
19.0	1164109.0
20.0	1267162.0
21.0	1442345.0
22.0	1521701.0
23.0	2502557.0
24.0	2459259.0
25.0	2298406.0
26.0	2665200.0
27.0	3034899.0
28.0	3485576.0
29.0	3971958.0
30.0	4601117.0
31.0	5200876.0
32.0	6617753.0
33.0	7716471.0
34.0	9811921.0
35.0	1.2394891E7
36.0	1.6917382E7
37.0	2.2659504E7
38.0	3.4608042E7
39.0	5.5848317E7
40.0	1.09934059E8
41.0	2.80837905E8
42.0	5.37066671E8
