#Position (bp)	insert size	chromosomes
1465207.0	247.41612879655113	0.0
4395620.0	254.00763150465795	389.0
7326033.0	256.1062753729518	0.0
1.0256446E7	259.7230468893882	0.0
1.3186859E7	257.9926827202067	389.0
1.6117272E7	256.29300760534835	0.0
1.9047685E7	259.7981700110224	0.0
2.1978098E7	258.36868692667133	389.0
2.4908511E7	258.9952921723754	0.0
2.7838924E7	259.12361556114814	0.0
3.0769337E7	259.0545083995005	389.0
3.369975E7	258.17207616574706	0.0
3.6630163E7	257.78765291126126	0.0
3.9560576E7	257.1300325161511	389.0
4.2490989E7	258.05233685586666	0.0
4.5421402E7	259.7858060888425	0.0
4.8351815E7	258.85672068327216	389.0
5.1282228E7	258.1671885929513	0.0
5.4212641E7	254.51506406656355	0.0
5.7143054E7	251.67341396543347	389.0
6.0073467E7	257.28372578827083	0.0
6.300388E7	256.82134142055213	0.0
6.5934293E7	256.1267760306323	389.0
6.8864706E7	257.7671706857693	0.0
7.1795119E7	258.55520745606646	0.0
7.4725532E7	255.2991646579669	389.0
7.7655945E7	257.14936599111303	0.0
8.0586358E7	257.0805557932569	0.0
8.3516771E7	256.8483311980196	389.0
8.6447184E7	254.88413112576498	0.0
8.9377597E7	255.05666361465344	0.0
9.230801E7	257.5036821906441	389.0
9.5238423E7	258.97965844652515	0.0
9.8168836E7	259.28983647617974	0.0
1.01099249E8	255.19483953895104	389.0
1.04029662E8	259.2072241175948	0.0
1.06960075E8	258.5629526726984	0.0
1.09890488E8	258.0040430028485	389.0
1.12820901E8	256.65158325028983	0.0
1.15751314E8	256.4436653338903	0.0
1.18681727E8	255.9913548724341	389.0
1.2161214E8	255.29263055623028	0.0
1.24542553E8	259.18493348062054	0.0
1.27472966E8	258.6824503350251	389.0
1.30403379E8	257.1215918465378	0.0
1.33333792E8	257.1243284887353	0.0
1.36264205E8	258.85803602556655	389.0
1.39194618E8	258.2092426626531	0.0
1.42125031E8	257.5699417064123	0.0
1.45055444E8	256.6125225169265	389.0
1.47985857E8	256.52312444037545	0.0
1.5091627E8	257.63643315349	0.0
1.53846683E8	259.9219325551232	389.0
1.56777096E8	257.5405405405405	0.0
1.59707509E8	258.5473646414996	0.0
1.62637922E8	256.616946797788	389.0
1.65568335E8	258.7543067356659	0.0
1.68498748E8	258.24236540965256	0.0
1.71429161E8	258.64886060574054	389.0
1.74359574E8	259.1045587384055	0.0
1.77289987E8	258.84292416890565	0.0
1.802204E8	257.165279670274	389.0
1.83150813E8	256.3403001439046	0.0
1.86081226E8	256.8366623186043	0.0
1.89011639E8	257.7035075329567	389.0
1.91942052E8	255.5747556311092	0.0
1.94872465E8	257.37867511532215	0.0
1.97802878E8	257.4258588423276	389.0
2.00733291E8	256.6630284989802	0.0
2.03663704E8	253.13399345667216	0.0
2.06594117E8	249.28510540358533	389.0
2.0952453E8	253.2198089134176	0.0
2.12454943E8	255.54736625090197	0.0
2.141011355E8	255.99279682066566	389.0
2.15566342E8	251.87629960348434	0.0
2.18315769E8	254.81832349885318	0.0
2.21246182E8	255.5088549488538	389.0
2.24176595E8	257.2035343258006	0.0
2.27107008E8	259.12201292578027	0.0
2.30037421E8	256.84771369033575	389.0
2.32967834E8	257.0209021241578	0.0
2.35898247E8	258.7073735014446	0.0
2.3882866E8	258.77313498380636	389.0
2.41759073E8	257.8560478938195	0.0
2.44689486E8	259.6104620188078	0.0
2.47619899E8	258.19568738392434	389.0
2.50550312E8	256.22311320754716	0.0
2.53480725E8	258.4591461234095	0.0
2.56411138E8	257.58284867890825	389.0
2.59341551E8	257.4237448391062	0.0
2.62271964E8	257.01586453323273	0.0
2.65202377E8	257.67568190147114	389.0
2.6813279E8	257.6353866820188	0.0
2.71063203E8	258.4316806396091	0.0
2.73993616E8	256.7167885584268	389.0
2.76924029E8	255.5564450875306	0.0
2.79854442E8	257.2871402513174	0.0
2.82784855E8	256.8065920211329	389.0
2.85715268E8	256.8409879608805	0.0
2.88645681E8	257.87469915285686	0.0
2.91576094E8	259.7679239655079	389.0
2.94506507E8	259.5239509790862	0.0
2.9743692E8	258.27059199016503	0.0
3.00367333E8	258.8141483657814	389.0
3.03297746E8	258.64323490310625	0.0
3.06228159E8	258.1109622085232	0.0
3.09158572E8	259.15680193502806	389.0
3.12088985E8	256.86289178247984	0.0
3.15019398E8	259.0633942408188	0.0
3.17949811E8	259.8128504275925	389.0
3.20880224E8	258.5633024575681	0.0
3.23810637E8	258.32888395335925	0.0
3.2674105E8	256.82877856066466	389.0
3.29671463E8	259.13786306931513	0.0
3.32601876E8	258.52802473908	0.0
3.35532289E8	258.15169425178357	389.0
3.38462702E8	257.8425594197833	0.0
3.41393115E8	258.046510625458	0.0
3.44323528E8	259.32361029984423	389.0
3.47253941E8	257.9177893587001	0.0
3.50184354E8	258.08338164251205	0.0
3.53114767E8	256.55113282370274	389.0
3.5604518E8	257.2890621702613	0.0
3.58975593E8	259.10540389279276	0.0
3.61906006E8	256.2904870562578	389.0
3.64836419E8	256.09918241774784	0.0
3.67766832E8	257.65942799860886	0.0
3.70697245E8	257.74730234545314	389.0
3.73627658E8	256.04312283444807	0.0
3.76133706E8	246.44797128779123	0.0
3.775989125E8	251.18121510673234	389.0
3.79488484E8	255.9542008906482	0.0
3.82418897E8	255.86347267887896	0.0
3.8534931E8	253.7044085762467	389.0
3.88279723E8	256.63515792542006	0.0
3.91210136E8	256.2115721168027	0.0
3.94140549E8	254.76464339908952	389.0
3.97070962E8	255.73549586902837	0.0
4.00001375E8	257.87947208885544	0.0
4.02931788E8	257.75937416531406	389.0
4.05862201E8	258.3352668089076	0.0
4.08792614E8	257.7815180755783	0.0
4.11723027E8	253.25579914742843	389.0
4.1465344E8	255.77292429156626	0.0
4.17583853E8	258.6023839255307	0.0
4.20514266E8	256.5245427398283	389.0
4.23444679E8	255.84525989645718	0.0
4.26375092E8	257.9845160432842	0.0
4.29305505E8	257.5966447848286	389.0
4.32235918E8	258.10591221979166	0.0
4.35166331E8	256.63543499885225	0.0
4.38096744E8	258.22658267512344	389.0
4.41027157E8	258.20427725516544	0.0
4.4395757E8	258.41373401871624	0.0
4.46887983E8	258.1851759771705	389.0
4.49818396E8	259.0036793399487	0.0
4.52748809E8	255.97752136666898	0.0
4.55679222E8	259.07945767374457	389.0
4.58609635E8	258.85602087943806	0.0
4.61540048E8	257.29532323589626	0.0
4.64470461E8	257.97383879494816	389.0
4.67400874E8	258.26877703281184	0.0
4.70331287E8	258.1823926365739	0.0
4.732617E8	257.7221669383203	389.0
4.76192113E8	258.39321569299295	0.0
4.79122526E8	258.13001571745565	0.0
4.82052939E8	258.5909705935414	389.0
4.84983352E8	256.21836260330576	0.0
4.87913765E8	259.0616755081921	0.0
4.90844178E8	257.21513846021946	389.0
4.93774591E8	255.97212508642025	0.0
4.96705004E8	255.2453763397534	0.0
4.99635417E8	247.91458766903898	389.0
5.01414164E8	243.7168867758408	0.0
5.028793705E8	250.38798063353525	0.0
5.05496243E8	253.47556649751294	389.0
5.08426656E8	257.8133262486716	0.0
5.11357069E8	259.69370855034464	0.0
5.14287482E8	258.01675794703857	389.0
5.17217895E8	259.42521623269573	0.0
5.20148308E8	218.99004896164803	0.0
5.23078721E8	256.3828265515563	389.0
5.26009134E8	257.93301911495155	0.0
5.28939547E8	257.4816954254462	0.0
5.3186996E8	258.2038762085559	389.0
5.34800373E8	256.9599885535581	0.0
5.37730786E8	259.5566058288149	0.0
5.40661199E8	259.35674160881473	389.0
5.43591612E8	249.72068755938673	0.0
5.46522025E8	257.3088906407879	0.0
5.49452438E8	256.70418988096463	389.0
5.52382851E8	257.11071050061304	0.0
5.55313264E8	258.3922382867703	0.0
5.58243677E8	257.5087605315002	389.0
5.6117409E8	259.2713902954334	0.0
5.64104503E8	259.1818354679669	0.0
5.67034916E8	258.34558008794335	389.0
5.69965329E8	257.9373589521861	0.0
5.72895742E8	257.08495497197555	0.0
5.75826155E8	258.6979135956458	389.0
5.78756568E8	256.82334490628074	0.0
5.81686981E8	254.93903533589588	0.0
5.83308E8	254.96991232118137	389.0
5.847732065E8	252.58142565399203	0.0
5.87547807E8	251.23197532561255	0.0
5.9047822E8	256.7909476890184	389.0
5.93408633E8	256.9149425768257	0.0
5.96339046E8	254.9215003335819	0.0
5.99269459E8	255.98454628726768	389.0
6.02199872E8	257.07969368835643	0.0
6.05130285E8	256.8788839708441	0.0
6.08060698E8	254.3576008510883	389.0
6.10991111E8	257.6642447496786	0.0
6.13921524E8	257.22014801723185	0.0
6.16851937E8	260.53212652439026	389.0
6.1978235E8	259.54119803272636	0.0
6.22712763E8	257.98411661334654	0.0
6.25643176E8	253.95320013113798	389.0
6.28573589E8	259.7430439279031	0.0
6.31504002E8	258.9832400992026	0.0
6.34434415E8	254.56086749886035	389.0
6.37364828E8	256.5404973157986	0.0
6.40295241E8	258.48469033856315	0.0
6.43225654E8	258.506431296017	389.0
6.46156067E8	257.0099227016063	0.0
6.4908648E8	257.35469988206324	0.0
6.52016893E8	248.45380325086708	389.0
6.53723606E8	240.4676015691933	0.0
6.551888125E8	246.32619328049827	0.0
6.57877719E8	254.8094067244109	389.0
6.60808132E8	256.95594227333856	0.0
6.63738545E8	254.8578299806011	0.0
6.66668958E8	251.6364644292169	389.0
6.69599371E8	255.8977947413062	0.0
6.72529784E8	258.5144758156576	0.0
6.75460197E8	258.1478821066194	389.0
6.7839061E8	255.20832199685796	0.0
6.81321023E8	250.78989703726154	0.0
6.84251436E8	245.88246828435473	389.0
6.87181849E8	255.0205770961452	0.0
6.90112262E8	259.743093455687	0.0
6.93042675E8	252.987371400577	389.0
6.95973088E8	251.99176804894844	0.0
6.98903501E8	254.09273653657792	0.0
7.01833914E8	250.4651119872494	389.0
7.04432853E8	251.20559753343755	0.0
7.058980595E8	241.32109520846296	0.0
7.0769474E8	250.238662745705	389.0
7.10625153E8	247.1850937114095	0.0
7.13555566E8	258.4393505560381	0.0
7.16485979E8	258.33126938111735	389.0
7.19416392E8	257.6328887830436	0.0
7.22346805E8	162.95881544064815	0.0
7.25277218E8	254.45179228078567	389.0
7.28207631E8	248.24540578563264	0.0
7.31138044E8	247.3908221194281	0.0
7.34068457E8	258.3655629139073	389.0
7.3699887E8	259.0501443717076	0.0
7.39929283E8	257.2552005493396	0.0
7.42859696E8	257.7677170144169	389.0
7.45790109E8	258.14328519338596	0.0
7.48720522E8	252.7682990647092	0.0
7.51540364E8	248.97724144337383	389.0
7.530055705E8	256.7730321697467	0.0
7.54581348E8	252.3111715397665	0.0
7.57511761E8	249.05231262590962	389.0
7.60442174E8	249.6270639634317	0.0
7.63372587E8	258.22832160375344	0.0
7.66303E8	259.0131618989653	389.0
7.69233413E8	251.1855510613289	0.0
7.72163826E8	170.20919008666297	0.0
7.75094239E8	251.61986000966687	389.0
7.78024652E8	259.0247957733973	0.0
7.80955065E8	259.1433874606827	0.0
7.83885478E8	257.86555298695595	389.0
7.86815891E8	254.2714327928194	0.0
7.89746304E8	254.81198451279027	0.0
7.92676717E8	253.463931820189	389.0
7.95279906E8	246.5175058741286	0.0
7.967451125E8	256.34554354476853	0.0
7.98537543E8	252.57229779347483	389.0
8.01467956E8	257.26282427273384	0.0
8.04398369E8	257.7528827144002	0.0
8.07328782E8	256.2938532507984	389.0
