#Coverage (X)	Coverage
1.0	97.86240953023051
2.0	97.54932849289716
3.0	97.08542746312303
4.0	96.37360005180363
5.0	95.30277639069809
6.0	93.76049516910501
7.0	91.61786121096166
8.0	88.74500029706145
9.0	85.02168395009538
10.0	80.37283664043815
11.0	74.80636092520535
12.0	68.42875436370667
13.0	61.425322369598256
14.0	54.04586162442909
15.0	46.58955085526444
16.0	39.34048754920437
17.0	32.54648095410323
18.0	26.393653945398697
19.0	20.999479159455547
20.0	16.40755472857785
21.0	12.608216739363158
22.0	9.540283526543533
23.0	7.126540697592006
24.0	5.266541633688973
25.0	3.865063469129268
26.0	2.826685157898993
27.0	2.070064645879242
28.0	1.5260354696974048
29.0	1.140036449018666
30.0	0.8689767180545829
31.0	0.6800800861045246
32.0	0.5488400181062758
33.0	0.45746942611675934
34.0	0.3936076771642405
35.0	0.34782896427836363
36.0	0.3148142405845107
37.0	0.29019705556083863
38.0	0.2710567450360486
39.0	0.2555008278267792
40.0	0.2428362273819289
41.0	0.23218072993792305
42.0	0.22301981743964916
43.0	0.21487147579135524
44.0	0.20751278413779062
45.0	0.2008309597117801
46.0	0.1946753411163087
47.0	0.18904371023342037
48.0	0.18380485685437975
49.0	0.17895246787423957
50.0	0.1743793058207075
51.0	0.17015268204274037
