#Insert size (bp)	insert size
1.0	358.0
2.0	80.0
3.0	53.0
4.0	44.0
5.0	35.0
6.0	36.0
7.0	33.0
8.0	49.0
9.0	36.0
10.0	28.0
11.0	35.0
12.0	34.0
13.0	43.0
14.0	35.0
15.0	34.0
16.0	30.0
17.0	28.0
18.0	35.0
19.0	22.0
20.0	29.0
21.0	38.0
22.0	36.0
23.0	34.0
24.0	42.0
25.0	28.0
26.0	25.0
27.0	33.0
28.0	37.0
29.0	26.0
30.0	31.0
31.0	23.0
32.0	22.0
33.0	13.0
34.0	11.0
35.0	20.0
36.0	28.0
37.0	32.0
38.0	38.0
39.0	69.0
40.0	4408.0
41.0	4793.0
42.0	4587.0
43.0	4528.0
44.0	4373.0
45.0	4391.0
46.0	4532.0
47.0	4346.0
48.0	4763.0
49.0	5064.0
50.0	4612.0
51.0	4513.0
52.0	4389.0
53.0	4373.0
54.0	4517.0
55.0	4337.0
56.0	4735.0
57.0	4607.0
58.0	4764.0
59.0	4731.0
60.0	4591.0
61.0	4502.0
62.0	4339.0
63.0	4274.0
64.0	4283.0
65.0	4127.0
66.0	4444.0
67.0	4362.0
68.0	4210.0
69.0	4227.0
70.0	4308.0
71.0	4157.0
72.0	4134.0
73.0	4154.0
74.0	4150.0
75.0	4062.0
76.0	4126.0
77.0	3842.0
78.0	3999.0
79.0	4026.0
80.0	3991.0
81.0	3997.0
82.0	3830.0
83.0	3740.0
84.0	3664.0
85.0	3587.0
86.0	3505.0
87.0	3325.0
88.0	3453.0
89.0	3576.0
90.0	3613.0
91.0	3416.0
92.0	3054.0
93.0	2985.0
94.0	2922.0
95.0	2739.0
96.0	2704.0
97.0	2642.0
98.0	2520.0
99.0	2556.0
100.0	2762.0
101.0	2624.0
102.0	2529.0
103.0	2251.0
104.0	1984.0
105.0	2118.0
106.0	2036.0
107.0	1986.0
108.0	2088.0
109.0	2188.0
110.0	2207.0
111.0	2256.0
112.0	2211.0
113.0	2024.0
114.0	2157.0
115.0	2061.0
116.0	2081.0
117.0	2064.0
118.0	2179.0
119.0	2185.0
120.0	2319.0
121.0	2526.0
122.0	2385.0
123.0	2304.0
124.0	2328.0
125.0	2410.0
126.0	2351.0
127.0	2470.0
128.0	2516.0
129.0	2745.0
130.0	2942.0
131.0	2961.0
132.0	2911.0
133.0	2999.0
134.0	3047.0
135.0	3093.0
136.0	3132.0
137.0	3334.0
138.0	3475.0
139.0	3722.0
140.0	3899.0
141.0	4211.0
142.0	4197.0
143.0	4246.0
144.0	4368.0
145.0	4425.0
146.0	4413.0
147.0	4647.0
148.0	4866.0
149.0	5239.0
150.0	5554.0
151.0	5844.0
152.0	6099.0
153.0	6177.0
154.0	6597.0
155.0	6561.0
156.0	6803.0
157.0	6872.0
158.0	7396.0
159.0	7665.0
160.0	8057.0
161.0	8188.0
162.0	8695.0
163.0	8891.0
164.0	9121.0
165.0	9597.0
166.0	9873.0
167.0	10287.0
168.0	10551.0
169.0	11015.0
170.0	11736.0
171.0	12043.0
172.0	12450.0
173.0	13006.0
174.0	13374.0
175.0	14210.0
176.0	14739.0
177.0	15074.0
178.0	15797.0
179.0	16370.0
180.0	16988.0
181.0	17059.0
182.0	18270.0
183.0	18734.0
184.0	19059.0
185.0	20122.0
186.0	20740.0
187.0	21388.0
188.0	22220.0
189.0	22988.0
190.0	24016.0
191.0	24583.0
192.0	25474.0
193.0	26208.0
194.0	27164.0
195.0	27908.0
196.0	28939.0
197.0	29412.0
198.0	30594.0
199.0	32149.0
200.0	32359.0
201.0	33457.0
202.0	34638.0
203.0	35472.0
204.0	36767.0
205.0	37144.0
206.0	38606.0
207.0	39870.0
208.0	40916.0
209.0	41880.0
210.0	42877.0
211.0	43825.0
212.0	45116.0
213.0	45850.0
214.0	46921.0
215.0	48014.0
216.0	48985.0
217.0	50546.0
218.0	51789.0
219.0	52194.0
220.0	53574.0
221.0	54962.0
222.0	56116.0
223.0	57218.0
224.0	58161.0
225.0	59114.0
226.0	59915.0
227.0	61460.0
228.0	61876.0
229.0	62968.0
230.0	64283.0
231.0	65588.0
232.0	66308.0
233.0	67206.0
234.0	68119.0
235.0	69090.0
236.0	69615.0
237.0	70673.0
238.0	71723.0
239.0	72215.0
240.0	73125.0
241.0	74225.0
242.0	74938.0
243.0	76290.0
244.0	76558.0
245.0	76980.0
246.0	78096.0
247.0	77966.0
248.0	79491.0
249.0	79632.0
250.0	80813.0
251.0	81575.0
252.0	82686.0
253.0	82564.0
254.0	83265.0
255.0	83966.0
256.0	84336.0
257.0	85108.0
258.0	86151.0
259.0	86036.0
260.0	86408.0
261.0	87085.0
262.0	87831.0
263.0	87893.0
264.0	88521.0
265.0	89091.0
266.0	88946.0
267.0	89801.0
268.0	90241.0
269.0	90159.0
270.0	90410.0
271.0	91202.0
272.0	91417.0
273.0	90814.0
274.0	92001.0
275.0	91885.0
276.0	92296.0
