#GC Content (%)	Sample
1.0	1.9103559120421193E-6
2.0	2.2287485640491393E-6
3.0	1.4858323760327598E-6
4.0	1.2735706080280796E-6
5.0	1.3797014920304195E-6
6.0	9.551779560210596E-7
7.0	1.3797014920304195E-6
8.0	1.5919632600350992E-6
9.0	1.2735706080280796E-6
10.0	1.0613088400233997E-6
11.0	1.1674397240257394E-6
12.0	1.6980941440374395E-6
13.0	4.2452353600936E-6
14.0	4.139104476091259E-6
15.0	7.535292764166138E-6
16.0	9.445648676208258E-6
17.0	1.6768679672369715E-5
18.0	2.663885188458733E-5
19.0	4.839568310506703E-5
20.0	7.482227322164967E-5
21.0	1.4964454644329935E-4
22.0	2.790180940421518E-4
23.0	5.039094372431103E-4
24.0	9.141053039121542E-4
25.0	0.001830863879924367
26.0	0.0025205023641715722
27.0	0.0044581339134022934
28.0	0.006927268929716733
29.0	0.010087846655306416
30.0	0.01429020513826307
31.0	0.019274429843664967
32.0	0.024719793240057023
33.0	0.030520588966972916
34.0	0.035991105382873534
35.0	0.04101332494474827
36.0	0.04482735052314035
37.0	0.04756319245095268
38.0	0.049165238144967996
39.0	0.049448925997906255
40.0	0.04887454565368558
41.0	0.04716626294478392
42.0	0.04497657054604765
43.0	0.04240066786042686
44.0	0.03977265491076091
45.0	0.03692569394739814
46.0	0.03419462790936592
47.0	0.03174332288156388
48.0	0.02930401064365409
49.0	0.027077490828169008
50.0	0.024894060151588862
51.0	0.025013881919627504
52.0	0.0186093075936223
53.0	0.019012074298411178
54.0	0.017317270211777813
55.0	0.01579790047640031
56.0	0.014483151085379325
57.0	0.013117989524457224
58.0	0.011701354484793994
59.0	0.010395944611565209
60.0	0.009027174600587032
61.0	0.007909297999390384
62.0	0.00707818704676806
63.0	0.006170980250316057
64.0	0.005451943511200204
65.0	0.004778543052205358
66.0	0.004103975153486485
67.0	0.003561540205350525
68.0	0.0030001078289781462
69.0	0.0025424714571600565
70.0	0.0020469463597531314
71.0	0.0017053110441495988
72.0	0.0013418127664415842
73.0	0.0010278776115626627
74.0	7.951325829455311E-4
75.0	6.040969917413191E-4
76.0	4.497826864019169E-4
77.0	3.373900802434388E-4
78.0	2.2849979325703797E-4
79.0	1.5834727893149125E-4
80.0	9.477487941408958E-5
81.0	4.733437426504363E-5
82.0	2.685111365259201E-5
83.0	1.1992789892264417E-5
84.0	6.898507460152099E-6
85.0	1.4858323760327594E-6
86.0	1.2735706080280796E-6
87.0	5.306544200116999E-7
88.0	2.1226176800467994E-7
89.0	5.306544200116999E-7
90.0	3.183926520070199E-7
91.0	1.0613088400233997E-7
92.0	3.183926520070199E-7
93.0	7.429161880163798E-7
94.0	6.367853040140398E-7
95.0	7.429161880163798E-7
96.0	1.5919632600350994E-6
97.0	1.2735706080280796E-6
98.0	2.4410103320538194E-6
99.0	1.9103559120421193E-6
100.0	4.988151548109979E-6
