#Mapping quality	mapping quality
0.0	1.5697695E7
1.0	1.1991841E7
2.0	1.2109767E7
3.0	1.6671309E7
4.0	1.3353813E7
5.0	1.428643E7
6.0	1.4182088E7
7.0	1.3511825E7
8.0	2.5137657E7
9.0	1.7569341E7
10.0	1.9853666E7
11.0	2.2678935E7
12.0	1.9986978E7
13.0	2.896718E7
14.0	2.5560276E7
15.0	3.073006E7
16.0	3.0208001E7
17.0	2.9789189E7
18.0	3.7121579E7
19.0	3.5429301E7
20.0	3.7554667E7
21.0	3.7906136E7
22.0	2.4921033E7
23.0	9.4393977E7
24.0	3.1693485E7
25.0	3.6862499E7
26.0	3.8149421E7
27.0	3.7121198E7
28.0	3.2536141E7
29.0	3.4745236E7
30.0	3.105015E7
31.0	2.7198247E7
32.0	3.0862297E7
33.0	2.5186794E7
34.0	2.5217108E7
35.0	2.1738323E7
36.0	2.188259E7
37.0	1.8848995E7
38.0	1.7932753E7
39.0	1.2126521E7
40.0	1.8934127E7
41.0	2.0843027E7
42.0	8063214.0
