#Insert size (bp)	insert size
1.0	13047.0
2.0	1248.0
3.0	718.0
4.0	748.0
5.0	700.0
6.0	762.0
7.0	804.0
8.0	705.0
9.0	590.0
10.0	560.0
11.0	520.0
12.0	463.0
13.0	434.0
14.0	419.0
15.0	416.0
16.0	449.0
17.0	401.0
18.0	368.0
19.0	342.0
20.0	327.0
21.0	346.0
22.0	319.0
23.0	359.0
24.0	355.0
25.0	359.0
26.0	293.0
27.0	317.0
28.0	318.0
29.0	327.0
30.0	354.0
31.0	173.0
32.0	175.0
33.0	156.0
34.0	169.0
35.0	200.0
36.0	197.0
37.0	208.0
38.0	254.0
39.0	354.0
40.0	9407.0
41.0	9282.0
42.0	9388.0
43.0	9352.0
44.0	9122.0
45.0	9536.0
46.0	9558.0
47.0	9461.0
48.0	10232.0
49.0	10583.0
50.0	10252.0
51.0	9681.0
52.0	9651.0
53.0	9933.0
54.0	10235.0
55.0	10134.0
56.0	10529.0
57.0	10610.0
58.0	10923.0
59.0	11469.0
60.0	11522.0
61.0	11355.0
62.0	11355.0
63.0	11124.0
64.0	11107.0
65.0	11393.0
66.0	11842.0
67.0	11955.0
68.0	12715.0
69.0	13015.0
70.0	13310.0
71.0	13758.0
72.0	13715.0
73.0	14175.0
74.0	14248.0
75.0	15307.0
76.0	14751.0
77.0	16079.0
78.0	17148.0
79.0	17926.0
80.0	17781.0
81.0	18514.0
82.0	18494.0
83.0	19154.0
84.0	19977.0
85.0	21021.0
86.0	21661.0
87.0	22274.0
88.0	23793.0
89.0	25475.0
90.0	26660.0
91.0	27133.0
92.0	27178.0
93.0	28434.0
94.0	29695.0
95.0	30659.0
96.0	31992.0
97.0	34195.0
98.0	36493.0
99.0	38333.0
100.0	39437.0
101.0	40389.0
102.0	41900.0
103.0	43597.0
104.0	45135.0
105.0	46724.0
106.0	49070.0
107.0	51772.0
108.0	54394.0
109.0	58489.0
110.0	60625.0
111.0	62726.0
112.0	64871.0
113.0	66550.0
114.0	69197.0
115.0	72474.0
116.0	76037.0
117.0	78957.0
118.0	83768.0
119.0	87664.0
120.0	91747.0
121.0	93640.0
122.0	95930.0
123.0	97946.0
124.0	101560.0
125.0	104128.0
126.0	108106.0
127.0	110995.0
128.0	115006.0
129.0	119195.0
130.0	122284.0
131.0	126643.0
132.0	129419.0
133.0	133132.0
134.0	137252.0
135.0	140210.0
136.0	142789.0
137.0	146398.0
138.0	150858.0
139.0	154654.0
140.0	158763.0
141.0	161132.0
142.0	164764.0
143.0	168286.0
144.0	172599.0
145.0	174487.0
146.0	177907.0
147.0	180234.0
148.0	182996.0
149.0	186828.0
150.0	189381.0
151.0	196109.0
152.0	198199.0
153.0	201494.0
154.0	204219.0
155.0	206806.0
156.0	209361.0
157.0	212024.0
158.0	214992.0
159.0	217441.0
160.0	219838.0
161.0	222206.0
162.0	223646.0
163.0	226740.0
164.0	229385.0
165.0	231807.0
166.0	233716.0
167.0	235991.0
168.0	237755.0
169.0	241126.0
170.0	243450.0
171.0	243841.0
172.0	246890.0
173.0	247297.0
174.0	249434.0
175.0	251226.0
176.0	252850.0
177.0	255830.0
178.0	257346.0
179.0	259224.0
180.0	260870.0
181.0	260841.0
182.0	261854.0
183.0	263130.0
184.0	263786.0
185.0	264706.0
186.0	265404.0
187.0	267398.0
188.0	267563.0
189.0	268038.0
190.0	268498.0
191.0	269026.0
192.0	267368.0
193.0	267569.0
194.0	267896.0
195.0	268289.0
196.0	266317.0
197.0	268564.0
198.0	267969.0
199.0	268274.0
200.0	268071.0
201.0	267664.0
202.0	265883.0
203.0	265985.0
204.0	263938.0
205.0	263423.0
206.0	263416.0
207.0	263188.0
208.0	263308.0
209.0	263487.0
210.0	263096.0
211.0	260767.0
212.0	259329.0
213.0	258422.0
214.0	256666.0
215.0	255452.0
216.0	253861.0
217.0	254414.0
218.0	253325.0
219.0	253988.0
220.0	254191.0
221.0	254032.0
222.0	253011.0
223.0	250546.0
224.0	249194.0
225.0	247927.0
226.0	246740.0
227.0	245960.0
228.0	245602.0
229.0	244119.0
230.0	242835.0
231.0	243361.0
232.0	240638.0
233.0	239359.0
234.0	237924.0
235.0	236629.0
236.0	234328.0
237.0	233760.0
238.0	233728.0
239.0	231691.0
240.0	230785.0
241.0	230198.0
242.0	229511.0
243.0	227988.0
244.0	225669.0
245.0	223776.0
246.0	222961.0
247.0	220362.0
248.0	220274.0
249.0	218820.0
250.0	218125.0
251.0	217464.0
252.0	216018.0
253.0	214462.0
254.0	212371.0
255.0	211334.0
256.0	209005.0
257.0	207793.0
258.0	206270.0
259.0	206577.0
260.0	204401.0
261.0	204060.0
262.0	202072.0
263.0	201418.0
264.0	199036.0
265.0	196587.0
266.0	196299.0
267.0	194594.0
268.0	192915.0
269.0	192057.0
270.0	190616.0
271.0	190083.0
272.0	188253.0
273.0	186346.0
274.0	185460.0
275.0	182969.0
276.0	183101.0
277.0	181295.0
278.0	179232.0
279.0	178101.0
280.0	177379.0
281.0	175682.0
282.0	174318.0
283.0	173530.0
284.0	172592.0
285.0	170034.0
286.0	169080.0
287.0	167063.0
288.0	165590.0
289.0	164187.0
290.0	161931.0
291.0	160963.0
292.0	160075.0
293.0	158654.0
294.0	157305.0
295.0	155850.0
296.0	154207.0
297.0	152933.0
298.0	151268.0
299.0	149323.0
300.0	148880.0
301.0	147601.0
302.0	146934.0
303.0	145208.0
304.0	144013.0
305.0	142666.0
306.0	140516.0
307.0	139470.0
308.0	138788.0
309.0	137104.0
310.0	135826.0
311.0	133528.0
312.0	132896.0
313.0	131641.0
314.0	130342.0
315.0	128964.0
316.0	127284.0
317.0	126560.0
318.0	126104.0
319.0	123835.0
320.0	122593.0
321.0	121825.0
322.0	120074.0
323.0	119165.0
324.0	118307.0
325.0	116228.0
326.0	114864.0
327.0	113975.0
328.0	112714.0
329.0	111655.0
330.0	111258.0
331.0	109855.0
332.0	108443.0
333.0	107297.0
334.0	106304.0
335.0	105468.0
336.0	104713.0
337.0	103763.0
338.0	102410.0
339.0	100791.0
340.0	100222.0
341.0	99335.0
342.0	98319.0
343.0	97067.0
344.0	96461.0
345.0	95380.0
346.0	94033.0
347.0	93438.0
348.0	92210.0
349.0	90856.0
350.0	90471.0
351.0	88801.0
352.0	88354.0
353.0	87372.0
354.0	86390.0
355.0	85794.0
356.0	85325.0
357.0	84710.0
358.0	83626.0
359.0	82669.0
360.0	82003.0
361.0	80957.0
362.0	80403.0
363.0	79376.0
364.0	78600.0
365.0	77454.0
366.0	76677.0
367.0	76470.0
368.0	75390.0
369.0	74636.0
370.0	73994.0
371.0	73673.0
372.0	72201.0
373.0	71997.0
374.0	70447.0
375.0	70160.0
376.0	69104.0
377.0	69060.0
378.0	68067.0
379.0	67130.0
380.0	66574.0
381.0	66083.0
382.0	65170.0
