#Mapping quality	mapping quality
0.0	1562502.0
1.0	4086297.0
2.0	955178.0
3.0	1204206.0
4.0	1322340.0
5.0	1338576.0
6.0	1390874.0
7.0	1175247.0
8.0	1525384.0
9.0	1192688.0
10.0	1250557.0
11.0	1358670.0
12.0	1380571.0
13.0	1568202.0
14.0	1644516.0
15.0	1735512.0
16.0	1914032.0
17.0	1913241.0
18.0	2161135.0
19.0	2216093.0
20.0	2420590.0
21.0	2867413.0
22.0	2943198.0
23.0	4459425.0
24.0	4821744.0
25.0	4075155.0
26.0	4697869.0
27.0	5355763.0
28.0	6484926.0
29.0	7280103.0
30.0	8754364.0
31.0	8831945.0
32.0	1.2318886E7
33.0	1.3216873E7
34.0	1.5822681E7
35.0	1.8635828E7
36.0	2.4310606E7
37.0	2.9268972E7
38.0	4.000029E7
39.0	4.9967343E7
40.0	8.5936405E7
41.0	2.64128047E8
42.0	4.95143597E8
