#Duplication rate	Coverage
1.0	5.2573337E7
2.0	1.0560561E7
3.0	1818046.0
4.0	322857.0
5.0	76043.0
6.0	28888.0
7.0	15930.0
8.0	10557.0
9.0	7620.0
10.0	5437.0
11.0	4403.0
12.0	3390.0
13.0	2795.0
14.0	2290.0
15.0	2000.0
16.0	1690.0
17.0	1553.0
18.0	1391.0
19.0	1289.0
20.0	1092.0
21.0	962.0
22.0	929.0
23.0	767.0
24.0	715.0
25.0	654.0
26.0	618.0
27.0	569.0
28.0	560.0
29.0	538.0
30.0	481.0
31.0	426.0
32.0	411.0
33.0	347.0
34.0	354.0
35.0	341.0
36.0	315.0
37.0	299.0
38.0	267.0
39.0	257.0
40.0	203.0
41.0	204.0
42.0	209.0
43.0	187.0
44.0	159.0
45.0	177.0
46.0	168.0
47.0	148.0
48.0	129.0
49.0	122.0
50.0	4868.0
