#Position (bp)	insert size	chromosomes
1465207.0	402.74822225039475	0.0
4395620.0	403.76649223068375	500.0
7326033.0	403.2633563119345	0.0
1.0256446E7	402.55097766623936	0.0
1.3186859E7	403.1735773690643	500.0
1.6117272E7	404.18020662947896	0.0
1.9047685E7	403.35096289716984	0.0
2.1978098E7	404.0411180005114	500.0
2.4908511E7	403.194622071846	0.0
2.7838924E7	403.37158055862875	0.0
3.0769337E7	403.10356935874273	500.0
3.369975E7	404.287261888551	0.0
3.6630163E7	403.75366479620686	0.0
3.9560576E7	403.7068075256692	500.0
4.2490989E7	403.9147819986885	0.0
4.5421402E7	403.3500257493048	0.0
4.8351815E7	404.2339038547403	500.0
5.1282228E7	403.9419523099851	0.0
5.4212641E7	405.2091869821064	0.0
5.7143054E7	405.5209517741619	500.0
6.0073467E7	404.41686034227763	0.0
6.300388E7	404.8270120765671	0.0
6.5934293E7	404.34561413163107	500.0
6.8864706E7	404.12100053279494	0.0
7.1795119E7	403.8753818322014	0.0
7.4725532E7	404.21738691437804	500.0
7.7655945E7	403.9617916198427	0.0
8.0586358E7	404.27080527086383	0.0
8.3516771E7	404.4997561045594	500.0
8.6447184E7	404.53160092326044	0.0
8.9377597E7	405.1959335278317	0.0
9.230801E7	404.2048097994044	500.0
9.5238423E7	404.0728190338861	0.0
9.8168836E7	404.2298754192621	0.0
1.01099249E8	404.2843040182068	500.0
1.04029662E8	403.5278049862315	0.0
1.06960075E8	403.2434300835194	0.0
1.09890488E8	398.87556031175546	500.0
1.12820901E8	404.18970687142695	0.0
1.15751314E8	404.3471650084167	0.0
1.18681727E8	404.4046814114836	500.0
1.2161214E8	404.43589366031273	0.0
1.24542553E8	403.6666608327354	0.0
1.27472966E8	403.8680657149103	500.0
1.30403379E8	404.25445508895774	0.0
1.33333792E8	404.12022215417164	0.0
1.36264205E8	403.5447330093115	500.0
1.39194618E8	403.6996828823966	0.0
1.42125031E8	404.668212557612	0.0
1.45055444E8	404.3395493613382	500.0
1.47985857E8	404.67693047540536	0.0
1.5091627E8	403.7632824751938	0.0
1.53846683E8	403.044440202348	500.0
1.56777096E8	404.74166404304646	0.0
1.59707509E8	403.346543302314	0.0
1.62637922E8	403.33278768681305	500.0
1.65568335E8	403.12022530510063	0.0
1.68498748E8	404.2196750987032	0.0
1.71429161E8	403.8199784697256	500.0
1.74359574E8	403.9044436804332	0.0
1.77289987E8	403.1459208899876	0.0
1.802204E8	402.7284110328526	500.0
1.83150813E8	404.2236906844522	0.0
1.86081226E8	403.92831869458433	0.0
1.89011639E8	404.2551545204722	500.0
1.91942052E8	404.77325211864405	0.0
1.94872465E8	404.15063615380285	0.0
1.97802878E8	403.6996396172487	500.0
2.00733291E8	402.9617637148404	0.0
2.03663704E8	404.218058469716	0.0
2.06594117E8	404.2343574323441	500.0
2.0952453E8	399.97681976977265	0.0
2.12454943E8	403.98725165781184	0.0
2.141011355E8	402.7677886196689	500.0
2.15566342E8	402.6766858260251	0.0
2.18315769E8	404.46907145983806	0.0
2.21246182E8	404.89632248192896	500.0
2.24176595E8	403.7788830637332	0.0
2.27107008E8	404.1012263967296	0.0
2.30037421E8	404.67046646618644	500.0
2.32967834E8	403.75323706964537	0.0
2.35898247E8	403.7255344798645	0.0
2.3882866E8	404.05226590165404	500.0
2.41759073E8	404.50740955870305	0.0
2.44689486E8	403.0024283803759	0.0
2.47619899E8	404.16391048431115	500.0
2.50550312E8	403.72463885623165	0.0
2.53480725E8	403.4393174981198	0.0
2.56411138E8	404.30542403615067	500.0
2.59341551E8	403.5518408679928	0.0
2.62271964E8	404.59061742896995	0.0
2.65202377E8	404.6422342251104	500.0
2.6813279E8	404.11243499541143	0.0
2.71063203E8	404.231402145764	0.0
2.73993616E8	403.6422361409741	500.0
2.76924029E8	403.8333469900579	0.0
2.79854442E8	404.4129844110221	0.0
2.82784855E8	404.38096508664967	500.0
2.85715268E8	403.69839035607276	0.0
2.88645681E8	404.0179591046716	0.0
2.91576094E8	403.5149299084353	500.0
2.94506507E8	404.2821697738992	0.0
2.9743692E8	403.9165222318512	0.0
3.00367333E8	403.6372923250211	500.0
3.03297746E8	403.85399169502637	0.0
3.06228159E8	404.08717477808386	0.0
3.09158572E8	403.6045447862382	500.0
3.12088985E8	403.80090944189436	0.0
3.15019398E8	403.8828642944121	0.0
3.17949811E8	402.73091118035757	500.0
3.20880224E8	402.9242629592387	0.0
3.23810637E8	403.623334091426	0.0
3.2674105E8	403.3994187568007	500.0
3.29671463E8	403.4941494298595	0.0
3.32601876E8	403.7136733682005	0.0
3.35532289E8	404.15628028100775	500.0
3.38462702E8	404.4939821616728	0.0
3.41393115E8	404.0774537288459	0.0
3.44323528E8	403.58243128561287	500.0
3.47253941E8	403.33020463666213	0.0
3.50184354E8	403.6313425461514	0.0
3.53114767E8	404.27100947625263	500.0
3.5604518E8	403.9172048605797	0.0
3.58975593E8	404.26046779210037	0.0
3.61906006E8	404.31996105435456	500.0
3.64836419E8	404.8702897879826	0.0
3.67766832E8	404.7955952705906	0.0
3.70697245E8	403.73739733252955	500.0
3.73627658E8	404.575379565039	0.0
3.76133706E8	402.6730172954566	0.0
3.775989125E8	403.43556228215004	500.0
3.79488484E8	404.23384837924914	0.0
3.82418897E8	403.27989557526837	0.0
3.8534931E8	404.5342305289463	500.0
3.88279723E8	404.6888194573832	0.0
3.91210136E8	404.4642069352916	0.0
3.94140549E8	404.4550643281137	500.0
3.97070962E8	398.4187692307692	0.0
4.00001375E8	403.7246966010247	0.0
4.02931788E8	404.56138624992974	500.0
4.05862201E8	403.6922580160697	0.0
4.08792614E8	403.7907568338553	0.0
4.11723027E8	404.54763138661883	500.0
4.1465344E8	403.7151591093731	0.0
4.17583853E8	403.68280518314197	0.0
4.20514266E8	404.41101446728754	500.0
4.23444679E8	404.10755991770003	0.0
4.26375092E8	404.13804941810105	0.0
4.29305505E8	404.053778188433	500.0
4.32235918E8	404.067823628072	0.0
4.35166331E8	404.1708911312868	0.0
4.38096744E8	403.95839584106943	500.0
4.41027157E8	403.924577037324	0.0
4.4395757E8	404.1343080939948	0.0
4.46887983E8	403.7478434657379	500.0
4.49818396E8	403.8498350601682	0.0
4.52748809E8	403.69911050764796	0.0
4.55679222E8	402.4520930408044	500.0
4.58609635E8	403.5845880602269	0.0
4.61540048E8	403.63448653916436	0.0
4.64470461E8	404.073564902603	500.0
4.67400874E8	403.95085995086	0.0
4.70331287E8	403.3575330521895	0.0
4.732617E8	403.011506080449	500.0
4.76192113E8	404.2494258153422	0.0
4.79122526E8	403.99294444825927	0.0
4.82052939E8	404.60298380490264	500.0
4.84983352E8	404.12206816301926	0.0
4.87913765E8	403.8293907915938	0.0
4.90844178E8	404.36866851574433	500.0
4.93774591E8	404.51845026236936	0.0
4.96705004E8	404.3252934162704	0.0
4.99635417E8	403.1069410102437	500.0
5.01414164E8	400.8475860229394	0.0
5.028793705E8	404.2965248676108	0.0
5.05496243E8	402.1791553316993	500.0
5.08426656E8	403.7670302791757	0.0
5.11357069E8	403.7208253374666	0.0
5.14287482E8	403.5963428074696	500.0
5.17217895E8	403.8211256508103	0.0
5.20148308E8	348.9096286912772	0.0
5.23078721E8	404.8652464353879	500.0
5.26009134E8	404.0770115105667	0.0
5.28939547E8	403.8487189605974	0.0
5.3186996E8	403.6265731535158	500.0
5.34800373E8	404.16572099393466	0.0
5.37730786E8	403.9266133589028	0.0
5.40661199E8	403.1922264308963	500.0
5.43591612E8	405.28613399457066	0.0
5.46522025E8	404.7758858425525	0.0
5.49452438E8	404.4852180128663	500.0
5.52382851E8	404.57380994049703	0.0
5.55313264E8	404.2894972667802	0.0
5.58243677E8	403.60161366600266	500.0
5.6117409E8	403.18475929959646	0.0
5.64104503E8	403.05220663989405	0.0
5.67034916E8	403.59657548194406	500.0
5.69965329E8	403.63506287246287	0.0
5.72895742E8	404.13922573910907	0.0
5.75826155E8	402.9863848485334	500.0
5.78756568E8	403.88323447706284	0.0
5.81686981E8	402.9073413532611	0.0
5.83308E8	403.71846172277463	500.0
5.847732065E8	404.88344375856474	0.0
5.87547807E8	404.6152879113649	0.0
5.9047822E8	404.2632130352072	500.0
5.93408633E8	404.125032943559	0.0
5.96339046E8	404.27043094709734	0.0
5.99269459E8	404.685955751736	500.0
6.02199872E8	403.3125020242915	0.0
6.05130285E8	404.2488729443139	0.0
6.08060698E8	404.87519615864375	500.0
6.10991111E8	404.15029893789125	0.0
6.13921524E8	404.58629052846567	0.0
6.16851937E8	403.09598095238096	500.0
6.1978235E8	402.93644319649115	0.0
6.22712763E8	403.64641005845374	0.0
6.25643176E8	404.9032998637671	500.0
6.28573589E8	403.7173407717341	0.0
6.31504002E8	404.1270998466908	0.0
6.34434415E8	404.3297062329103	500.0
6.37364828E8	404.69713623287964	0.0
6.40295241E8	403.749677337115	0.0
