#Coverage	Number of genomic locations
0.0	2.8819745E7
1.0	1.3588197E7
2.0	2.0195744E7
3.0	2.5956661E7
4.0	3.1185581E7
5.0	3.5631004E7
6.0	3.9205047E7
7.0	4.2259512E7
8.0	4.470548E7
9.0	4.667E7
10.0	4.823455E7
11.0	4.9433708E7
12.0	5.0251946E7
13.0	5.0716621E7
14.0	5.0789284E7
15.0	5.0472356E7
16.0	4.9712586E7
17.0	4.8460667E7
18.0	4.6790261E7
19.0	4.4664637E7
20.0	4.2173294E7
21.0	3.935055E7
22.0	3.6309375E7
23.0	3.312122E7
24.0	2.9809718E7
25.0	2.6525945E7
26.0	2.3332745E7
27.0	2.0295233E7
28.0	1.7447083E7
29.0	1.4850693E7
30.0	1.2516188E7
31.0	1.0460125E7
32.0	8641187.0
33.0	7088085.0
34.0	5775587.0
35.0	4669122.0
36.0	3761630.0
37.0	3016415.0
38.0	2404704.0
39.0	1914608.0
40.0	1526662.0
41.0	1217072.0
42.0	964840.0
43.0	773931.0
44.0	624753.0
45.0	506461.0
46.0	413754.0
47.0	346868.0
48.0	287906.0
49.0	242078.0
50.0	205984.0
51.0	176771.0
52.0	155510.0
53.0	137085.0
54.0	123249.0
55.0	110469.0
56.0	100984.0
57.0	92700.0
58.0	84911.0
59.0	78682.0
60.0	74091.0
61.0	68824.0
62.0	64651.0
63.0	60959.0
64.0	58420.0
65.0	55865.0
66.0	53109.0
67.0	50504.0
68.0	47859.0
69.0	46459.0
70.0	44324.0
71.0	41348.0
72.0	40119.0
73.0	38375.0
74.0	36841.0
75.0	35467.0
76.0	34476.0
77.0	33253.0
78.0	31641.0
79.0	30383.0
80.0	29680.0
81.0	28923.0
82.0	27589.0
83.0	26624.0
84.0	26195.0
85.0	25530.0
86.0	24711.0
87.0	24195.0
88.0	23495.0
89.0	22720.0
90.0	21961.0
91.0	21491.0
92.0	21265.0
93.0	20396.0
94.0	20397.0
95.0	19818.0
96.0	19104.0
97.0	18967.0
98.0	18685.0
99.0	18167.0
100.0	17423.0
101.0	17174.0
102.0	16790.0
103.0	16606.0
104.0	16328.0
105.0	15531.0
106.0	15501.0
107.0	15444.0
108.0	15027.0
109.0	14692.0
110.0	14183.0
111.0	14181.0
112.0	13662.0
113.0	13780.0
114.0	13276.0
115.0	12978.0
116.0	12981.0
117.0	12700.0
118.0	12674.0
119.0	12209.0
120.0	11833.0
121.0	11681.0
122.0	11510.0
123.0	11454.0
124.0	11425.0
125.0	11052.0
126.0	10843.0
127.0	10365.0
128.0	10180.0
129.0	9997.0
130.0	9419.0
131.0	9306.0
132.0	9695.0
133.0	9450.0
134.0	9387.0
135.0	9022.0
136.0	9095.0
137.0	8767.0
138.0	8610.0
139.0	8516.0
140.0	8376.0
141.0	8080.0
142.0	7863.0
143.0	7810.0
144.0	7810.0
145.0	7453.0
146.0	7367.0
147.0	7243.0
148.0	7139.0
149.0	6843.0
150.0	6797.0
151.0	6916.0
152.0	6965.0
153.0	6720.0
154.0	6628.0
155.0	6626.0
156.0	6387.0
157.0	6463.0
158.0	6325.0
159.0	6213.0
160.0	6324.0
161.0	5989.0
162.0	5834.0
163.0	5872.0
164.0	5748.0
165.0	5513.0
166.0	5533.0
167.0	5421.0
168.0	5445.0
169.0	5241.0
170.0	5080.0
171.0	4856.0
172.0	5020.0
173.0	4826.0
174.0	4752.0
175.0	4673.0
176.0	4755.0
177.0	4716.0
178.0	4570.0
179.0	4449.0
180.0	4429.0
181.0	4529.0
182.0	4371.0
183.0	4246.0
184.0	4156.0
185.0	4099.0
186.0	3978.0
187.0	3912.0
188.0	3957.0
189.0	3992.0
190.0	3857.0
191.0	3832.0
192.0	3697.0
193.0	3690.0
194.0	3738.0
195.0	3725.0
196.0	3727.0
197.0	3682.0
198.0	3603.0
199.0	3502.0
200.0	3464.0
201.0	3358.0
202.0	3284.0
203.0	3269.0
204.0	3196.0
205.0	3283.0
206.0	3104.0
207.0	3065.0
208.0	3066.0
209.0	3060.0
210.0	3031.0
211.0	2973.0
212.0	3058.0
213.0	2870.0
214.0	2950.0
215.0	2833.0
216.0	2791.0
217.0	2809.0
218.0	2708.0
219.0	2758.0
220.0	2601.0
221.0	2626.0
222.0	2653.0
223.0	2573.0
224.0	2553.0
225.0	2614.0
226.0	2489.0
227.0	2475.0
228.0	2461.0
229.0	2439.0
230.0	2374.0
231.0	2223.0
232.0	2436.0
233.0	2332.0
234.0	2357.0
235.0	2270.0
236.0	2289.0
237.0	2144.0
238.0	2172.0
239.0	2234.0
240.0	2125.0
241.0	2162.0
242.0	2144.0
243.0	2027.0
244.0	2153.0
245.0	2138.0
246.0	2144.0
247.0	2071.0
248.0	2172.0
249.0	2168.0
250.0	2038.0
251.0	2180.0
252.0	2151.0
253.0	1997.0
254.0	2022.0
255.0	2020.0
256.0	1899.0
257.0	1993.0
258.0	1967.0
259.0	1897.0
260.0	1818.0
261.0	1734.0
262.0	1820.0
263.0	1849.0
264.0	1797.0
265.0	1681.0
266.0	1694.0
267.0	1666.0
268.0	1666.0
269.0	1627.0
270.0	1658.0
271.0	1609.0
272.0	1520.0
273.0	1584.0
274.0	1647.0
275.0	1654.0
276.0	1550.0
277.0	1553.0
278.0	1556.0
279.0	1483.0
280.0	1410.0
281.0	1458.0
282.0	1472.0
283.0	1459.0
284.0	1489.0
285.0	1425.0
286.0	1437.0
287.0	1396.0
288.0	1400.0
289.0	1433.0
290.0	1469.0
291.0	1520.0
292.0	1469.0
293.0	1469.0
294.0	1353.0
295.0	1416.0
296.0	1350.0
297.0	1370.0
298.0	1362.0
299.0	1282.0
300.0	1374.0
301.0	1321.0
