#Duplication rate	Coverage
1.0	1.0225265E8
2.0	1.2109732E7
3.0	1203042.0
4.0	250687.0
5.0	63302.0
6.0	31878.0
7.0	19640.0
8.0	14165.0
9.0	10626.0
10.0	8118.0
11.0	6730.0
12.0	5379.0
13.0	4412.0
14.0	3728.0
15.0	3071.0
16.0	2763.0
17.0	2380.0
18.0	2064.0
19.0	1884.0
20.0	1678.0
21.0	1535.0
22.0	1389.0
23.0	1149.0
24.0	1191.0
25.0	950.0
26.0	981.0
27.0	847.0
28.0	843.0
29.0	824.0
30.0	775.0
31.0	733.0
32.0	628.0
33.0	660.0
34.0	595.0
35.0	524.0
36.0	469.0
37.0	460.0
38.0	457.0
39.0	423.0
40.0	431.0
41.0	414.0
42.0	369.0
43.0	355.0
44.0	333.0
45.0	323.0
46.0	316.0
47.0	292.0
48.0	288.0
49.0	300.0
50.0	9330.0
