#Mapping quality	mapping quality
0.0	1117177.0
1.0	4152758.0
2.0	692428.0
3.0	867991.0
4.0	971648.0
5.0	1043548.0
6.0	1108049.0
7.0	896990.0
8.0	1120598.0
9.0	894106.0
10.0	916906.0
11.0	975537.0
12.0	996297.0
13.0	1063359.0
14.0	1173512.0
15.0	1171383.0
16.0	1298402.0
17.0	1283228.0
18.0	1436412.0
19.0	1493044.0
20.0	1586913.0
21.0	1958393.0
22.0	1966392.0
23.0	2679872.0
24.0	3077794.0
25.0	2634068.0
26.0	2796611.0
27.0	3147414.0
28.0	3864073.0
29.0	4305862.0
30.0	5214632.0
31.0	5403253.0
32.0	7275188.0
33.0	8220214.0
34.0	9573807.0
35.0	1.1701087E7
36.0	1.5327216E7
37.0	1.9155853E7
38.0	2.665619E7
39.0	3.7297983E7
40.0	6.5806475E7
41.0	2.51680468E8
42.0	6.27342015E8
