#Coverage	Number of genomic locations
0.0	5.7607898E7
1.0	4.8348132E7
2.0	5.5683316E7
3.0	5.4985726E7
4.0	5.275246E7
5.0	4.9565665E7
6.0	4.6570807E7
7.0	4.4049466E7
8.0	4.1807203E7
9.0	3.9939565E7
10.0	3.8262327E7
11.0	3.6841068E7
12.0	3.5557722E7
13.0	3.4513522E7
14.0	3.3555999E7
15.0	3.2706574E7
16.0	3.1918116E7
17.0	3.1207479E7
18.0	3.0476669E7
19.0	2.970766E7
20.0	2.8882901E7
21.0	2.7944106E7
22.0	2.6852442E7
23.0	2.5645775E7
24.0	2.4315384E7
25.0	2.2840363E7
26.0	2.1309541E7
27.0	1.9696856E7
28.0	1.8059311E7
29.0	1.6385518E7
30.0	1.4762265E7
31.0	1.3165679E7
32.0	1.1659353E7
33.0	1.0238689E7
34.0	8925711.0
35.0	7756764.0
36.0	6686117.0
37.0	5743141.0
38.0	4889572.0
39.0	4169964.0
40.0	3535832.0
41.0	2999351.0
42.0	2532964.0
43.0	2136108.0
44.0	1804369.0
45.0	1522123.0
46.0	1289325.0
47.0	1088524.0
48.0	927306.0
49.0	788612.0
50.0	674971.0
51.0	576573.0
52.0	495384.0
53.0	427875.0
54.0	369979.0
55.0	322147.0
56.0	281963.0
57.0	247905.0
58.0	216685.0
59.0	192568.0
60.0	171621.0
61.0	153596.0
62.0	137671.0
63.0	123977.0
64.0	112583.0
65.0	101065.0
66.0	92845.0
67.0	86088.0
68.0	78931.0
69.0	73519.0
70.0	69150.0
71.0	64875.0
72.0	60863.0
73.0	56330.0
74.0	53699.0
75.0	49805.0
76.0	46991.0
77.0	44922.0
78.0	43525.0
79.0	41442.0
80.0	39311.0
81.0	37787.0
82.0	35818.0
83.0	34561.0
84.0	33198.0
85.0	32581.0
86.0	31258.0
87.0	30262.0
88.0	28976.0
89.0	27912.0
90.0	26818.0
91.0	25824.0
92.0	25117.0
93.0	23982.0
94.0	23499.0
95.0	22719.0
96.0	22056.0
97.0	21666.0
98.0	20619.0
99.0	20162.0
100.0	19906.0
101.0	19316.0
102.0	18716.0
103.0	18419.0
104.0	18026.0
105.0	17701.0
106.0	17301.0
107.0	16624.0
108.0	16639.0
109.0	15902.0
110.0	15411.0
111.0	15096.0
112.0	14878.0
113.0	14174.0
114.0	14202.0
115.0	13704.0
116.0	13624.0
117.0	13231.0
118.0	13028.0
119.0	13016.0
120.0	12793.0
121.0	12483.0
122.0	11926.0
123.0	11883.0
124.0	11334.0
125.0	11198.0
126.0	11240.0
127.0	10845.0
128.0	10715.0
129.0	10539.0
130.0	10387.0
131.0	10219.0
132.0	9992.0
133.0	9520.0
134.0	9492.0
135.0	9556.0
136.0	9244.0
137.0	9222.0
138.0	8920.0
139.0	8859.0
140.0	8736.0
141.0	8429.0
142.0	8196.0
143.0	8196.0
144.0	8019.0
145.0	7966.0
146.0	8103.0
147.0	7847.0
148.0	7559.0
149.0	7409.0
150.0	7439.0
151.0	7174.0
152.0	7049.0
153.0	6951.0
154.0	6715.0
155.0	6699.0
156.0	6648.0
157.0	6563.0
158.0	6266.0
159.0	6302.0
160.0	6110.0
161.0	6004.0
162.0	5972.0
163.0	5973.0
164.0	5783.0
165.0	6083.0
166.0	5724.0
167.0	5784.0
168.0	5564.0
169.0	5523.0
170.0	5583.0
171.0	5416.0
172.0	5529.0
173.0	5325.0
174.0	5368.0
175.0	5160.0
176.0	5023.0
177.0	5063.0
178.0	4978.0
179.0	4832.0
180.0	4815.0
181.0	4784.0
182.0	4825.0
183.0	4529.0
184.0	4545.0
185.0	4491.0
186.0	4288.0
187.0	4465.0
188.0	4453.0
189.0	4242.0
190.0	4295.0
191.0	4117.0
192.0	4093.0
193.0	4148.0
194.0	4099.0
195.0	4043.0
196.0	3873.0
197.0	3821.0
198.0	3736.0
199.0	3622.0
200.0	3542.0
201.0	3640.0
202.0	3555.0
203.0	3556.0
204.0	3633.0
205.0	3424.0
206.0	3403.0
207.0	3210.0
208.0	3368.0
209.0	3418.0
210.0	3320.0
211.0	3337.0
212.0	3235.0
213.0	3229.0
214.0	3142.0
215.0	3070.0
216.0	2979.0
217.0	3019.0
218.0	2954.0
