#Duplication rate	Coverage
1.0	9.4067178E7
2.0	1.154385E7
3.0	1264094.0
4.0	260308.0
5.0	72530.0
6.0	37436.0
7.0	24455.0
8.0	17415.0
9.0	13417.0
10.0	10775.0
11.0	8717.0
12.0	6976.0
13.0	5795.0
14.0	4828.0
15.0	4162.0
16.0	3573.0
17.0	3071.0
18.0	2724.0
19.0	2340.0
20.0	2050.0
21.0	1858.0
22.0	1740.0
23.0	1556.0
24.0	1466.0
25.0	1358.0
26.0	1197.0
27.0	1094.0
28.0	1061.0
29.0	1072.0
30.0	1046.0
31.0	941.0
32.0	925.0
33.0	841.0
34.0	795.0
35.0	730.0
36.0	703.0
37.0	686.0
38.0	711.0
39.0	590.0
40.0	576.0
41.0	577.0
42.0	528.0
43.0	486.0
44.0	477.0
45.0	482.0
46.0	417.0
47.0	430.0
48.0	351.0
49.0	381.0
50.0	11865.0
