#Coverage (X)	Coverage
1.0	95.08534179428857
2.0	90.96065486916208
3.0	86.21018704440961
4.0	81.51923217771927
5.0	77.01880221218808
6.0	72.79024483254207
7.0	68.8171854654193
8.0	65.05922731992149
9.0	61.49256162971016
10.0	58.085228300870504
11.0	54.82098388493705
12.0	51.67799024275672
13.0	48.64448170884517
14.0	45.70005620480574
15.0	42.837319122536314
16.0	40.047048380670184
17.0	37.32404274852146
18.0	34.66166314309102
19.0	32.06163056798124
20.0	29.52720386504052
21.0	27.063139191054304
22.0	24.679165211407096
23.0	22.388323521285187
24.0	20.20042528299885
25.0	18.126025666810378
26.0	16.17746338044857
27.0	14.359498931622568
28.0	12.679116235362471
29.0	11.138436153689554
30.0	9.740551084292775
31.0	8.481149347101521
32.0	7.357955920896089
33.0	6.36327052385667
34.0	5.4897851397939235
35.0	4.7283128359796365
36.0	4.066566006710374
37.0	3.496158459842462
38.0	3.006198297744419
39.0	2.5890580099280385
40.0	2.2333090848393056
41.0	1.931659374363548
42.0	1.6757780539939233
43.0	1.4596852483273892
44.0	1.2774491127460124
45.0	1.1235143708121598
46.0	0.9936586643593444
47.0	0.8836634742713585
48.0	0.7907990651461745
49.0	0.7116885230099967
50.0	0.6444102752092817
51.0	0.5868269944624842
