#Insert size (bp)	insert size
1.0	17184.0
2.0	1422.0
3.0	856.0
4.0	831.0
5.0	829.0
6.0	874.0
7.0	832.0
8.0	840.0
9.0	785.0
10.0	787.0
11.0	712.0
12.0	720.0
13.0	652.0
14.0	693.0
15.0	652.0
16.0	664.0
17.0	631.0
18.0	571.0
19.0	600.0
20.0	591.0
21.0	580.0
22.0	573.0
23.0	573.0
24.0	599.0
25.0	546.0
26.0	571.0
27.0	544.0
28.0	592.0
29.0	547.0
30.0	564.0
31.0	301.0
32.0	271.0
33.0	262.0
34.0	284.0
35.0	269.0
36.0	288.0
37.0	369.0
38.0	394.0
39.0	484.0
40.0	11746.0
41.0	11968.0
42.0	11883.0
43.0	11675.0
44.0	11739.0
45.0	11593.0
46.0	11925.0
47.0	11987.0
48.0	12303.0
49.0	12333.0
50.0	12045.0
51.0	12445.0
52.0	12303.0
53.0	12318.0
54.0	12544.0
55.0	12838.0
56.0	12784.0
57.0	12864.0
58.0	13146.0
59.0	13382.0
60.0	13242.0
61.0	13541.0
62.0	13657.0
63.0	13693.0
64.0	13687.0
65.0	13775.0
66.0	14184.0
67.0	14058.0
68.0	14135.0
69.0	14707.0
70.0	14898.0
71.0	14826.0
72.0	15369.0
73.0	15615.0
74.0	15696.0
75.0	16097.0
76.0	16340.0
77.0	16805.0
78.0	17086.0
79.0	17652.0
80.0	18225.0
81.0	18428.0
82.0	19022.0
83.0	19685.0
84.0	20242.0
85.0	21131.0
86.0	21548.0
87.0	22164.0
88.0	22798.0
89.0	23797.0
90.0	24742.0
91.0	25891.0
92.0	26712.0
93.0	28258.0
94.0	29012.0
95.0	30160.0
96.0	31392.0
97.0	32889.0
98.0	34341.0
99.0	35752.0
100.0	37405.0
101.0	39566.0
102.0	40983.0
103.0	42815.0
104.0	44990.0
105.0	47072.0
106.0	49156.0
107.0	51442.0
108.0	54342.0
109.0	57476.0
110.0	59180.0
111.0	62159.0
112.0	64735.0
113.0	67623.0
114.0	70846.0
115.0	74581.0
116.0	77916.0
117.0	81302.0
118.0	84309.0
119.0	87724.0
120.0	91058.0
121.0	94795.0
122.0	98901.0
123.0	102465.0
124.0	106239.0
125.0	109945.0
126.0	113574.0
127.0	116805.0
128.0	122012.0
129.0	126389.0
130.0	129691.0
131.0	134048.0
132.0	137635.0
133.0	142541.0
134.0	146400.0
135.0	150196.0
136.0	154758.0
137.0	158811.0
138.0	162835.0
139.0	166534.0
140.0	170994.0
141.0	175095.0
142.0	178728.0
143.0	183220.0
144.0	187216.0
145.0	190722.0
146.0	194497.0
147.0	197392.0
148.0	200758.0
149.0	205681.0
150.0	209331.0
151.0	214845.0
152.0	218340.0
153.0	222410.0
154.0	226106.0
155.0	229507.0
156.0	233028.0
157.0	236838.0
158.0	239505.0
159.0	242664.0
160.0	245643.0
161.0	249012.0
162.0	251675.0
163.0	255420.0
164.0	258091.0
165.0	260721.0
166.0	264456.0
167.0	266499.0
168.0	268574.0
169.0	272454.0
170.0	273998.0
171.0	275753.0
172.0	278783.0
173.0	281161.0
174.0	282824.0
175.0	286040.0
176.0	288188.0
177.0	290365.0
178.0	292269.0
179.0	294436.0
180.0	295148.0
181.0	297163.0
182.0	298272.0
183.0	300576.0
184.0	302278.0
185.0	302692.0
186.0	304093.0
187.0	304267.0
188.0	306745.0
189.0	307781.0
190.0	308761.0
191.0	307940.0
192.0	308104.0
193.0	309271.0
194.0	309995.0
195.0	310786.0
196.0	310894.0
197.0	311732.0
198.0	312127.0
199.0	311778.0
200.0	312503.0
201.0	312227.0
202.0	311368.0
203.0	310870.0
204.0	313091.0
205.0	311223.0
206.0	311281.0
207.0	312041.0
208.0	312591.0
209.0	311487.0
210.0	309135.0
211.0	310347.0
212.0	308575.0
213.0	307785.0
214.0	306766.0
215.0	307048.0
216.0	305514.0
217.0	305829.0
218.0	306314.0
219.0	305477.0
220.0	307241.0
221.0	304541.0
222.0	304322.0
223.0	304029.0
224.0	303501.0
225.0	301220.0
226.0	300938.0
227.0	298972.0
228.0	299313.0
229.0	297498.0
230.0	295747.0
231.0	295948.0
232.0	294040.0
233.0	293333.0
234.0	290985.0
235.0	289819.0
236.0	288251.0
237.0	287250.0
238.0	287192.0
