#Mapping quality	mapping quality
0.0	1054191.0
1.0	4055473.0
2.0	493452.0
3.0	803999.0
4.0	588683.0
5.0	636628.0
6.0	773636.0
7.0	577630.0
8.0	1115041.0
9.0	599760.0
10.0	615624.0
11.0	648241.0
12.0	670593.0
13.0	694540.0
14.0	1023091.0
15.0	748060.0
16.0	967901.0
17.0	783413.0
18.0	867988.0
19.0	1021834.0
20.0	887288.0
21.0	1660110.0
22.0	1443241.0
23.0	2647272.0
24.0	2974191.0
25.0	2089411.0
26.0	1502468.0
27.0	1552409.0
28.0	2448360.0
29.0	2636482.0
30.0	3443696.0
31.0	2702065.0
32.0	5063242.0
33.0	5665768.0
34.0	4769299.0
35.0	6808510.0
36.0	8506062.0
37.0	1.0598067E7
38.0	1.3706972E7
39.0	1.896428E7
40.0	3.2557568E7
41.0	8.2405291E7
42.0	8.80785163E8
