#Duplication rate	Coverage
1.0	6.969253E7
2.0	1.5747213E7
3.0	3015057.0
4.0	552595.0
5.0	110701.0
6.0	30625.0
7.0	13311.0
8.0	8463.0
9.0	6242.0
10.0	4978.0
11.0	4099.0
12.0	3397.0
13.0	2860.0
14.0	2458.0
15.0	2184.0
16.0	1849.0
17.0	1647.0
18.0	1575.0
19.0	1421.0
20.0	1179.0
21.0	1057.0
22.0	983.0
23.0	848.0
24.0	808.0
25.0	744.0
26.0	670.0
27.0	611.0
28.0	559.0
29.0	486.0
30.0	476.0
31.0	437.0
32.0	346.0
33.0	366.0
34.0	338.0
35.0	264.0
36.0	262.0
37.0	265.0
38.0	236.0
39.0	202.0
40.0	195.0
41.0	158.0
42.0	170.0
43.0	139.0
44.0	131.0
45.0	128.0
46.0	115.0
47.0	100.0
48.0	89.0
49.0	85.0
50.0	3391.0
