#Insert size (bp)	insert size
1.0	270.0
2.0	258.0
3.0	249.0
4.0	255.0
5.0	250.0
6.0	267.0
7.0	239.0
8.0	277.0
9.0	239.0
10.0	246.0
11.0	279.0
12.0	231.0
13.0	231.0
14.0	279.0
15.0	201.0
16.0	262.0
17.0	244.0
18.0	214.0
19.0	205.0
20.0	234.0
21.0	215.0
22.0	208.0
23.0	215.0
24.0	213.0
25.0	205.0
26.0	190.0
27.0	188.0
28.0	205.0
29.0	195.0
30.0	188.0
31.0	157.0
32.0	121.0
33.0	123.0
34.0	131.0
35.0	115.0
36.0	122.0
37.0	116.0
38.0	124.0
39.0	172.0
40.0	2195.0
41.0	2236.0
42.0	2293.0
43.0	2453.0
44.0	2462.0
45.0	2558.0
46.0	2426.0
47.0	2519.0
48.0	2684.0
49.0	2765.0
50.0	2791.0
51.0	2780.0
52.0	2788.0
53.0	2994.0
54.0	2918.0
55.0	2925.0
56.0	3108.0
57.0	3210.0
58.0	3221.0
59.0	3182.0
60.0	3127.0
61.0	3100.0
62.0	2958.0
63.0	2983.0
64.0	2950.0
65.0	2905.0
66.0	2970.0
67.0	3022.0
68.0	3125.0
69.0	3207.0
70.0	3215.0
71.0	3134.0
72.0	3217.0
73.0	3225.0
74.0	3180.0
75.0	3171.0
76.0	3264.0
77.0	3213.0
78.0	3113.0
79.0	3351.0
80.0	3119.0
81.0	3152.0
82.0	3150.0
83.0	3087.0
84.0	3064.0
85.0	3232.0
86.0	3220.0
87.0	3149.0
88.0	3047.0
89.0	3170.0
90.0	3037.0
91.0	3181.0
92.0	3221.0
93.0	3221.0
94.0	3286.0
95.0	3331.0
96.0	3319.0
97.0	3235.0
98.0	3423.0
99.0	3247.0
100.0	3302.0
101.0	3266.0
102.0	3215.0
103.0	3191.0
104.0	3129.0
105.0	3130.0
106.0	3189.0
107.0	3054.0
108.0	3132.0
109.0	3173.0
110.0	3053.0
111.0	3159.0
112.0	3225.0
113.0	3146.0
114.0	3124.0
115.0	3065.0
116.0	3049.0
117.0	3199.0
118.0	3107.0
119.0	3026.0
120.0	3222.0
121.0	3178.0
122.0	3165.0
123.0	3267.0
124.0	3180.0
125.0	3165.0
126.0	3111.0
127.0	3218.0
128.0	3098.0
129.0	3267.0
130.0	3294.0
131.0	3309.0
132.0	3199.0
133.0	3239.0
134.0	3270.0
135.0	3412.0
