#Mapping quality	mapping quality
0.0	989060.0
1.0	3415859.0
2.0	668724.0
3.0	763494.0
4.0	842203.0
5.0	804833.0
6.0	855828.0
7.0	669620.0
8.0	889387.0
9.0	683117.0
10.0	693616.0
11.0	776055.0
12.0	790148.0
13.0	843907.0
14.0	899155.0
15.0	970426.0
16.0	1034721.0
17.0	1052220.0
18.0	1212605.0
19.0	1242200.0
20.0	1342964.0
21.0	1614737.0
22.0	1618986.0
23.0	2694627.0
24.0	2659600.0
25.0	2409256.0
26.0	2754257.0
27.0	3102730.0
28.0	3640553.0
29.0	4066034.0
30.0	4751710.0
31.0	5347874.0
32.0	6844783.0
33.0	7956875.0
34.0	1.0019397E7
35.0	1.270502E7
36.0	1.7478306E7
37.0	2.3640846E7
38.0	3.6713043E7
39.0	5.9735901E7
40.0	1.17582751E8
41.0	2.85384786E8
42.0	5.13039181E8
