#Coverage	Number of genomic locations
0.0	2.5652534E7
1.0	6749280.0
2.0	1.1429802E7
3.0	1.7715471E7
4.0	2.5343516E7
5.0	3.3768868E7
6.0	4.2446113E7
7.0	5.0798095E7
8.0	5.8113158E7
9.0	6.3997187E7
10.0	6.8181881E7
11.0	7.056403E7
12.0	7.1170573E7
13.0	7.0192099E7
14.0	6.7735773E7
15.0	6.4242657E7
16.0	5.9712166E7
17.0	5.4695907E7
18.0	4.9330705E7
19.0	4.3758794E7
20.0	3.8250928E7
21.0	3.2982569E7
22.0	2.8024866E7
23.0	2.3415735E7
24.0	1.9327128E7
25.0	1.5743588E7
26.0	1.2648898E7
27.0	1.002413E7
28.0	7846376.0
29.0	6098190.0
30.0	4686758.0
31.0	3565513.0
32.0	2693099.0
33.0	2020098.0
34.0	1514715.0
35.0	1137812.0
36.0	853464.0
37.0	649837.0
38.0	490619.0
39.0	379680.0
40.0	296653.0
41.0	236427.0
42.0	193220.0
43.0	162267.0
44.0	139074.0
45.0	121277.0
46.0	107953.0
47.0	97527.0
48.0	88045.0
49.0	81162.0
50.0	75456.0
51.0	68802.0
52.0	65900.0
53.0	61557.0
54.0	58618.0
55.0	55524.0
56.0	53118.0
57.0	49943.0
58.0	47934.0
59.0	45047.0
60.0	43141.0
61.0	41020.0
62.0	39479.0
63.0	38312.0
64.0	36342.0
65.0	35120.0
66.0	33618.0
67.0	32361.0
68.0	31707.0
69.0	30490.0
70.0	29289.0
71.0	28327.0
72.0	27441.0
73.0	26747.0
74.0	25593.0
75.0	24900.0
76.0	24544.0
77.0	23651.0
78.0	23318.0
79.0	22963.0
80.0	22742.0
81.0	22865.0
82.0	22220.0
83.0	21257.0
84.0	20812.0
85.0	20303.0
86.0	19439.0
87.0	18661.0
88.0	18452.0
89.0	18091.0
90.0	17798.0
91.0	17158.0
92.0	16320.0
93.0	15879.0
94.0	15586.0
95.0	14655.0
96.0	14517.0
97.0	14326.0
98.0	13903.0
99.0	13628.0
100.0	13252.0
101.0	12881.0
102.0	12759.0
103.0	12260.0
104.0	11797.0
105.0	11621.0
106.0	11339.0
107.0	11127.0
108.0	10806.0
109.0	10776.0
110.0	10194.0
111.0	10204.0
112.0	10171.0
113.0	9445.0
114.0	9203.0
115.0	9168.0
116.0	8861.0
117.0	8915.0
118.0	9058.0
119.0	8836.0
120.0	8448.0
121.0	8393.0
122.0	8346.0
123.0	8411.0
124.0	7987.0
125.0	7923.0
126.0	8101.0
127.0	7870.0
128.0	7463.0
129.0	7452.0
130.0	7182.0
131.0	7263.0
132.0	6911.0
133.0	6792.0
134.0	6635.0
135.0	6413.0
136.0	6571.0
137.0	6399.0
138.0	6267.0
139.0	6153.0
140.0	6019.0
141.0	5876.0
142.0	5949.0
143.0	5705.0
144.0	5875.0
145.0	5736.0
146.0	5755.0
147.0	5489.0
148.0	5418.0
149.0	5424.0
150.0	5162.0
151.0	5145.0
152.0	5185.0
153.0	5181.0
154.0	5103.0
155.0	4936.0
156.0	4919.0
157.0	4829.0
158.0	4632.0
159.0	4588.0
160.0	4503.0
161.0	4379.0
162.0	4420.0
163.0	4392.0
164.0	4337.0
165.0	4185.0
166.0	4366.0
167.0	4138.0
168.0	4282.0
169.0	4253.0
170.0	4299.0
171.0	4170.0
172.0	3862.0
173.0	4109.0
174.0	3953.0
175.0	3892.0
176.0	3768.0
177.0	3850.0
178.0	3874.0
179.0	3801.0
180.0	3705.0
181.0	3789.0
182.0	3847.0
183.0	3817.0
184.0	3766.0
185.0	3834.0
186.0	3768.0
187.0	3614.0
188.0	3553.0
189.0	3511.0
190.0	3568.0
191.0	3660.0
192.0	3691.0
193.0	3676.0
194.0	3737.0
195.0	3634.0
196.0	3486.0
197.0	3636.0
198.0	3663.0
199.0	3493.0
200.0	3512.0
201.0	3448.0
202.0	3346.0
203.0	3332.0
204.0	3402.0
205.0	3338.0
206.0	3255.0
207.0	3424.0
208.0	3333.0
209.0	3271.0
210.0	3255.0
211.0	3198.0
212.0	3066.0
213.0	3080.0
214.0	2977.0
215.0	3032.0
216.0	2981.0
217.0	2953.0
218.0	2952.0
219.0	3024.0
220.0	2941.0
221.0	2984.0
222.0	2791.0
223.0	2921.0
224.0	2793.0
225.0	2575.0
226.0	2618.0
227.0	2679.0
228.0	2477.0
229.0	2500.0
230.0	2428.0
231.0	2550.0
232.0	2513.0
233.0	2513.0
234.0	2460.0
235.0	2317.0
236.0	2216.0
237.0	2206.0
238.0	2073.0
239.0	2330.0
240.0	2086.0
241.0	2151.0
242.0	2102.0
243.0	1996.0
244.0	2060.0
245.0	1981.0
246.0	1992.0
247.0	1921.0
248.0	1877.0
249.0	1922.0
250.0	1926.0
251.0	1888.0
252.0	1868.0
253.0	1843.0
254.0	1839.0
255.0	1788.0
256.0	1815.0
257.0	1719.0
258.0	1739.0
259.0	1837.0
260.0	1745.0
261.0	1696.0
262.0	1693.0
263.0	1578.0
264.0	1639.0
265.0	1682.0
266.0	1619.0
267.0	1658.0
268.0	1702.0
269.0	1636.0
270.0	1609.0
271.0	1590.0
272.0	1554.0
273.0	1588.0
274.0	1635.0
275.0	1510.0
276.0	1556.0
277.0	1525.0
278.0	1461.0
279.0	1529.0
280.0	1469.0
281.0	1474.0
282.0	1407.0
283.0	1376.0
284.0	1370.0
285.0	1434.0
286.0	1291.0
287.0	1316.0
288.0	1383.0
289.0	1364.0
290.0	1351.0
291.0	1415.0
292.0	1400.0
293.0	1307.0
294.0	1320.0
295.0	1346.0
296.0	1267.0
297.0	1259.0
298.0	1215.0
299.0	1239.0
300.0	1217.0
301.0	1168.0
302.0	1245.0
303.0	1144.0
304.0	1198.0
305.0	1201.0
306.0	1099.0
307.0	1125.0
308.0	1154.0
309.0	1072.0
310.0	1156.0
311.0	1115.0
312.0	1137.0
313.0	1143.0
314.0	1149.0
315.0	1121.0
316.0	1094.0
317.0	1101.0
318.0	1084.0
319.0	1131.0
320.0	1070.0
321.0	1050.0
322.0	1015.0
323.0	1029.0
324.0	1008.0
325.0	1099.0
326.0	1115.0
327.0	1086.0
328.0	1030.0
329.0	1055.0
330.0	985.0
331.0	961.0
332.0	916.0
333.0	999.0
334.0	1027.0
335.0	999.0
336.0	929.0
337.0	972.0
338.0	907.0
339.0	881.0
340.0	928.0
341.0	945.0
342.0	921.0
343.0	917.0
344.0	854.0
345.0	813.0
346.0	869.0
347.0	854.0
348.0	861.0
349.0	859.0
350.0	843.0
351.0	853.0
352.0	892.0
353.0	845.0
354.0	835.0
355.0	860.0
356.0	836.0
357.0	834.0
358.0	872.0
359.0	793.0
360.0	836.0
361.0	752.0
362.0	801.0
363.0	771.0
364.0	802.0
365.0	807.0
366.0	788.0
367.0	755.0
368.0	746.0
369.0	735.0
370.0	767.0
371.0	769.0
372.0	743.0
373.0	839.0
374.0	763.0
375.0	780.0
376.0	798.0
377.0	796.0
378.0	778.0
379.0	797.0
380.0	783.0
381.0	777.0
382.0	692.0
383.0	721.0
384.0	704.0
385.0	720.0
386.0	723.0
387.0	721.0
388.0	746.0
389.0	683.0
390.0	721.0
391.0	755.0
392.0	750.0
393.0	699.0
394.0	765.0
395.0	752.0
396.0	807.0
397.0	727.0
398.0	726.0
399.0	707.0
400.0	682.0
401.0	688.0
402.0	724.0
403.0	716.0
404.0	727.0
405.0	702.0
406.0	698.0
407.0	684.0
408.0	698.0
409.0	693.0
410.0	694.0
411.0	710.0
412.0	610.0
413.0	590.0
414.0	623.0
415.0	629.0
416.0	658.0
417.0	641.0
418.0	659.0
419.0	641.0
420.0	643.0
421.0	664.0
422.0	601.0
423.0	583.0
424.0	658.0
425.0	576.0
426.0	564.0
427.0	617.0
428.0	601.0
429.0	591.0
430.0	612.0
431.0	607.0
432.0	616.0
433.0	609.0
434.0	605.0
435.0	636.0
436.0	650.0
437.0	603.0
438.0	582.0
439.0	573.0
440.0	600.0
441.0	584.0
442.0	614.0
443.0	560.0
444.0	569.0
445.0	550.0
446.0	562.0
447.0	559.0
448.0	602.0
449.0	586.0
450.0	588.0
451.0	569.0
452.0	571.0
453.0	546.0
454.0	545.0
455.0	592.0
456.0	548.0
457.0	525.0
458.0	528.0
459.0	512.0
460.0	534.0
461.0	535.0
462.0	517.0
463.0	514.0
464.0	500.0
465.0	538.0
466.0	526.0
467.0	497.0
468.0	520.0
469.0	477.0
470.0	491.0
471.0	447.0
472.0	479.0
473.0	490.0
474.0	482.0
475.0	505.0
476.0	443.0
477.0	492.0
478.0	454.0
479.0	486.0
480.0	465.0
481.0	444.0
482.0	466.0
483.0	476.0
484.0	445.0
485.0	454.0
486.0	459.0
487.0	478.0
488.0	457.0
489.0	462.0
490.0	469.0
491.0	444.0
492.0	496.0
493.0	443.0
494.0	439.0
495.0	431.0
496.0	446.0
497.0	419.0
498.0	428.0
499.0	455.0
500.0	417.0
501.0	378.0
502.0	421.0
503.0	419.0
504.0	378.0
505.0	439.0
506.0	386.0
507.0	396.0
508.0	382.0
509.0	375.0
510.0	416.0
511.0	365.0
512.0	413.0
513.0	422.0
514.0	388.0
515.0	422.0
516.0	400.0
517.0	367.0
518.0	436.0
519.0	417.0
520.0	391.0
521.0	407.0
522.0	397.0
523.0	431.0
524.0	430.0
525.0	404.0
526.0	409.0
527.0	350.0
528.0	380.0
529.0	403.0
530.0	375.0
531.0	426.0
532.0	411.0
533.0	355.0
534.0	396.0
535.0	360.0
536.0	315.0
537.0	361.0
538.0	352.0
539.0	350.0
540.0	340.0
541.0	355.0
542.0	358.0
543.0	325.0
544.0	371.0
545.0	315.0
546.0	378.0
547.0	360.0
548.0	339.0
549.0	353.0
550.0	330.0
551.0	357.0
552.0	340.0
553.0	372.0
554.0	363.0
555.0	367.0
556.0	337.0
557.0	336.0
558.0	346.0
559.0	342.0
560.0	330.0
561.0	325.0
562.0	305.0
563.0	341.0
564.0	344.0
565.0	351.0
566.0	350.0
567.0	363.0
568.0	356.0
569.0	348.0
570.0	346.0
571.0	339.0
572.0	325.0
573.0	303.0
574.0	332.0
575.0	325.0
576.0	312.0
577.0	313.0
578.0	304.0
579.0	333.0
580.0	353.0
581.0	345.0
582.0	354.0
583.0	356.0
584.0	318.0
585.0	343.0
586.0	352.0
587.0	350.0
588.0	321.0
589.0	298.0
590.0	326.0
591.0	329.0
592.0	312.0
593.0	304.0
594.0	335.0
595.0	288.0
596.0	329.0
597.0	292.0
598.0	298.0
599.0	331.0
600.0	324.0
601.0	322.0
602.0	307.0
603.0	319.0
604.0	298.0
605.0	306.0
606.0	290.0
607.0	324.0
608.0	316.0
609.0	274.0
610.0	308.0
611.0	279.0
612.0	258.0
613.0	289.0
614.0	278.0
615.0	267.0
616.0	303.0
617.0	302.0
618.0	294.0
619.0	232.0
620.0	261.0
621.0	267.0
622.0	259.0
623.0	272.0
624.0	259.0
625.0	254.0
626.0	261.0
627.0	212.0
628.0	224.0
629.0	271.0
630.0	236.0
631.0	249.0
632.0	287.0
633.0	268.0
634.0	235.0
635.0	266.0
636.0	277.0
637.0	225.0
638.0	236.0
639.0	232.0
640.0	233.0
641.0	232.0
642.0	216.0
643.0	208.0
644.0	222.0
645.0	199.0
646.0	227.0
647.0	246.0
648.0	240.0
649.0	220.0
650.0	266.0
651.0	252.0
652.0	246.0
653.0	244.0
654.0	216.0
655.0	250.0
656.0	236.0
657.0	247.0
658.0	230.0
659.0	239.0
660.0	239.0
661.0	223.0
662.0	240.0
663.0	222.0
664.0	224.0
665.0	236.0
666.0	246.0
667.0	223.0
668.0	241.0
669.0	237.0
670.0	236.0
671.0	243.0
672.0	234.0
673.0	215.0
674.0	246.0
