#Duplication rate	Coverage
1.0	6.4823653E7
2.0	1.5480505E7
3.0	3235657.0
4.0	691869.0
5.0	169218.0
6.0	53979.0
7.0	23579.0
8.0	13231.0
9.0	8824.0
10.0	6505.0
11.0	5084.0
12.0	4043.0
13.0	3458.0
14.0	2903.0
15.0	2443.0
16.0	2153.0
17.0	1831.0
18.0	1590.0
19.0	1437.0
20.0	1250.0
21.0	1102.0
22.0	1034.0
23.0	872.0
24.0	825.0
25.0	756.0
26.0	676.0
27.0	624.0
28.0	548.0
29.0	502.0
30.0	442.0
31.0	445.0
32.0	371.0
33.0	337.0
34.0	319.0
35.0	305.0
36.0	251.0
37.0	238.0
38.0	238.0
39.0	217.0
40.0	186.0
41.0	193.0
42.0	172.0
43.0	173.0
44.0	145.0
45.0	131.0
46.0	129.0
47.0	123.0
48.0	119.0
49.0	120.0
50.0	5185.0
