#Insert size (bp)	insert size
1.0	551.0
2.0	488.0
3.0	548.0
4.0	545.0
5.0	494.0
6.0	606.0
7.0	573.0
8.0	572.0
9.0	585.0
10.0	542.0
11.0	502.0
12.0	530.0
13.0	505.0
14.0	532.0
15.0	541.0
16.0	535.0
17.0	490.0
18.0	446.0
19.0	465.0
20.0	449.0
21.0	474.0
22.0	472.0
23.0	454.0
24.0	456.0
25.0	472.0
26.0	419.0
27.0	477.0
28.0	427.0
29.0	463.0
30.0	422.0
31.0	314.0
32.0	311.0
33.0	304.0
34.0	292.0
35.0	322.0
36.0	313.0
37.0	325.0
38.0	288.0
39.0	328.0
40.0	4687.0
41.0	4846.0
42.0	5049.0
43.0	4950.0
44.0	4977.0
45.0	5198.0
46.0	5257.0
47.0	5283.0
48.0	5842.0
49.0	5954.0
50.0	5868.0
51.0	5774.0
52.0	5701.0
53.0	5909.0
54.0	5901.0
55.0	6173.0
56.0	6329.0
57.0	6825.0
58.0	6742.0
59.0	6893.0
60.0	6675.0
61.0	6751.0
62.0	6344.0
63.0	6412.0
64.0	6262.0
65.0	6426.0
66.0	6669.0
67.0	6564.0
68.0	6823.0
69.0	7069.0
70.0	6895.0
71.0	6940.0
72.0	6863.0
73.0	6818.0
74.0	6664.0
75.0	6955.0
76.0	6512.0
77.0	6830.0
78.0	7348.0
79.0	7094.0
80.0	6824.0
81.0	6688.0
82.0	6881.0
83.0	6802.0
84.0	6942.0
85.0	6884.0
86.0	7143.0
87.0	6596.0
88.0	6777.0
89.0	7085.0
90.0	6769.0
91.0	6721.0
92.0	7223.0
93.0	7103.0
94.0	7036.0
95.0	7172.0
96.0	7149.0
97.0	7398.0
98.0	7512.0
99.0	7298.0
100.0	7344.0
101.0	7433.0
102.0	7201.0
103.0	7192.0
104.0	6889.0
105.0	6947.0
106.0	7127.0
107.0	7201.0
108.0	7016.0
109.0	7137.0
110.0	7225.0
111.0	7124.0
112.0	7183.0
113.0	6972.0
114.0	7258.0
115.0	7077.0
116.0	7011.0
117.0	7082.0
118.0	7426.0
119.0	7543.0
120.0	7585.0
121.0	7273.0
122.0	7258.0
123.0	7593.0
124.0	7555.0
125.0	7247.0
126.0	7237.0
127.0	7495.0
128.0	7549.0
129.0	7504.0
130.0	7444.0
131.0	7988.0
132.0	7862.0
133.0	7710.0
134.0	8270.0
135.0	8636.0
136.0	8132.0
137.0	7826.0
138.0	8442.0
139.0	8010.0
140.0	8153.0
141.0	8338.0
142.0	8283.0
143.0	8495.0
144.0	8512.0
145.0	8337.0
146.0	8508.0
147.0	8962.0
148.0	8476.0
149.0	8787.0
150.0	8847.0
151.0	10059.0
152.0	10360.0
153.0	10430.0
154.0	10166.0
155.0	10128.0
156.0	10491.0
157.0	10791.0
158.0	10376.0
159.0	10428.0
160.0	10312.0
161.0	10541.0
162.0	10409.0
163.0	10317.0
164.0	10476.0
165.0	11452.0
166.0	10650.0
167.0	10953.0
168.0	10742.0
169.0	11023.0
170.0	11022.0
171.0	11311.0
172.0	11412.0
173.0	11256.0
174.0	11520.0
175.0	11467.0
176.0	11740.0
177.0	11572.0
178.0	11492.0
179.0	11738.0
180.0	11781.0
181.0	11500.0
182.0	11320.0
183.0	11879.0
184.0	11993.0
185.0	12132.0
186.0	12333.0
187.0	12519.0
188.0	12143.0
189.0	12033.0
190.0	12129.0
191.0	12298.0
192.0	12421.0
193.0	12509.0
194.0	12556.0
195.0	12508.0
196.0	13310.0
197.0	12727.0
198.0	12433.0
199.0	12588.0
200.0	12889.0
201.0	12995.0
202.0	12706.0
203.0	12474.0
204.0	12522.0
205.0	12760.0
206.0	12908.0
207.0	12939.0
208.0	13580.0
209.0	12941.0
210.0	12852.0
211.0	12432.0
212.0	12086.0
213.0	12485.0
214.0	13135.0
215.0	12756.0
216.0	12991.0
217.0	13260.0
218.0	13299.0
219.0	13635.0
220.0	14340.0
221.0	14622.0
222.0	14757.0
223.0	15149.0
224.0	15594.0
225.0	15725.0
226.0	16057.0
227.0	16294.0
228.0	16809.0
229.0	17103.0
230.0	17082.0
231.0	17569.0
232.0	17998.0
233.0	18431.0
234.0	18712.0
235.0	19048.0
236.0	19551.0
237.0	20036.0
238.0	20600.0
239.0	21369.0
240.0	22380.0
241.0	22672.0
242.0	23308.0
243.0	23748.0
244.0	24308.0
245.0	24918.0
246.0	25562.0
247.0	26462.0
248.0	27101.0
249.0	27533.0
250.0	28568.0
251.0	29526.0
252.0	30127.0
253.0	31170.0
254.0	32183.0
255.0	32590.0
256.0	33340.0
257.0	34176.0
258.0	35123.0
259.0	36435.0
260.0	37426.0
261.0	38397.0
262.0	40086.0
263.0	40527.0
264.0	41860.0
265.0	42434.0
266.0	44381.0
267.0	45274.0
268.0	45538.0
269.0	47204.0
270.0	48995.0
271.0	49620.0
272.0	51122.0
273.0	52359.0
274.0	53818.0
275.0	54985.0
276.0	56557.0
277.0	57628.0
278.0	59646.0
279.0	60591.0
280.0	62006.0
281.0	64377.0
282.0	65203.0
283.0	67180.0
284.0	68800.0
285.0	70276.0
286.0	71912.0
287.0	73734.0
288.0	75807.0
289.0	76891.0
290.0	79549.0
291.0	80626.0
292.0	83026.0
293.0	85211.0
294.0	86505.0
295.0	88239.0
296.0	89558.0
297.0	91465.0
298.0	93803.0
