#GC Content (%)	Sample
1.0	3.57026143596391E-7
2.0	5.9504357266065165E-8
3.0	0.0
4.0	1.1900871453213033E-7
5.0	1.785130717981955E-7
6.0	4.760348581285213E-7
7.0	2.975217863303258E-7
8.0	4.760348581285213E-7
9.0	8.330610017249123E-7
10.0	8.330610017249123E-7
11.0	1.6661220034498246E-6
12.0	2.4396786479086714E-6
13.0	3.7487745077621047E-6
14.0	4.9983660103494735E-6
15.0	8.628131803579448E-6
16.0	1.1127314808754184E-5
17.0	1.7137254892626766E-5
18.0	2.5705882338940154E-5
19.0	4.3735702590557904E-5
20.0	7.658210780142586E-5
21.0	1.3227818620246287E-4
22.0	2.3355460226930574E-4
23.0	4.2849087667293527E-4
24.0	7.623103209355607E-4
25.0	0.0014660683543213137
26.0	0.002011485293022067
27.0	0.0035225984457937917
28.0	0.005458632213802488
29.0	0.00801487989759538
30.0	0.011415256393564676
31.0	0.015400739234531186
32.0	0.019935090266919888
33.0	0.02479028879368721
34.0	0.02953867699916194
35.0	0.03398865085294736
36.0	0.037758370894467125
37.0	0.04089746375768113
38.0	0.043037656975469685
39.0	0.04422946974715171
40.0	0.04453990397900876
41.0	0.04404780294441841
42.0	0.043186298859920313
43.0	0.041739807439139534
44.0	0.0400884425162917
45.0	0.038172759238467996
46.0	0.03609677122216951
47.0	0.034165140776598504
48.0	0.03231687593555725
49.0	0.030588036339549
50.0	0.029223482418723593
51.0	0.030140444564193663
52.0	0.02368582841847177
53.0	0.02643861899431448
54.0	0.02592253770374589
55.0	0.022391668152292116
56.0	0.018648130027969428
57.0	0.015446438580911527
58.0	0.013387230793362072
59.0	0.011698854160294743
60.0	0.010185955876805031
61.0	0.008895663393847677
62.0	0.007839818078518617
63.0	0.007029606749983875
64.0	0.006188631668742574
65.0	0.005458334692016158
66.0	0.0048259818873496825
67.0	0.004230640792902702
68.0	0.003629170749657314
69.0	0.0030699488000708337
70.0	0.0026274148950831077
71.0	0.0021529271502435036
72.0	0.001704680826958235
73.0	0.0013868085504429148
74.0	0.001140401007004139
75.0	9.260068077745063E-4
76.0	7.475532403335768E-4
77.0	6.233081423620327E-4
78.0	5.241738831567679E-4
79.0	4.367619823329183E-4
80.0	3.665468407589614E-4
81.0	3.0180610005348243E-4
82.0	2.3456617634282892E-4
83.0	1.5441380710543912E-4
84.0	9.467143241030965E-5
85.0	4.397372001962216E-5
86.0	1.6542211319966115E-5
87.0	6.128948798404711E-6
88.0	2.0826525043122808E-6
89.0	1.130582788055238E-6
90.0	4.760348581285213E-7
91.0	2.975217863303258E-7
92.0	1.1900871453213033E-7
93.0	0.0
94.0	1.1900871453213033E-7
95.0	0.0
96.0	0.0
97.0	0.0
98.0	2.975217863303258E-7
99.0	1.785130717981955E-7
100.0	6.426470584735038E-6
