#Coverage	Number of genomic locations
0.0	1.1955172E8
1.0	9.7561841E7
2.0	9.1841746E7
3.0	7.5501097E7
4.0	6.3121636E7
5.0	5.3626973E7
6.0	4.6942442E7
7.0	4.1985323E7
8.0	3.8232025E7
9.0	3.5193629E7
10.0	3.2629625E7
11.0	3.0470002E7
12.0	2.8529833E7
13.0	2.684173E7
14.0	2.5320111E7
15.0	2.3960959E7
16.0	2.2698657E7
17.0	2.1508852E7
18.0	2.0401269E7
19.0	1.9334987E7
20.0	1.8339251E7
21.0	1.7384333E7
22.0	1.6488744E7
23.0	1.561441E7
24.0	1.4767134E7
25.0	1.3944492E7
26.0	1.3125146E7
27.0	1.2334675E7
28.0	1.1552935E7
29.0	1.0794955E7
30.0	1.0052806E7
31.0	9342663.0
32.0	8660911.0
33.0	8001163.0
34.0	7358505.0
35.0	6744836.0
36.0	6170254.0
37.0	5614823.0
38.0	5101430.0
39.0	4628422.0
40.0	4187518.0
41.0	3774216.0
42.0	3390731.0
43.0	3043704.0
44.0	2731084.0
45.0	2442360.0
46.0	2180878.0
47.0	1945432.0
48.0	1732634.0
49.0	1546908.0
50.0	1372878.0
51.0	1218427.0
52.0	1079188.0
53.0	960416.0
54.0	852329.0
55.0	754828.0
56.0	670792.0
57.0	598235.0
58.0	529117.0
59.0	470586.0
60.0	418092.0
61.0	371873.0
62.0	331693.0
63.0	293299.0
64.0	262912.0
65.0	235412.0
66.0	211666.0
67.0	189703.0
68.0	170648.0
69.0	154255.0
70.0	138275.0
71.0	124163.0
72.0	111223.0
73.0	99915.0
74.0	91281.0
75.0	82772.0
76.0	75321.0
77.0	67314.0
78.0	61197.0
79.0	55726.0
80.0	51922.0
81.0	47325.0
82.0	44090.0
83.0	41056.0
84.0	38379.0
85.0	36069.0
86.0	33650.0
87.0	31793.0
88.0	29629.0
89.0	27990.0
90.0	26501.0
91.0	24962.0
92.0	23182.0
93.0	22202.0
94.0	21085.0
95.0	20037.0
96.0	19160.0
97.0	18681.0
98.0	17745.0
99.0	17098.0
100.0	16435.0
101.0	16026.0
102.0	15386.0
103.0	14748.0
104.0	14570.0
105.0	14110.0
106.0	13525.0
107.0	12929.0
108.0	12799.0
109.0	12358.0
110.0	12049.0
111.0	11763.0
112.0	11600.0
113.0	11368.0
114.0	11034.0
115.0	10698.0
116.0	10458.0
117.0	10169.0
118.0	10062.0
119.0	10172.0
120.0	9487.0
121.0	9464.0
122.0	8967.0
123.0	8768.0
124.0	8599.0
125.0	8659.0
126.0	8296.0
127.0	8221.0
128.0	7849.0
129.0	8077.0
130.0	7407.0
131.0	7351.0
132.0	7342.0
133.0	7181.0
134.0	7103.0
135.0	6937.0
136.0	6790.0
137.0	6717.0
138.0	6471.0
139.0	6401.0
140.0	6423.0
141.0	6289.0
142.0	6240.0
143.0	6275.0
144.0	6095.0
145.0	6060.0
146.0	5836.0
147.0	5671.0
148.0	5530.0
149.0	5493.0
150.0	5466.0
151.0	5401.0
152.0	5099.0
153.0	5060.0
154.0	5047.0
155.0	4971.0
156.0	4934.0
157.0	4756.0
158.0	4729.0
159.0	4798.0
160.0	4826.0
161.0	4695.0
162.0	4651.0
163.0	4641.0
164.0	4600.0
165.0	4517.0
166.0	4366.0
167.0	4241.0
168.0	4202.0
169.0	4292.0
170.0	4189.0
171.0	4133.0
172.0	4228.0
173.0	4002.0
174.0	3790.0
175.0	3861.0
176.0	3923.0
177.0	3849.0
178.0	3825.0
179.0	3773.0
180.0	3692.0
181.0	3704.0
182.0	3616.0
183.0	3639.0
184.0	3625.0
185.0	3524.0
186.0	3583.0
187.0	3435.0
188.0	3505.0
189.0	3427.0
190.0	3503.0
191.0	3444.0
192.0	3381.0
193.0	3343.0
194.0	3332.0
195.0	3367.0
196.0	3332.0
197.0	3227.0
198.0	3191.0
199.0	3154.0
200.0	3092.0
201.0	3093.0
202.0	2996.0
203.0	3052.0
204.0	2984.0
205.0	3124.0
206.0	2914.0
207.0	2922.0
208.0	2825.0
209.0	2826.0
210.0	2717.0
211.0	2783.0
212.0	2754.0
213.0	2817.0
214.0	2786.0
215.0	2754.0
216.0	2800.0
217.0	2817.0
218.0	2717.0
219.0	2914.0
220.0	2820.0
221.0	2906.0
222.0	2791.0
223.0	2714.0
224.0	2719.0
225.0	2606.0
226.0	2613.0
227.0	2567.0
228.0	2631.0
229.0	2419.0
230.0	2376.0
231.0	2386.0
232.0	2425.0
233.0	2431.0
234.0	2374.0
235.0	2461.0
236.0	2463.0
237.0	2485.0
238.0	2328.0
239.0	2304.0
240.0	2416.0
241.0	2296.0
242.0	2297.0
243.0	2299.0
244.0	2267.0
245.0	2198.0
246.0	2183.0
247.0	2143.0
248.0	2032.0
249.0	2108.0
250.0	2074.0
251.0	2063.0
252.0	2022.0
253.0	1920.0
254.0	1927.0
255.0	1937.0
256.0	1788.0
257.0	1845.0
258.0	1878.0
259.0	1808.0
260.0	1793.0
261.0	1785.0
262.0	1794.0
263.0	1818.0
264.0	1761.0
265.0	1714.0
266.0	1821.0
267.0	1676.0
268.0	1722.0
269.0	1648.0
270.0	1744.0
271.0	1714.0
272.0	1678.0
273.0	1657.0
274.0	1677.0
275.0	1664.0
276.0	1600.0
277.0	1664.0
278.0	1567.0
279.0	1590.0
280.0	1597.0
281.0	1554.0
282.0	1566.0
283.0	1554.0
284.0	1580.0
285.0	1484.0
286.0	1550.0
287.0	1505.0
288.0	1554.0
289.0	1481.0
290.0	1422.0
291.0	1475.0
292.0	1459.0
293.0	1462.0
294.0	1477.0
295.0	1421.0
296.0	1500.0
297.0	1507.0
298.0	1447.0
299.0	1484.0
300.0	1480.0
301.0	1415.0
302.0	1433.0
303.0	1384.0
304.0	1405.0
305.0	1328.0
306.0	1322.0
307.0	1297.0
308.0	1385.0
309.0	1227.0
310.0	1304.0
311.0	1265.0
312.0	1346.0
313.0	1361.0
314.0	1364.0
315.0	1334.0
316.0	1401.0
317.0	1312.0
318.0	1341.0
319.0	1243.0
320.0	1323.0
321.0	1377.0
322.0	1353.0
323.0	1336.0
324.0	1347.0
325.0	1417.0
326.0	1431.0
327.0	1342.0
328.0	1315.0
329.0	1386.0
330.0	1382.0
331.0	1342.0
332.0	1248.0
333.0	1285.0
334.0	1285.0
335.0	1255.0
336.0	1286.0
337.0	1214.0
338.0	1231.0
339.0	1176.0
340.0	1140.0
341.0	1175.0
342.0	1125.0
343.0	1154.0
344.0	1164.0
345.0	1204.0
346.0	1164.0
347.0	1149.0
348.0	1192.0
349.0	1146.0
350.0	1122.0
351.0	1123.0
352.0	1100.0
353.0	1078.0
354.0	1059.0
355.0	1070.0
356.0	1081.0
357.0	1180.0
358.0	1134.0
359.0	1126.0
360.0	1082.0
361.0	1088.0
362.0	1028.0
363.0	1057.0
364.0	1062.0
365.0	1034.0
366.0	974.0
367.0	997.0
368.0	961.0
369.0	930.0
370.0	946.0
371.0	954.0
372.0	876.0
373.0	887.0
374.0	887.0
375.0	865.0
376.0	878.0
377.0	869.0
378.0	924.0
379.0	872.0
380.0	865.0
381.0	892.0
382.0	877.0
383.0	878.0
384.0	923.0
385.0	911.0
386.0	874.0
387.0	885.0
388.0	897.0
389.0	904.0
390.0	931.0
391.0	890.0
392.0	861.0
393.0	829.0
394.0	863.0
395.0	826.0
396.0	799.0
397.0	832.0
398.0	782.0
399.0	802.0
400.0	753.0
401.0	822.0
402.0	767.0
403.0	725.0
404.0	770.0
405.0	772.0
406.0	764.0
407.0	730.0
408.0	785.0
409.0	757.0
410.0	765.0
411.0	735.0
412.0	774.0
413.0	797.0
414.0	799.0
415.0	769.0
416.0	758.0
417.0	728.0
418.0	711.0
419.0	669.0
420.0	695.0
421.0	727.0
422.0	708.0
423.0	702.0
424.0	684.0
425.0	705.0
426.0	703.0
427.0	708.0
428.0	695.0
429.0	718.0
430.0	700.0
431.0	745.0
432.0	736.0
433.0	722.0
434.0	686.0
435.0	710.0
436.0	712.0
437.0	767.0
438.0	646.0
439.0	651.0
440.0	645.0
441.0	697.0
442.0	651.0
443.0	626.0
444.0	618.0
445.0	668.0
446.0	627.0
447.0	643.0
448.0	602.0
449.0	575.0
450.0	656.0
451.0	612.0
452.0	665.0
453.0	583.0
454.0	570.0
455.0	562.0
456.0	615.0
457.0	570.0
458.0	526.0
459.0	581.0
460.0	602.0
461.0	565.0
462.0	549.0
463.0	540.0
464.0	549.0
465.0	573.0
466.0	545.0
467.0	538.0
468.0	557.0
469.0	536.0
470.0	565.0
471.0	549.0
472.0	592.0
473.0	524.0
474.0	521.0
475.0	519.0
476.0	559.0
477.0	538.0
478.0	555.0
479.0	542.0
480.0	546.0
481.0	582.0
482.0	554.0
483.0	636.0
484.0	575.0
485.0	541.0
486.0	562.0
487.0	587.0
488.0	591.0
489.0	568.0
490.0	514.0
491.0	550.0
492.0	549.0
493.0	582.0
494.0	566.0
495.0	518.0
496.0	539.0
497.0	515.0
498.0	509.0
499.0	545.0
500.0	480.0
501.0	501.0
502.0	529.0
503.0	511.0
504.0	489.0
505.0	552.0
506.0	495.0
507.0	516.0
508.0	508.0
509.0	484.0
510.0	569.0
511.0	527.0
512.0	550.0
513.0	517.0
514.0	497.0
515.0	477.0
516.0	510.0
517.0	474.0
518.0	447.0
519.0	466.0
520.0	476.0
521.0	472.0
522.0	508.0
523.0	457.0
524.0	453.0
525.0	465.0
526.0	517.0
527.0	496.0
528.0	486.0
529.0	491.0
530.0	471.0
531.0	508.0
532.0	494.0
533.0	467.0
534.0	453.0
535.0	482.0
536.0	504.0
537.0	480.0
538.0	417.0
539.0	480.0
540.0	463.0
541.0	411.0
542.0	402.0
543.0	418.0
544.0	407.0
545.0	429.0
546.0	429.0
547.0	392.0
548.0	381.0
549.0	414.0
550.0	394.0
551.0	379.0
552.0	371.0
553.0	374.0
554.0	389.0
555.0	364.0
556.0	372.0
557.0	380.0
558.0	377.0
559.0	394.0
560.0	375.0
561.0	418.0
562.0	399.0
563.0	379.0
564.0	393.0
565.0	384.0
566.0	406.0
567.0	371.0
568.0	334.0
569.0	370.0
570.0	362.0
571.0	329.0
572.0	373.0
573.0	369.0
574.0	352.0
575.0	376.0
576.0	351.0
577.0	390.0
578.0	375.0
579.0	369.0
580.0	339.0
581.0	363.0
582.0	369.0
583.0	365.0
584.0	359.0
585.0	368.0
586.0	399.0
587.0	329.0
588.0	339.0
589.0	329.0
590.0	346.0
591.0	340.0
592.0	345.0
593.0	368.0
594.0	312.0
595.0	298.0
596.0	334.0
597.0	292.0
598.0	339.0
599.0	265.0
600.0	286.0
601.0	292.0
602.0	308.0
603.0	309.0
604.0	286.0
605.0	323.0
606.0	310.0
607.0	317.0
608.0	304.0
609.0	281.0
610.0	292.0
611.0	307.0
612.0	303.0
613.0	297.0
614.0	318.0
615.0	327.0
616.0	304.0
617.0	292.0
618.0	329.0
619.0	308.0
620.0	325.0
621.0	296.0
622.0	368.0
623.0	321.0
624.0	287.0
625.0	323.0
626.0	305.0
627.0	334.0
628.0	348.0
629.0	303.0
630.0	300.0
631.0	283.0
632.0	278.0
633.0	287.0
634.0	274.0
635.0	315.0
636.0	306.0
637.0	279.0
638.0	295.0
639.0	330.0
640.0	297.0
641.0	307.0
642.0	304.0
643.0	314.0
644.0	301.0
645.0	293.0
646.0	284.0
647.0	308.0
648.0	284.0
649.0	302.0
650.0	287.0
651.0	282.0
652.0	280.0
653.0	275.0
654.0	242.0
655.0	276.0
656.0	243.0
657.0	249.0
658.0	235.0
659.0	240.0
660.0	262.0
661.0	235.0
662.0	243.0
663.0	240.0
664.0	213.0
665.0	244.0
666.0	250.0
667.0	243.0
668.0	257.0
669.0	208.0
670.0	259.0
671.0	247.0
672.0	265.0
673.0	249.0
674.0	235.0
675.0	261.0
676.0	237.0
677.0	231.0
678.0	219.0
679.0	259.0
680.0	245.0
681.0	237.0
682.0	254.0
683.0	255.0
684.0	243.0
685.0	240.0
686.0	269.0
687.0	218.0
688.0	247.0
689.0	226.0
690.0	210.0
691.0	222.0
692.0	208.0
693.0	235.0
694.0	244.0
695.0	242.0
696.0	218.0
697.0	243.0
698.0	210.0
699.0	232.0
700.0	208.0
701.0	196.0
702.0	204.0
703.0	202.0
704.0	219.0
705.0	195.0
706.0	205.0
707.0	214.0
708.0	192.0
709.0	222.0
710.0	209.0
711.0	223.0
712.0	236.0
713.0	200.0
714.0	218.0
715.0	229.0
716.0	202.0
717.0	181.0
718.0	203.0
719.0	183.0
720.0	208.0
721.0	207.0
722.0	201.0
723.0	200.0
724.0	200.0
725.0	192.0
726.0	189.0
727.0	181.0
728.0	189.0
729.0	178.0
730.0	196.0
731.0	179.0
732.0	179.0
733.0	189.0
734.0	173.0
735.0	175.0
736.0	200.0
737.0	169.0
738.0	145.0
739.0	176.0
740.0	163.0
741.0	175.0
742.0	171.0
743.0	148.0
744.0	174.0
745.0	183.0
746.0	155.0
747.0	170.0
748.0	195.0
749.0	194.0
750.0	173.0
751.0	178.0
752.0	182.0
753.0	204.0
754.0	174.0
755.0	175.0
756.0	177.0
757.0	172.0
758.0	165.0
759.0	188.0
760.0	167.0
761.0	169.0
762.0	161.0
763.0	169.0
764.0	152.0
765.0	188.0
766.0	174.0
767.0	181.0
768.0	172.0
769.0	179.0
770.0	199.0
771.0	195.0
772.0	173.0
773.0	185.0
774.0	181.0
775.0	204.0
776.0	169.0
777.0	174.0
778.0	163.0
779.0	170.0
780.0	122.0
781.0	169.0
782.0	192.0
783.0	183.0
784.0	189.0
785.0	198.0
786.0	170.0
787.0	178.0
788.0	167.0
789.0	156.0
790.0	182.0
791.0	163.0
792.0	184.0
793.0	170.0
794.0	173.0
795.0	179.0
796.0	157.0
797.0	162.0
798.0	155.0
799.0	141.0
800.0	167.0
801.0	178.0
802.0	155.0
803.0	154.0
804.0	162.0
805.0	168.0
806.0	162.0
807.0	153.0
808.0	149.0
809.0	150.0
810.0	165.0
811.0	138.0
812.0	145.0
813.0	124.0
814.0	143.0
815.0	149.0
816.0	153.0
817.0	178.0
818.0	152.0
819.0	165.0
820.0	159.0
