#Duplication rate	Coverage
1.0	7.7030735E7
2.0	9684352.0
3.0	1138731.0
4.0	241106.0
5.0	67728.0
6.0	33333.0
7.0	20914.0
8.0	14624.0
9.0	10724.0
10.0	7942.0
11.0	6529.0
12.0	5257.0
13.0	4382.0
14.0	3619.0
15.0	3124.0
16.0	2780.0
17.0	2369.0
18.0	2033.0
19.0	1816.0
20.0	1631.0
21.0	1509.0
22.0	1412.0
23.0	1288.0
24.0	1191.0
25.0	1130.0
26.0	1042.0
27.0	920.0
28.0	861.0
29.0	870.0
30.0	812.0
31.0	789.0
32.0	735.0
33.0	702.0
34.0	616.0
35.0	637.0
36.0	586.0
37.0	580.0
38.0	482.0
39.0	529.0
40.0	484.0
41.0	472.0
42.0	437.0
43.0	459.0
44.0	398.0
45.0	383.0
46.0	401.0
47.0	340.0
48.0	345.0
49.0	340.0
50.0	16184.0
