#Coverage (X)	Coverage
1.0	89.80077624590788
2.0	81.4775580921234
3.0	73.64233399479971
4.0	67.20116709245474
5.0	61.81611960599151
6.0	57.24108298684745
7.0	53.23631860937558
8.0	49.654457104875014
9.0	46.39279782011488
10.0	43.39035087171877
11.0	40.60664482058778
12.0	38.007181022110984
13.0	35.57323736631179
14.0	33.283309540790526
15.0	31.123194424358502
16.0	29.079031595052257
17.0	27.142558563460668
18.0	25.307590448893592
19.0	23.5671127092306
20.0	21.917601864087914
21.0	20.353039476934825
22.0	18.869943273194323
23.0	17.463251763612163
24.0	16.131151636753813
25.0	14.871334514317923
26.0	13.681698814847039
27.0	12.561963349233267
28.0	11.509664726854552
29.0	10.524058086636558
30.0	9.603116410010273
31.0	8.745489119073099
32.0	7.948445710612916
33.0	7.209564085126658
34.0	6.52696703232003
35.0	5.8991965661936945
36.0	5.323779570531428
37.0	4.7973814462252165
38.0	4.318368378771041
39.0	3.883154012672094
40.0	3.4882930135466665
41.0	3.1310465175841813
42.0	2.809059736630516
43.0	2.5197889159435647
44.0	2.2601237422662166
45.0	2.027128877723726
46.0	1.8187657012839082
47.0	1.6327101371951898
48.0	1.466740996254586
49.0	1.3189261270921264
50.0	1.1869559570352237
51.0	1.0698326742495823
