#Insert size (bp)	insert size
1.0	26333.0
2.0	1583.0
3.0	519.0
4.0	484.0
5.0	437.0
6.0	452.0
7.0	503.0
8.0	463.0
9.0	409.0
10.0	442.0
11.0	373.0
12.0	402.0
13.0	397.0
14.0	360.0
15.0	396.0
16.0	351.0
17.0	354.0
18.0	351.0
19.0	317.0
20.0	321.0
21.0	309.0
22.0	316.0
23.0	304.0
24.0	314.0
25.0	322.0
26.0	310.0
27.0	314.0
28.0	301.0
29.0	333.0
30.0	354.0
31.0	191.0
32.0	197.0
33.0	208.0
34.0	186.0
35.0	205.0
36.0	227.0
37.0	220.0
38.0	242.0
39.0	337.0
40.0	6710.0
41.0	6931.0
42.0	6846.0
43.0	7042.0
44.0	6994.0
45.0	7137.0
46.0	7276.0
47.0	7495.0
48.0	7390.0
49.0	7519.0
50.0	7393.0
51.0	7484.0
52.0	7596.0
53.0	7936.0
54.0	7755.0
55.0	8008.0
56.0	8076.0
57.0	8350.0
58.0	8490.0
59.0	8807.0
60.0	8627.0
61.0	8675.0
62.0	8781.0
63.0	8903.0
64.0	8855.0
65.0	9277.0
66.0	9380.0
67.0	9505.0
68.0	9776.0
69.0	10002.0
70.0	10157.0
71.0	10602.0
72.0	10676.0
73.0	10948.0
74.0	11141.0
75.0	11729.0
76.0	11815.0
77.0	12126.0
78.0	12525.0
79.0	13140.0
80.0	13345.0
81.0	13652.0
82.0	14259.0
83.0	14857.0
84.0	15183.0
85.0	15524.0
86.0	16426.0
87.0	16792.0
88.0	17836.0
89.0	18736.0
90.0	19322.0
91.0	20136.0
92.0	20934.0
93.0	22212.0
94.0	23086.0
95.0	24002.0
96.0	25341.0
97.0	26497.0
98.0	27927.0
99.0	28769.0
100.0	30301.0
101.0	31522.0
102.0	33366.0
103.0	35194.0
104.0	36795.0
105.0	38613.0
106.0	40302.0
107.0	42189.0
108.0	44456.0
109.0	46044.0
110.0	48558.0
111.0	50914.0
112.0	52711.0
113.0	55991.0
114.0	57896.0
115.0	60713.0
116.0	62993.0
117.0	66093.0
118.0	68018.0
119.0	70903.0
120.0	73423.0
121.0	76220.0
122.0	79553.0
123.0	81914.0
124.0	85398.0
125.0	88029.0
126.0	91288.0
127.0	93539.0
128.0	96412.0
129.0	100166.0
130.0	102924.0
131.0	105466.0
132.0	108662.0
133.0	111795.0
134.0	115662.0
