#Duplication rate	Coverage
1.0	2.63758104E8
2.0	5.4358595E7
3.0	8811512.0
4.0	1364486.0
5.0	285815.0
6.0	112148.0
7.0	65909.0
8.0	44418.0
9.0	32439.0
10.0	23946.0
11.0	17947.0
12.0	14053.0
13.0	10992.0
14.0	9002.0
15.0	7339.0
16.0	5929.0
17.0	5146.0
18.0	4333.0
19.0	3748.0
20.0	3376.0
21.0	2964.0
22.0	2739.0
23.0	2482.0
24.0	2165.0
25.0	2137.0
26.0	1856.0
27.0	1713.0
28.0	1671.0
29.0	1497.0
30.0	1407.0
31.0	1307.0
32.0	1238.0
33.0	1181.0
34.0	1068.0
35.0	1049.0
36.0	1004.0
37.0	970.0
38.0	840.0
39.0	879.0
40.0	777.0
41.0	782.0
42.0	717.0
43.0	726.0
44.0	653.0
45.0	635.0
46.0	585.0
47.0	613.0
48.0	589.0
49.0	529.0
50.0	15793.0
