#Coverage (X)	Coverage
1.0	97.13906565044866
2.0	96.83210815431256
3.0	96.53910799483245
4.0	96.2357957196314
5.0	95.91598260896896
6.0	95.5765911094841
7.0	95.21375000814625
8.0	94.82308594414299
9.0	94.39600243068533
10.0	93.92650184742652
11.0	93.40518116576143
12.0	92.82422058143695
13.0	92.17257301387642
14.0	91.44234452249944
15.0	90.62767313340389
16.0	89.7247762729655
17.0	88.73255196311796
18.0	87.65122653720567
19.0	86.48225038843958
20.0	85.22842534105553
21.0	83.88777044508834
22.0	82.4567423424048
23.0	80.92752259374744
24.0	79.2890381836219
25.0	77.52466807163566
26.0	75.61428036322238
27.0	73.53988134421951
28.0	71.28243444377316
29.0	68.82672704108487
30.0	66.16026592797856
31.0	63.2791902142034
32.0	60.18713112948885
33.0	56.898102316562216
34.0	53.433752350803005
35.0	49.825999267196956
36.0	46.11210906845017
37.0	42.33550311992752
38.0	38.54334816448619
39.0	34.787302036672244
40.0	31.119268355564486
41.0	27.58460353851359
42.0	24.22478400268004
43.0	21.07798244914332
44.0	18.169076435851025
45.0	15.517708335797607
46.0	13.13258801572482
47.0	11.016499128363662
48.0	9.162817690979608
49.0	7.559977754017183
50.0	6.193962518196571
51.0	5.042383068612125
