#Insert size (bp)	insert size
1.0	187.0
2.0	211.0
3.0	199.0
4.0	172.0
5.0	178.0
6.0	210.0
7.0	221.0
8.0	214.0
9.0	192.0
10.0	203.0
11.0	195.0
12.0	218.0
13.0	208.0
14.0	214.0
15.0	184.0
16.0	192.0
17.0	179.0
18.0	195.0
19.0	203.0
20.0	185.0
21.0	207.0
22.0	178.0
23.0	211.0
24.0	229.0
25.0	248.0
26.0	268.0
27.0	252.0
28.0	245.0
29.0	277.0
30.0	263.0
31.0	171.0
32.0	148.0
33.0	143.0
34.0	174.0
35.0	158.0
36.0	165.0
37.0	171.0
38.0	176.0
39.0	256.0
40.0	2231.0
41.0	2249.0
42.0	2268.0
43.0	2234.0
44.0	2297.0
45.0	2274.0
46.0	2295.0
47.0	2300.0
48.0	2501.0
49.0	2473.0
50.0	2534.0
51.0	2711.0
52.0	2755.0
53.0	2795.0
54.0	2921.0
55.0	2972.0
56.0	3096.0
57.0	3114.0
58.0	3298.0
59.0	3346.0
60.0	3298.0
61.0	3084.0
62.0	2858.0
63.0	2814.0
64.0	2822.0
65.0	2922.0
66.0	2960.0
67.0	3049.0
68.0	3338.0
69.0	3484.0
70.0	3565.0
71.0	3640.0
72.0	3720.0
73.0	3901.0
74.0	3825.0
75.0	3731.0
76.0	4071.0
77.0	4011.0
78.0	4078.0
79.0	4180.0
80.0	4495.0
81.0	4706.0
82.0	4895.0
83.0	5258.0
84.0	5644.0
85.0	5784.0
86.0	6242.0
87.0	6619.0
88.0	6893.0
89.0	7393.0
90.0	7560.0
91.0	8324.0
92.0	8852.0
93.0	9556.0
94.0	10139.0
95.0	10541.0
96.0	11322.0
97.0	12016.0
98.0	12836.0
99.0	13091.0
100.0	14338.0
101.0	15553.0
102.0	16283.0
103.0	16610.0
104.0	16772.0
105.0	17052.0
106.0	17515.0
107.0	17598.0
108.0	18108.0
109.0	18591.0
110.0	18953.0
111.0	19310.0
112.0	19761.0
113.0	20424.0
114.0	21258.0
115.0	21677.0
116.0	22186.0
117.0	23003.0
118.0	23443.0
119.0	24308.0
120.0	24575.0
121.0	25112.0
122.0	25491.0
123.0	26193.0
124.0	27114.0
125.0	27576.0
126.0	28168.0
127.0	29117.0
128.0	29688.0
129.0	29948.0
130.0	30942.0
131.0	31350.0
132.0	31918.0
133.0	32289.0
