#GC Content (%)	Sample
1.0	8.883644436446343E-7
2.0	2.3605112359700288E-6
3.0	2.4874204422049764E-6
4.0	2.208220188488091E-6
5.0	2.182838347241102E-6
6.0	2.1828383472411015E-6
7.0	1.8528744110302375E-6
8.0	2.6650933309339032E-6
9.0	3.781894345801444E-6
10.0	5.380950344361786E-6
11.0	6.827715295440191E-6
12.0	1.2868593512223705E-5
13.0	2.073696429879047E-5
14.0	3.0305918448905534E-5
15.0	5.4951686299732386E-5
16.0	8.474996792369813E-5
17.0	1.399554726359004E-4
18.0	2.2711671547806254E-4
19.0	3.7326535737822837E-4
20.0	6.230226752486056E-4
21.0	0.0010164919782594377
22.0	0.0016126099017862343
23.0	0.002469577007808343
24.0	0.0036958245221329023
25.0	0.006036258721676563
26.0	0.0069244454924324685
27.0	0.010358735522356386
28.0	0.013647612983776309
29.0	0.017545908453536443
30.0	0.021768279272338147
31.0	0.026358407588967476
32.0	0.03088746719555655
33.0	0.035279718677824354
34.0	0.03930012618582376
35.0	0.04271639510846232
36.0	0.04529605316175886
37.0	0.04702663786166109
38.0	0.04776913286365929
39.0	0.04762156283864928
40.0	0.04673421366865453
41.0	0.04519947525581405
42.0	0.04302653582665929
43.0	0.04047228499645099
44.0	0.03779158183315018
45.0	0.03489939716857946
46.0	0.03207878929632525
47.0	0.029374506402506
48.0	0.02669357480263397
49.0	0.024277325043285555
50.0	0.022134133132072253
51.0	0.021851836293723236
52.0	0.01606987823950026
53.0	0.016133155169729005
54.0	0.01447343657058836
55.0	0.012937885938827986
56.0	0.011653387098841585
57.0	0.010468943477050817
58.0	0.009238914068380458
59.0	0.008083583418499986
60.0	0.007087092331143177
61.0	0.006119714215696663
62.0	0.005199850907064515
63.0	0.00448804255113394
64.0	0.003902508855407138
65.0	0.0033869021323157922
66.0	0.0029420599826210534
67.0	0.0025447072578994316
68.0	0.002169741317157655
69.0	0.0018427724382139355
70.0	0.0015366166690927476
71.0	0.0012518324103015248
72.0	0.0010229643477774203
73.0	8.537436121837407E-4
74.0	6.836598939876635E-4
75.0	5.46547187571426E-4
76.0	4.3225275643623206E-4
77.0	3.4559915041900975E-4
78.0	2.806216368267165E-4
79.0	2.1688783345552576E-4
80.0	1.7711448822149313E-4
81.0	1.3797568901863523E-4
82.0	1.0193347444791006E-4
83.0	7.429264932993842E-5
84.0	4.977379068534651E-5
85.0	3.198111997120684E-5
86.0	2.045776404507358E-5
87.0	1.0076590975054856E-5
88.0	5.71091428057265E-6
89.0	3.1219664733797153E-6
90.0	1.0406554911265718E-6
91.0	5.076368249397911E-7
92.0	2.5381841246989554E-7
93.0	2.0305472997591643E-7
94.0	5.076368249397911E-8
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.513025009108908E-6
