#Mapping quality	mapping quality
0.0	9367771.0
1.0	7400099.0
2.0	7551609.0
3.0	8303408.0
4.0	8193505.0
5.0	8864411.0
6.0	9824694.0
7.0	1.0834385E7
8.0	1.2981297E7
9.0	1.3635498E7
10.0	1.5212745E7
11.0	1.6953525E7
12.0	1.840388E7
13.0	2.0642289E7
14.0	2.2246625E7
15.0	2.4473172E7
16.0	2.6449691E7
17.0	2.8504059E7
18.0	3.0841756E7
19.0	3.2915912E7
20.0	3.5087116E7
21.0	3.7185396E7
22.0	3.9100344E7
23.0	4.2205417E7
24.0	4.2236731E7
25.0	4.235491E7
26.0	4.2391207E7
27.0	4.215487E7
28.0	4.1742922E7
29.0	4.1223389E7
30.0	4.0491974E7
31.0	3.9682202E7
32.0	3.8681179E7
33.0	3.7257402E7
34.0	3.5614315E7
35.0	3.3567379E7
36.0	3.1521066E7
37.0	2.9131475E7
38.0	2.728904E7
39.0	2.5345159E7
40.0	2.5949205E7
41.0	2.978542E7
42.0	5031574.0
