# This file was produced by samtools stats (1.14+htslib-1.14) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats merged/CISK3.PAJAbowtie.marked.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	b29372df	46230ace	19811ccb
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	91211792	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	91211792
SN	is sorted:	1
SN	1st fragments:	46821148
SN	last fragments:	44390644
SN	reads mapped:	91211792
SN	reads mapped and paired:	88781288	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	83773270	# proper-pair bit set
SN	reads paired:	88781288	# paired-end technology bit set
SN	reads duplicated:	12033336	# PCR or optical duplicate bit set
SN	reads MQ0:	5214535	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	0
SN	total length:	12549980715	# ignores clipping
SN	total first fragment length:	6747107436	# ignores clipping
SN	total last fragment length:	5802873279	# ignores clipping
SN	bases mapped:	12549980715	# ignores clipping
SN	bases mapped (cigar):	12549980715	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	1493772676
SN	mismatches:	313502176	# from NM fields
SN	error rate:	2.498029e-02	# mismatches / bases mapped (cigar)
SN	average length:	137
SN	average first fragment length:	144
SN	average last fragment length:	131
SN	maximum length:	151
SN	maximum first fragment length:	151
SN	maximum last fragment length:	151
SN	average quality:	39.0
SN	insert size average:	252.5
SN	insert size standard deviation:	100.6
SN	inward oriented pairs:	40964173
SN	outward oriented pairs:	2991179
SN	pairs with other orientation:	19790
SN	pairs on different chromosomes:	415502
SN	percentage of properly paired reads (%):	91.8
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2440	0	0	0	0	1569616	0	0	0	0	45247746	0	0	0	0	1344	0	0	0	2	0
FFQ	2	0	0	55865	0	0	0	0	0	0	0	0	0	738291	0	0	0	0	0	0	0	0	0	13415	0	0	0	0	1304912	0	0	0	0	44303210	0	0	0	0	399426	0	0	0	6029	0
FFQ	3	0	0	89	0	0	0	0	0	0	0	0	0	1016043	0	0	0	0	0	0	0	0	0	80792	0	0	0	0	1591422	0	0	0	0	11488719	0	0	0	0	32641393	0	0	0	2690	0
FFQ	4	0	0	2542	0	0	0	0	0	0	0	0	0	380506	0	0	0	0	0	0	0	0	0	148039	0	0	0	0	716406	0	0	0	0	3562256	0	0	0	0	41989169	0	0	0	22230	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	0	0	291823	0	0	0	0	0	0	0	0	0	164132	0	0	0	0	427166	0	0	0	0	1936148	0	0	0	0	43224567	0	0	0	777312	0
FFQ	6	0	0	2	0	0	0	0	0	0	0	0	0	472569	0	0	0	0	0	0	0	0	0	179883	0	0	0	0	563172	0	0	0	0	2051032	0	0	0	0	7350638	0	0	0	36203852	0
FFQ	7	0	0	0	0	0	0	0	0	0	0	0	0	272172	0	0	0	0	0	0	0	0	0	151347	0	0	0	0	413319	0	0	0	0	1716409	0	0	0	0	7314717	0	0	0	36953184	0
FFQ	8	0	0	0	0	0	0	0	0	0	0	0	0	227399	0	0	0	0	0	0	0	0	0	159190	0	0	0	0	338504	0	0	0	0	1490739	0	0	0	0	6011729	0	0	0	38593587	0
FFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	168513	0	0	0	0	0	0	0	0	0	149031	0	0	0	0	263951	0	0	0	0	1078610	0	0	0	0	4514881	0	0	0	40646162	0
FFQ	10	0	0	0	0	0	0	0	0	0	0	0	0	126863	0	0	0	0	0	0	0	0	0	155504	0	0	0	0	307404	0	0	0	0	790114	0	0	0	0	3520469	0	0	0	41920794	0
FFQ	11	0	0	0	0	0	0	0	0	0	0	0	0	205815	0	0	0	0	0	0	0	0	0	173269	0	0	0	0	306420	0	0	0	0	1052258	0	0	0	0	4059825	0	0	0	41023561	0
