# This file was produced by samtools stats (1.14+htslib-1.14) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats merged/POJA_MKP1559.PAJAbowtie.marked.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	51abf70c	816c596d	db228464
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	112573309	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	112573309
SN	is sorted:	1
SN	1st fragments:	58914698
SN	last fragments:	53658611
SN	reads mapped:	112573309
SN	reads mapped and paired:	107317222	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	100189756	# proper-pair bit set
SN	reads paired:	107317222	# paired-end technology bit set
SN	reads duplicated:	5733033	# PCR or optical duplicate bit set
SN	reads MQ0:	5102991	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	0
SN	total length:	15228379840	# ignores clipping
SN	total first fragment length:	8188778388	# ignores clipping
SN	total last fragment length:	7039601452	# ignores clipping
SN	bases mapped:	15228379840	# ignores clipping
SN	bases mapped (cigar):	15228379840	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	702989561
SN	mismatches:	386370252	# from NM fields
SN	error rate:	2.537172e-02	# mismatches / bases mapped (cigar)
SN	average length:	135
SN	average first fragment length:	139
SN	average last fragment length:	131
SN	maximum length:	151
SN	maximum first fragment length:	151
SN	maximum last fragment length:	151
SN	average quality:	38.7
SN	insert size average:	257.4
SN	insert size standard deviation:	97.6
SN	inward oriented pairs:	49608377
SN	outward oriented pairs:	2527762
SN	pairs with other orientation:	291893
SN	pairs on different chromosomes:	1230579
SN	percentage of properly paired reads (%):	89.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3039	0	0	0	0	2825475	0	0	0	0	56083411	0	0	0	0	2772	0	0	0	1	0
FFQ	2	0	0	5488	0	0	0	0	0	0	0	0	0	1236562	0	0	0	0	0	0	0	0	0	23026	0	0	0	0	1864270	0	0	0	0	55166858	0	0	0	0	615588	0	0	0	2906	0
FFQ	3	0	0	48	0	0	0	0	0	0	0	0	0	1057824	0	0	0	0	0	0	0	0	0	191659	0	0	0	0	1530658	0	0	0	0	13164768	0	0	0	0	42964165	0	0	0	5576	0
FFQ	4	0	0	1203	0	0	0	0	0	0	0	0	0	784432	0	0	0	0	0	0	0	0	0	432720	0	0	0	0	1053488	0	0	0	0	5063862	0	0	0	0	51507906	0	0	0	71087	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	0	0	559377	0	0	0	0	0	0	0	0	0	477270	0	0	0	0	665600	0	0	0	0	2918374	0	0	0	0	52758708	0	0	0	1535369	0
FFQ	6	0	0	0	0	0	0	0	0	0	0	0	0	413333	0	0	0	0	0	0	0	0	0	409425	0	0	0	0	702653	0	0	0	0	2163664	0	0	0	0	7138361	0	0	0	48087262	0
FFQ	7	0	0	0	0	0	0	0	0	0	0	0	0	370986	0	0	0	0	0	0	0	0	0	384845	0	0	0	0	679023	0	0	0	0	1800404	0	0	0	0	6070643	0	0	0	49608797	0
FFQ	8	0	0	0	0	0	0	0	0	0	0	0	0	377856	0	0	0	0	0	0	0	0	0	389500	0	0	0	0	698979	0	0	0	0	1689521	0	0	0	0	5712001	0	0	0	50046841	0
FFQ	9	0	0	1	0	0	0	0	0	0	0	0	0	342222	0	0	0	0	0	0	0	0	0	369722	0	0	0	0	670282	0	0	0	0	1586969	0	0	0	0	5366813	0	0	0	50578689	0
FFQ	10	0	0	24	0	0	0	0	0	0	0	0	0	352086	0	0	0	0	0	0	0	0	0	365516	0	0	0	0	666045	0	0	0	0	1553473	0	0	0	0	5254470	0	0	0	50723084	0
