#Mapping quality	mapping quality
0.0	1.8720069E7
1.0	1.865932E7
2.0	1.8873875E7
3.0	1.8942309E7
4.0	1.7673831E7
5.0	1.8446377E7
6.0	1.9423224E7
7.0	1.9487722E7
8.0	2.4825629E7
9.0	2.3059587E7
10.0	2.4663148E7
11.0	2.6528534E7
12.0	2.646459E7
13.0	3.0869102E7
14.0	3.083533E7
15.0	3.3283255E7
16.0	3.4035143E7
17.0	3.5463854E7
18.0	3.8418026E7
19.0	3.9304464E7
20.0	4.0937182E7
21.0	4.263598E7
22.0	3.9821585E7
23.0	6.3148532E7
24.0	3.514789E7
25.0	4.0230634E7
26.0	3.6943878E7
27.0	3.4423232E7
28.0	3.1699262E7
29.0	2.9862506E7
30.0	2.7710739E7
31.0	2.547579E7
32.0	2.4256473E7
33.0	2.1816309E7
34.0	2.0578043E7
35.0	1.8456656E7
36.0	1.7472502E7
37.0	1.5407967E7
38.0	1.469239E7
39.0	1.2537514E7
40.0	1.3472561E7
41.0	1.5496734E7
42.0	4443615.0
