#Duplication rate	Coverage
1.0	6.4011816E7
2.0	1.3463212E7
3.0	2420766.0
4.0	435341.0
5.0	99911.0
6.0	36745.0
7.0	20955.0
8.0	14614.0
9.0	11148.0
10.0	8682.0
11.0	7026.0
12.0	5694.0
13.0	4621.0
14.0	3851.0
15.0	3320.0
16.0	2732.0
17.0	2255.0
18.0	1869.0
19.0	1790.0
20.0	1478.0
21.0	1286.0
22.0	1076.0
23.0	959.0
24.0	822.0
25.0	774.0
26.0	630.0
27.0	556.0
28.0	495.0
29.0	443.0
30.0	406.0
31.0	332.0
32.0	317.0
33.0	257.0
34.0	276.0
35.0	218.0
36.0	200.0
37.0	173.0
38.0	150.0
39.0	143.0
40.0	150.0
41.0	126.0
42.0	119.0
43.0	99.0
44.0	99.0
45.0	87.0
46.0	72.0
47.0	71.0
48.0	62.0
49.0	57.0
50.0	2985.0
