#GC Content (%)	Sample
1.0	3.296364386975774E-7
2.0	0.0
3.0	1.3185457547903097E-7
4.0	5.274183019161239E-7
5.0	1.9778186321854646E-7
6.0	3.955637264370929E-7
7.0	5.933455896556393E-7
8.0	5.274183019161239E-7
9.0	1.2526184670507943E-6
10.0	1.3844730425298251E-6
11.0	1.8459640567064338E-6
12.0	3.230437099236259E-6
13.0	4.417128278547537E-6
14.0	7.449783514565249E-6
15.0	1.1471348066675694E-5
16.0	1.331731212338213E-5
17.0	2.4327169175881213E-5
18.0	3.724891757282625E-5
19.0	6.830067009813804E-5
20.0	1.2677817432308827E-4
21.0	2.3074550708830418E-4
22.0	4.1112256634361847E-4
23.0	7.561859903722427E-4
24.0	0.0013093159345067774
25.0	0.00246014266928776
26.0	0.0033195048649723446
27.0	0.005577052979036573
28.0	0.008300904799282395
29.0	0.01187086743037716
30.0	0.016173216300970197
31.0	0.021203402428207493
32.0	0.026580102379803676
33.0	0.03207547144933099
34.0	0.037201911416667975
35.0	0.041809437702207235
36.0	0.04534234919759239
37.0	0.04782306118065487
38.0	0.04912275173115169
39.0	0.049109434419028306
40.0	0.048284024776529565
41.0	0.04641590915114266
42.0	0.044219739341963916
43.0	0.04152885116558785
44.0	0.038833479933645505
45.0	0.035859236274565
46.0	0.03303187861256814
47.0	0.030539563426863498
48.0	0.028148974046140928
49.0	0.02590223800726598
50.0	0.023940044142274772
51.0	0.023983688006758336
52.0	0.018066384295698127
53.0	0.01883984323545812
54.0	0.01738456428589606
55.0	0.015448807263288403
56.0	0.013806031107395153
57.0	0.012204789142777804
58.0	0.01075893779536249
59.0	0.009371827661323084
60.0	0.00806191838122665
61.0	0.00703747425704232
62.0	0.0062072519225386015
63.0	0.005486073321956043
64.0	0.004810911968215663
65.0	0.0042699126450252
66.0	0.0037996533015792356
67.0	0.0033376348691007106
68.0	0.0029263145208938733
69.0	0.002517565336908878
70.0	0.0021722382037292955
71.0	0.0018000786644397305
72.0	0.001513888308362494
73.0	0.001328698557102195
74.0	0.0011549142266208323
75.0	9.681422204547849E-4
76.0	7.983794545255325E-4
77.0	7.04564924072202E-4
78.0	6.255840333602624E-4
79.0	5.5787670885178E-4
80.0	4.989377136126532E-4
81.0	4.396031546470893E-4
82.0	3.8046637754474393E-4
83.0	3.088034157718905E-4
84.0	2.497984932450242E-4
85.0	1.7101538439630317E-4
86.0	1.2466850111542377E-4
87.0	8.392543729240321E-5
88.0	4.819284733758582E-5
89.0	3.1183607100790825E-5
90.0	1.6152185496181292E-5
91.0	7.581638090044281E-6
92.0	3.889709976631414E-6
93.0	1.6481821934878872E-6
94.0	5.274183019161239E-7
95.0	6.592728773951548E-8
96.0	6.592728773951548E-8
97.0	6.592728773951548E-8
98.0	6.592728773951548E-8
99.0	0.0
100.0	4.746764717245115E-6
