#Coverage	Number of genomic locations
0.0	7.9421918E7
1.0	6.7719741E7
2.0	7.6785787E7
3.0	7.8970108E7
4.0	7.9462704E7
5.0	7.8199219E7
6.0	7.5800907E7
7.0	7.2608838E7
8.0	6.8802323E7
9.0	6.4387645E7
10.0	5.9523113E7
11.0	5.4293634E7
12.0	4.8876534E7
13.0	4.3433408E7
14.0	3.8115278E7
15.0	3.3035354E7
16.0	2.8237961E7
17.0	2.3857413E7
18.0	1.9948261E7
19.0	1.6481123E7
20.0	1.3502691E7
21.0	1.094442E7
22.0	8798253.0
23.0	7036810.0
24.0	5575229.0
25.0	4397118.0
26.0	3459866.0
27.0	2728473.0
28.0	2149365.0
29.0	1689924.0
30.0	1340039.0
31.0	1069542.0
32.0	860609.0
33.0	695370.0
34.0	566716.0
35.0	466605.0
36.0	387843.0
37.0	329215.0
38.0	280679.0
39.0	242160.0
40.0	208771.0
41.0	183588.0
42.0	159894.0
43.0	143140.0
44.0	128726.0
45.0	117302.0
46.0	104609.0
47.0	96370.0
48.0	88680.0
49.0	81542.0
50.0	75562.0
51.0	69375.0
52.0	65256.0
53.0	60590.0
54.0	57453.0
55.0	54543.0
56.0	52423.0
57.0	49631.0
58.0	46903.0
59.0	44993.0
60.0	42001.0
61.0	40685.0
62.0	38689.0
63.0	37996.0
64.0	36345.0
65.0	34868.0
66.0	33854.0
67.0	32645.0
68.0	32134.0
69.0	30659.0
70.0	29778.0
71.0	27945.0
72.0	27171.0
73.0	26192.0
74.0	25451.0
75.0	24682.0
76.0	24015.0
77.0	23473.0
78.0	23072.0
79.0	22614.0
80.0	21363.0
81.0	20757.0
82.0	20271.0
83.0	19986.0
84.0	19066.0
85.0	18475.0
86.0	17905.0
87.0	17507.0
88.0	17347.0
89.0	17121.0
90.0	16255.0
91.0	15956.0
92.0	15269.0
93.0	15217.0
94.0	15062.0
95.0	14305.0
96.0	13884.0
97.0	13926.0
98.0	13244.0
99.0	13421.0
100.0	13071.0
101.0	12939.0
102.0	12766.0
103.0	12600.0
104.0	12090.0
105.0	11828.0
106.0	11520.0
107.0	11285.0
108.0	11065.0
109.0	11009.0
110.0	10629.0
111.0	10472.0
112.0	10360.0
113.0	10335.0
114.0	9918.0
115.0	9694.0
116.0	9411.0
117.0	9411.0
118.0	9310.0
119.0	9327.0
120.0	9058.0
121.0	8736.0
122.0	8569.0
123.0	8409.0
124.0	8393.0
125.0	8519.0
126.0	8341.0
127.0	7959.0
128.0	7910.0
129.0	7621.0
130.0	7520.0
131.0	7276.0
132.0	7220.0
133.0	7267.0
134.0	7125.0
135.0	7162.0
136.0	7068.0
137.0	6907.0
138.0	6731.0
139.0	6664.0
140.0	6455.0
141.0	6286.0
142.0	6348.0
143.0	6348.0
144.0	6192.0
145.0	6191.0
146.0	6179.0
147.0	6146.0
148.0	6027.0
149.0	5899.0
150.0	5748.0
