#Duplication rate	Coverage
1.0	6.1265929E7
2.0	5758405.0
3.0	527218.0
4.0	137230.0
5.0	49369.0
6.0	28134.0
7.0	18709.0
8.0	12872.0
9.0	9543.0
10.0	7541.0
11.0	5895.0
12.0	4868.0
13.0	4169.0
14.0	3401.0
15.0	2899.0
16.0	2568.0
17.0	2350.0
18.0	1980.0
19.0	1772.0
20.0	1611.0
21.0	1384.0
22.0	1211.0
23.0	1249.0
24.0	1008.0
25.0	972.0
26.0	840.0
27.0	783.0
28.0	686.0
29.0	599.0
30.0	562.0
31.0	520.0
32.0	515.0
33.0	491.0
34.0	431.0
35.0	380.0
36.0	338.0
37.0	288.0
38.0	317.0
39.0	289.0
40.0	258.0
41.0	235.0
42.0	217.0
43.0	190.0
44.0	169.0
45.0	173.0
46.0	164.0
47.0	143.0
48.0	133.0
49.0	132.0
50.0	4004.0
