#Coverage (X)	Coverage
1.0	93.26071965521297
2.0	87.51441774047743
3.0	80.99882408422621
4.0	74.2978816986481
5.0	67.55514049198484
6.0	60.91961124696715
7.0	54.48758875838749
8.0	48.32642661179685
9.0	42.48826310799442
10.0	37.02470340907573
11.0	31.973919499507616
12.0	27.366878651372204
13.0	23.219501287512585
14.0	19.533995822364844
15.0	16.29975582501936
16.0	13.496568524817391
17.0	11.100459990342529
18.0	9.076059188181503
19.0	7.383366205496529
20.0	5.984874314455595
21.0	4.839114776666136
22.0	3.9104351823116588
23.0	3.163866791563862
24.0	2.566764171566689
25.0	2.0936827834115093
26.0	1.7205690176232196
27.0	1.4269849854496641
28.0	1.1954626938300805
29.0	1.013080126611385
30.0	0.8696830407164811
31.0	0.7559751535064549
32.0	0.665220062719996
33.0	0.592193806690176
34.0	0.533188767635906
35.0	0.48510055601809654
36.0	0.4455071794733527
37.0	0.4125970864841264
38.0	0.38466182334040866
39.0	0.36084504183313015
40.0	0.34029675781543745
41.0	0.32258166943313427
42.0	0.3070034634278471
43.0	0.29343579195145253
44.0	0.28128976711542464
45.0	0.2703668301792561
46.0	0.2604132671967534
47.0	0.2515367581002579
48.0	0.24335936244951029
49.0	0.23583449530923417
50.0	0.22891531718167357
51.0	0.2225035669465143
