#Insert size (bp)	insert size
1.0	1541.0
2.0	155.0
3.0	80.0
4.0	84.0
5.0	77.0
6.0	73.0
7.0	102.0
8.0	71.0
9.0	61.0
10.0	68.0
11.0	69.0
12.0	69.0
13.0	49.0
14.0	56.0
15.0	55.0
16.0	52.0
17.0	39.0
18.0	45.0
19.0	52.0
20.0	58.0
21.0	66.0
22.0	47.0
23.0	57.0
24.0	48.0
25.0	49.0
26.0	47.0
27.0	47.0
28.0	36.0
29.0	47.0
30.0	50.0
31.0	19.0
32.0	31.0
33.0	24.0
34.0	40.0
35.0	31.0
36.0	34.0
37.0	33.0
38.0	47.0
39.0	100.0
40.0	5271.0
41.0	5572.0
42.0	5357.0
43.0	5151.0
44.0	5308.0
45.0	5461.0
46.0	5609.0
47.0	5582.0
48.0	5897.0
49.0	6085.0
50.0	5918.0
51.0	5359.0
52.0	5287.0
53.0	5045.0
54.0	5415.0
55.0	5182.0
56.0	5767.0
57.0	5517.0
58.0	5718.0
59.0	5685.0
60.0	5506.0
61.0	5496.0
62.0	5318.0
63.0	5595.0
64.0	5848.0
65.0	5686.0
66.0	6172.0
67.0	5965.0
68.0	6188.0
69.0	6427.0
70.0	6342.0
71.0	6540.0
72.0	6499.0
73.0	6726.0
74.0	6981.0
75.0	7716.0
76.0	7596.0
77.0	8329.0
78.0	8406.0
79.0	8689.0
80.0	8217.0
81.0	9042.0
82.0	8915.0
83.0	9547.0
84.0	9982.0
85.0	10280.0
86.0	10561.0
87.0	11280.0
88.0	12015.0
89.0	13257.0
90.0	13811.0
91.0	13726.0
92.0	14027.0
93.0	14663.0
94.0	15622.0
95.0	16243.0
96.0	17134.0
97.0	18239.0
98.0	18992.0
99.0	20729.0
100.0	21464.0
101.0	22374.0
102.0	23166.0
103.0	24197.0
104.0	25190.0
105.0	26796.0
106.0	28518.0
107.0	29619.0
108.0	31455.0
109.0	33084.0
110.0	34566.0
111.0	35811.0
112.0	37179.0
113.0	38872.0
114.0	40966.0
115.0	43063.0
116.0	44771.0
117.0	46641.0
118.0	48101.0
119.0	51072.0
120.0	52852.0
121.0	54671.0
122.0	56842.0
123.0	58762.0
124.0	60012.0
125.0	62177.0
126.0	64272.0
127.0	66451.0
128.0	68771.0
129.0	71731.0
130.0	73827.0
131.0	75988.0
132.0	77455.0
133.0	80169.0
134.0	81827.0
135.0	84299.0
136.0	86891.0
137.0	89330.0
138.0	91426.0
139.0	93796.0
140.0	96171.0
141.0	98197.0
142.0	99786.0
143.0	103145.0
144.0	105038.0
145.0	106984.0
146.0	108776.0
147.0	110134.0
148.0	112647.0
149.0	115104.0
150.0	117461.0
151.0	119570.0
152.0	121640.0
153.0	124324.0
154.0	126280.0
155.0	129416.0
156.0	131004.0
157.0	132698.0
158.0	134911.0
159.0	136840.0
160.0	139382.0
161.0	141396.0
162.0	142583.0
163.0	144552.0
164.0	146384.0
165.0	148351.0
166.0	150666.0
167.0	152267.0
168.0	155353.0
169.0	156584.0
170.0	158392.0
171.0	159770.0
172.0	160539.0
173.0	163682.0
174.0	164660.0
175.0	166386.0
176.0	167591.0
177.0	169601.0
178.0	171449.0
179.0	172726.0
180.0	172920.0
181.0	174988.0
182.0	175922.0
183.0	177962.0
184.0	178142.0
185.0	179449.0
186.0	180334.0
187.0	182054.0
188.0	182392.0
189.0	184012.0
190.0	185823.0
191.0	185984.0
192.0	186326.0
193.0	187832.0
194.0	187948.0
195.0	188219.0
196.0	189345.0
197.0	190725.0
198.0	190896.0
199.0	191114.0
200.0	191926.0
201.0	192773.0
202.0	192930.0
203.0	193184.0
204.0	193190.0
205.0	193964.0
206.0	193660.0
207.0	194061.0
208.0	194556.0
209.0	195257.0
210.0	196057.0
211.0	194556.0
212.0	194904.0
213.0	194443.0
214.0	194957.0
215.0	194550.0
216.0	194656.0
217.0	194262.0
218.0	194135.0
219.0	195028.0
220.0	193886.0
221.0	194645.0
222.0	193515.0
223.0	193196.0
224.0	192565.0
