#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	9.582349465601953E-8
6.0	0.0
7.0	0.0
8.0	9.582349465601953E-8
9.0	6.707644625921366E-7
10.0	1.9164698931203906E-7
11.0	5.749409679361171E-7
12.0	1.149881935872234E-6
13.0	1.1498819358722343E-6
14.0	1.7248229038083514E-6
15.0	3.8329397862407804E-6
16.0	4.3120572595208785E-6
17.0	7.282585593857485E-6
18.0	1.1594642853378363E-5
19.0	2.2135227265540514E-5
20.0	4.4557925015049076E-5
21.0	7.70420897034397E-5
22.0	1.4009394918710054E-4
23.0	2.556570837422601E-4
24.0	4.704933587610558E-4
25.0	9.412741880060798E-4
26.0	0.0013284011064163986
27.0	0.002398462071240169
28.0	0.003850475485762832
29.0	0.005913746972696246
30.0	0.008584156121770197
31.0	0.012011954172605328
32.0	0.01602762936315514
33.0	0.02038654431156281
34.0	0.02485546463183559
35.0	0.029075914630465317
36.0	0.03260586052660377
37.0	0.03536538552570782
38.0	0.03737911626590407
39.0	0.03862041381567814
40.0	0.03895550857649024
41.0	0.03885527720108004
42.0	0.03849009386294595
43.0	0.03802065456262612
44.0	0.03751652715724079
45.0	0.036781560953229125
46.0	0.03602704675630762
47.0	0.03528336061428226
48.0	0.034389998173604185
49.0	0.03329799362850419
50.0	0.032283989408054194
51.0	0.03398936014244737
52.0	0.026548953252891423
53.0	0.02841837381013571
54.0	0.02654684513600899
55.0	0.023812617539494128
56.0	0.021628416802304824
57.0	0.019580093780537752
58.0	0.017617245316003845
59.0	0.01554832024288573
60.0	0.01342812960012664
61.0	0.011780732080000352
62.0	0.01036407753500576
63.0	0.00923316865107542
64.0	0.008292756874521242
65.0	0.007492439047154166
66.0	0.006747794670182238
67.0	0.005953609546473149
68.0	0.0051963164682066266
69.0	0.004604893859189675
70.0	0.00401759166044293
71.0	0.0034319184611053396
72.0	0.003009528496661605
73.0	0.00262834263491996
74.0	0.002383417782579174
75.0	0.0021267066403956973
76.0	0.0019288311239310171
77.0	0.0017667935944676878
78.0	0.00167863597938415
79.0	0.0015866454245143714
80.0	0.0014905344593743838
81.0	0.001399597962945821
82.0	0.001266882422847234
83.0	0.001104174128921313
84.0	8.853132671269643E-4
85.0	6.740224614104415E-4
86.0	5.267417501241394E-4
87.0	3.813775087309577E-4
88.0	2.4981185056824297E-4
89.0	1.7650687715638794E-4
90.0	9.553602417205147E-5
91.0	4.934909974785005E-5
92.0	2.5393226083845173E-5
93.0	1.1211348874754286E-5
94.0	3.6412927969287427E-6
95.0	2.2039403770884493E-6
96.0	1.3415289251842733E-6
97.0	4.791174732800977E-7
98.0	6.707644625921366E-7
99.0	2.9705283343366052E-6
100.0	2.021875737242012E-5
