#Mapping quality	mapping quality
0.0	2.7461016E7
1.0	2.1369846E7
2.0	2.0629779E7
3.0	2.5963802E7
4.0	1.8798823E7
5.0	1.8556022E7
6.0	1.7487358E7
7.0	1.5882188E7
8.0	3.360684E7
9.0	1.8090229E7
10.0	1.8614076E7
11.0	2.1011394E7
12.0	1.759817E7
13.0	2.678334E7
14.0	2.0365715E7
15.0	2.6557247E7
16.0	2.4097344E7
17.0	2.2340049E7
18.0	2.9005155E7
19.0	2.5556097E7
20.0	2.7053233E7
21.0	2.5877377E7
22.0	1.9733457E7
23.0	9.6699678E7
24.0	4.7108845E7
25.0	2.5113434E7
26.0	2.7100174E7
27.0	2.6841716E7
28.0	2.4482284E7
29.0	2.6922829E7
30.0	2.290507E7
31.0	2.1231265E7
32.0	2.7489875E7
33.0	2.0299949E7
34.0	2.2701084E7
35.0	1.8414127E7
36.0	2.1122251E7
37.0	1.8351164E7
38.0	1.7742702E7
39.0	1.2977852E7
40.0	4.1290633E7
41.0	3.351246E7
42.0	2.4324701E7
