#Coverage	Number of genomic locations
0.0	2.8336161E7
1.0	9234470.0
2.0	1.0283054E7
3.0	1.3185018E7
4.0	1.7897524E7
5.0	2.4417015E7
6.0	3.2585895E7
7.0	4.1847629E7
8.0	5.162786E7
9.0	6.0898551E7
10.0	6.8826929E7
11.0	7.4794279E7
12.0	7.8416407E7
13.0	7.9474002E7
14.0	7.7954886E7
15.0	7.4369793E7
16.0	6.8999038E7
17.0	6.2443547E7
18.0	5.5189952E7
19.0	4.7742666E7
20.0	4.0429775E7
21.0	3.3625026E7
22.0	2.7457928E7
23.0	2.2079717E7
24.0	1.7471486E7
25.0	1.3634681E7
26.0	1.0511087E7
27.0	8004784.0
28.0	6006334.0
29.0	4474105.0
30.0	3315881.0
31.0	2440363.0
32.0	1795437.0
33.0	1316410.0
34.0	970798.0
35.0	718984.0
36.0	534848.0
37.0	407744.0
38.0	316999.0
39.0	250835.0
40.0	202340.0
41.0	168870.0
42.0	142930.0
43.0	125264.0
44.0	110910.0
45.0	100557.0
46.0	90551.0
47.0	83649.0
48.0	78121.0
49.0	72637.0
50.0	68507.0
51.0	64682.0
52.0	61109.0
53.0	58145.0
54.0	55639.0
55.0	52190.0
56.0	50352.0
57.0	48913.0
58.0	46241.0
59.0	44882.0
60.0	43101.0
61.0	41499.0
62.0	39951.0
63.0	38415.0
64.0	37544.0
65.0	35124.0
66.0	33548.0
67.0	32657.0
68.0	31897.0
69.0	30287.0
70.0	29614.0
71.0	28916.0
72.0	27388.0
73.0	26461.0
74.0	25608.0
75.0	24900.0
76.0	23682.0
77.0	23788.0
78.0	22980.0
79.0	22285.0
80.0	21558.0
81.0	20983.0
82.0	20023.0
83.0	19740.0
84.0	19550.0
85.0	19122.0
86.0	18539.0
87.0	18392.0
88.0	17459.0
89.0	17106.0
90.0	16959.0
91.0	16871.0
92.0	16101.0
93.0	15855.0
94.0	15521.0
95.0	15202.0
96.0	14539.0
97.0	14429.0
98.0	14144.0
99.0	14117.0
100.0	13850.0
101.0	13568.0
102.0	13420.0
103.0	13132.0
104.0	12808.0
105.0	12557.0
106.0	12518.0
107.0	12755.0
108.0	12292.0
109.0	11857.0
110.0	11686.0
111.0	11448.0
112.0	11444.0
113.0	11022.0
114.0	10860.0
115.0	10578.0
116.0	10391.0
117.0	10397.0
118.0	10212.0
119.0	9906.0
120.0	9746.0
121.0	9521.0
122.0	9436.0
123.0	9131.0
124.0	8841.0
125.0	8962.0
126.0	8789.0
127.0	8771.0
128.0	8772.0
129.0	8513.0
130.0	8250.0
131.0	7973.0
132.0	8253.0
133.0	8255.0
134.0	8163.0
135.0	8013.0
136.0	7988.0
137.0	7759.0
138.0	7566.0
139.0	7289.0
140.0	7368.0
141.0	6930.0
142.0	6955.0
143.0	7072.0
144.0	6981.0
145.0	6841.0
146.0	6572.0
147.0	6630.0
148.0	6528.0
149.0	6259.0
150.0	6185.0
151.0	6199.0
152.0	6074.0
153.0	5865.0
154.0	6049.0
155.0	6044.0
156.0	6075.0
157.0	5877.0
158.0	5786.0
159.0	5924.0
160.0	5916.0
161.0	5690.0
162.0	5699.0
163.0	5537.0
164.0	5498.0
165.0	5710.0
166.0	5296.0
167.0	5359.0
168.0	5302.0
169.0	5224.0
170.0	5177.0
171.0	4948.0
172.0	4802.0
173.0	4758.0
174.0	4847.0
175.0	4751.0
176.0	4660.0
177.0	4716.0
178.0	4503.0
179.0	4384.0
180.0	4529.0
181.0	4496.0
182.0	4528.0
183.0	4283.0
184.0	4248.0
185.0	4253.0
186.0	4287.0
187.0	4213.0
188.0	4279.0
189.0	4224.0
190.0	4141.0
191.0	4142.0
192.0	3976.0
193.0	4040.0
194.0	3990.0
195.0	4061.0
196.0	3943.0
197.0	3937.0
198.0	4002.0
199.0	3921.0
200.0	4099.0
201.0	3903.0
202.0	3920.0
203.0	3888.0
204.0	3961.0
205.0	3792.0
206.0	3780.0
207.0	3626.0
208.0	3844.0
209.0	3740.0
210.0	3500.0
211.0	3430.0
212.0	3608.0
213.0	3612.0
214.0	3516.0
215.0	3552.0
216.0	3413.0
217.0	3444.0
218.0	3379.0
219.0	3446.0
220.0	3254.0
221.0	3189.0
222.0	3083.0
223.0	3186.0
224.0	3124.0
225.0	3110.0
226.0	3019.0
227.0	3053.0
228.0	3123.0
229.0	3095.0
230.0	3102.0
231.0	3121.0
232.0	3126.0
233.0	3028.0
234.0	3060.0
235.0	2948.0
236.0	2978.0
237.0	3083.0
238.0	3091.0
239.0	2962.0
240.0	3117.0
241.0	2936.0
242.0	2957.0
243.0	2877.0
244.0	2942.0
245.0	2924.0
246.0	2912.0
247.0	2796.0
248.0	2784.0
249.0	2760.0
250.0	2752.0
251.0	2716.0
252.0	2695.0
253.0	2704.0
254.0	2606.0
255.0	2591.0
256.0	2501.0
257.0	2591.0
258.0	2525.0
259.0	2712.0
260.0	2531.0
261.0	2482.0
262.0	2489.0
263.0	2452.0
264.0	2589.0
265.0	2567.0
266.0	2532.0
267.0	2531.0
268.0	2524.0
269.0	2523.0
270.0	2473.0
271.0	2440.0
272.0	2495.0
273.0	2425.0
274.0	2422.0
275.0	2487.0
276.0	2383.0
277.0	2387.0
278.0	2485.0
279.0	2367.0
280.0	2249.0
281.0	2246.0
282.0	2349.0
283.0	2259.0
284.0	2219.0
285.0	2216.0
286.0	2212.0
287.0	2240.0
288.0	2116.0
289.0	2122.0
290.0	2091.0
291.0	2127.0
292.0	2049.0
293.0	2153.0
294.0	2080.0
295.0	2053.0
296.0	2120.0
297.0	1982.0
298.0	2098.0
299.0	2127.0
300.0	2079.0
301.0	2132.0
302.0	2075.0
303.0	1993.0
304.0	1996.0
305.0	1980.0
306.0	1959.0
307.0	2034.0
308.0	2014.0
309.0	1910.0
310.0	1926.0
311.0	1911.0
312.0	1941.0
313.0	1938.0
314.0	1901.0
315.0	1892.0
316.0	1817.0
317.0	1918.0
318.0	1901.0
319.0	1899.0
320.0	1884.0
321.0	1843.0
322.0	1854.0
323.0	1814.0
324.0	1861.0
325.0	1726.0
326.0	1722.0
327.0	1802.0
328.0	1790.0
329.0	1838.0
330.0	1919.0
331.0	1810.0
332.0	1879.0
333.0	1826.0
334.0	1804.0
335.0	1825.0
336.0	1827.0
337.0	1749.0
338.0	1740.0
339.0	1774.0
340.0	1762.0
341.0	1739.0
342.0	1626.0
343.0	1708.0
344.0	1681.0
345.0	1741.0
346.0	1672.0
347.0	1675.0
348.0	1614.0
349.0	1665.0
350.0	1585.0
351.0	1608.0
352.0	1567.0
353.0	1489.0
354.0	1525.0
355.0	1510.0
356.0	1464.0
357.0	1473.0
358.0	1447.0
359.0	1479.0
360.0	1428.0
361.0	1532.0
362.0	1509.0
363.0	1622.0
364.0	1468.0
365.0	1406.0
366.0	1426.0
367.0	1423.0
368.0	1412.0
369.0	1386.0
370.0	1367.0
371.0	1482.0
372.0	1416.0
373.0	1445.0
374.0	1484.0
375.0	1454.0
376.0	1432.0
377.0	1405.0
378.0	1463.0
379.0	1473.0
380.0	1449.0
381.0	1479.0
382.0	1434.0
383.0	1391.0
384.0	1345.0
385.0	1385.0
386.0	1348.0
387.0	1356.0
388.0	1359.0
389.0	1431.0
390.0	1410.0
391.0	1444.0
392.0	1452.0
393.0	1439.0
394.0	1363.0
395.0	1345.0
396.0	1320.0
397.0	1228.0
398.0	1254.0
399.0	1270.0
400.0	1233.0
401.0	1234.0
402.0	1229.0
403.0	1255.0
404.0	1196.0
405.0	1180.0
406.0	1208.0
407.0	1210.0
408.0	1224.0
409.0	1235.0
410.0	1157.0
411.0	1154.0
412.0	1226.0
413.0	1163.0
414.0	1190.0
415.0	1239.0
416.0	1097.0
417.0	1138.0
418.0	1176.0
419.0	1120.0
420.0	1112.0
421.0	1099.0
422.0	1161.0
423.0	1113.0
424.0	1142.0
425.0	1080.0
426.0	1124.0
427.0	1107.0
428.0	1145.0
429.0	1173.0
430.0	1048.0
431.0	1045.0
432.0	1076.0
433.0	1028.0
434.0	1027.0
435.0	1079.0
436.0	1035.0
437.0	1058.0
438.0	1011.0
439.0	977.0
440.0	965.0
441.0	1018.0
442.0	1004.0
443.0	1007.0
444.0	982.0
445.0	981.0
446.0	1013.0
447.0	996.0
448.0	960.0
449.0	982.0
450.0	965.0
451.0	965.0
452.0	1020.0
453.0	988.0
454.0	940.0
455.0	923.0
456.0	908.0
457.0	919.0
458.0	961.0
459.0	949.0
460.0	985.0
461.0	988.0
462.0	874.0
463.0	912.0
464.0	945.0
465.0	916.0
466.0	886.0
467.0	859.0
468.0	897.0
469.0	877.0
470.0	927.0
471.0	897.0
472.0	898.0
473.0	906.0
474.0	868.0
475.0	893.0
476.0	873.0
477.0	865.0
478.0	823.0
479.0	832.0
480.0	796.0
481.0	802.0
482.0	780.0
483.0	826.0
484.0	763.0
485.0	762.0
486.0	764.0
487.0	846.0
488.0	818.0
489.0	797.0
490.0	846.0
491.0	864.0
492.0	736.0
493.0	742.0
494.0	764.0
495.0	807.0
496.0	863.0
497.0	812.0
498.0	782.0
499.0	791.0
500.0	769.0
501.0	689.0
502.0	755.0
503.0	759.0
504.0	766.0
505.0	757.0
506.0	718.0
507.0	686.0
508.0	644.0
509.0	628.0
510.0	674.0
511.0	644.0
512.0	658.0
513.0	638.0
514.0	606.0
515.0	658.0
516.0	628.0
517.0	629.0
518.0	620.0
519.0	634.0
520.0	661.0
521.0	611.0
522.0	653.0
523.0	595.0
524.0	633.0
525.0	632.0
526.0	650.0
527.0	665.0
528.0	619.0
529.0	658.0
530.0	668.0
531.0	626.0
532.0	613.0
533.0	648.0
534.0	618.0
535.0	608.0
536.0	596.0
537.0	677.0
538.0	636.0
539.0	566.0
