#Duplication rate	Coverage
1.0	6.7796065E7
2.0	1.5533589E7
3.0	3097931.0
4.0	628380.0
5.0	156065.0
6.0	56387.0
7.0	29912.0
8.0	19704.0
9.0	14153.0
10.0	10695.0
11.0	8129.0
12.0	6446.0
13.0	5322.0
14.0	4359.0
15.0	3687.0
16.0	3144.0
17.0	2650.0
18.0	2219.0
19.0	2052.0
20.0	1784.0
21.0	1572.0
22.0	1306.0
23.0	1244.0
24.0	1080.0
25.0	942.0
26.0	847.0
27.0	722.0
28.0	713.0
29.0	667.0
30.0	591.0
31.0	492.0
32.0	466.0
33.0	465.0
34.0	366.0
35.0	369.0
36.0	328.0
37.0	302.0
38.0	296.0
39.0	267.0
40.0	234.0
41.0	206.0
42.0	220.0
43.0	223.0
44.0	196.0
45.0	183.0
46.0	185.0
47.0	172.0
48.0	159.0
49.0	130.0
50.0	6571.0
