#Coverage (X)	Coverage
1.0	97.59555878675681
2.0	96.81197556775767
3.0	95.93941563151206
4.0	94.82061197012148
5.0	93.30193255830528
6.0	91.23004719703926
7.0	88.46499836390993
8.0	84.91405284789204
9.0	80.53321402023471
10.0	75.36571847095433
11.0	69.52546704562673
12.0	63.17886113304705
13.0	56.52490258216037
14.0	49.78120269316794
15.0	43.16640612026329
16.0	36.855819611753375
17.0	31.000964021353084
18.0	25.702369130256585
19.0	21.019271968798705
20.0	16.968108024589597
21.0	13.537473322445251
22.0	10.684249898468593
23.0	8.35433041101706
24.0	6.4807745143115625
25.0	4.998246200225495
26.0	3.8412867615131034
27.0	2.949377276005009
28.0	2.2701380328093705
29.0	1.7604755908821232
30.0	1.3808291576769562
31.0	1.0994628521068393
32.0	0.89238789327689
33.0	0.7400375901224976
34.0	0.6283347219207798
35.0	0.5459584705671148
36.0	0.4849496853169768
37.0	0.4395656061532236
38.0	0.4049668304738816
39.0	0.37806814578060255
40.0	0.3567837519022703
41.0	0.3396143606397146
42.0	0.32528503819972343
43.0	0.313156832737846
44.0	0.30252766091264505
45.0	0.2931164857375421
46.0	0.2845838057079533
47.0	0.2769001764294359
48.0	0.2698022105812612
49.0	0.2631733185439913
50.0	0.25700976673446974
51.0	0.25119666261653606
