#Insert size (bp)	insert size
1.0	145.0
2.0	144.0
3.0	145.0
4.0	151.0
5.0	148.0
6.0	178.0
7.0	162.0
8.0	164.0
9.0	177.0
10.0	178.0
11.0	196.0
12.0	172.0
13.0	176.0
14.0	161.0
15.0	171.0
16.0	215.0
17.0	239.0
18.0	224.0
19.0	227.0
20.0	226.0
21.0	221.0
22.0	229.0
23.0	236.0
24.0	231.0
25.0	266.0
26.0	259.0
27.0	259.0
28.0	259.0
29.0	280.0
30.0	272.0
31.0	107.0
32.0	100.0
33.0	106.0
34.0	104.0
35.0	107.0
36.0	83.0
37.0	105.0
38.0	136.0
39.0	222.0
40.0	8490.0
41.0	8980.0
42.0	8805.0
43.0	8539.0
44.0	8778.0
45.0	9112.0
46.0	9419.0
47.0	9790.0
48.0	9934.0
49.0	9956.0
50.0	10132.0
51.0	9914.0
52.0	9705.0
53.0	9992.0
54.0	10278.0
55.0	10294.0
56.0	10575.0
57.0	10309.0
58.0	10172.0
59.0	11134.0
60.0	10740.0
61.0	10950.0
62.0	10851.0
63.0	10697.0
64.0	10625.0
65.0	10266.0
66.0	11187.0
67.0	10792.0
68.0	10634.0
69.0	10943.0
70.0	10315.0
71.0	10572.0
72.0	10318.0
73.0	11016.0
74.0	11166.0
75.0	11651.0
76.0	11084.0
77.0	11014.0
78.0	10997.0
79.0	11570.0
80.0	11278.0
81.0	11643.0
82.0	11031.0
83.0	10980.0
84.0	10667.0
85.0	10314.0
86.0	10762.0
87.0	11115.0
88.0	10676.0
89.0	10875.0
90.0	10265.0
91.0	10192.0
92.0	8894.0
93.0	10211.0
94.0	10284.0
95.0	9772.0
96.0	9409.0
97.0	9344.0
98.0	8477.0
99.0	9875.0
100.0	9916.0
101.0	9775.0
102.0	8911.0
103.0	8643.0
104.0	8212.0
105.0	8241.0
106.0	8986.0
107.0	8850.0
108.0	8791.0
109.0	8588.0
110.0	8373.0
111.0	7813.0
112.0	8052.0
113.0	8081.0
114.0	8232.0
115.0	7946.0
116.0	8046.0
117.0	7923.0
118.0	7335.0
119.0	8271.0
120.0	8101.0
121.0	8104.0
122.0	7874.0
123.0	7626.0
124.0	7558.0
125.0	6935.0
126.0	7610.0
127.0	7538.0
128.0	7457.0
129.0	7585.0
130.0	7188.0
131.0	7316.0
132.0	6269.0
133.0	7231.0
134.0	6862.0
135.0	6986.0
136.0	6770.0
137.0	6410.0
138.0	6388.0
139.0	6216.0
140.0	6282.0
141.0	6510.0
142.0	6356.0
143.0	6609.0
144.0	6261.0
145.0	6084.0
146.0	6211.0
147.0	5802.0
148.0	4969.0
149.0	5893.0
150.0	5696.0
151.0	5989.0
152.0	5871.0
153.0	5883.0
154.0	5664.0
155.0	5316.0
156.0	4909.0
157.0	5472.0
158.0	5422.0
159.0	5172.0
160.0	4965.0
161.0	5377.0
162.0	4778.0
163.0	4647.0
164.0	4091.0
165.0	4801.0
166.0	4620.0
167.0	4302.0
168.0	4457.0
169.0	4421.0
170.0	4257.0
171.0	3866.0
172.0	3647.0
173.0	4109.0
174.0	3971.0
175.0	3765.0
176.0	3874.0
177.0	3939.0
178.0	3739.0
179.0	3359.0
180.0	3328.0
181.0	3497.0
182.0	3583.0
183.0	3437.0
184.0	3772.0
185.0	3679.0
186.0	3446.0
187.0	3240.0
188.0	3146.0
189.0	3531.0
190.0	3372.0
191.0	3368.0
192.0	3454.0
193.0	3427.0
194.0	3464.0
195.0	3349.0
196.0	3375.0
197.0	3706.0
198.0	3620.0
199.0	3467.0
200.0	3666.0
201.0	3641.0
202.0	3618.0
203.0	3636.0
204.0	3636.0
205.0	3821.0
206.0	3746.0
207.0	3908.0
208.0	4022.0
209.0	4172.0
210.0	4260.0
211.0	4276.0
212.0	4181.0
213.0	4487.0
214.0	4639.0
215.0	4635.0
216.0	4851.0
217.0	5219.0
218.0	5343.0
219.0	5713.0
220.0	6242.0
221.0	6521.0
222.0	6762.0
223.0	7035.0
224.0	7177.0
225.0	7741.0
226.0	8040.0
227.0	8160.0
228.0	8721.0
229.0	8900.0
230.0	9195.0
231.0	9432.0
232.0	9984.0
233.0	10236.0
234.0	10555.0
235.0	10643.0
236.0	11331.0
237.0	11492.0
238.0	12250.0
239.0	12829.0
240.0	13026.0
241.0	13710.0
242.0	14057.0
243.0	14842.0
244.0	15379.0
245.0	15607.0
246.0	16511.0
247.0	17199.0
248.0	17540.0
249.0	18379.0
250.0	19019.0
251.0	19631.0
252.0	20427.0
253.0	21268.0
254.0	21867.0
255.0	22620.0
256.0	23443.0
257.0	24514.0
258.0	25489.0
259.0	26115.0
260.0	27356.0
261.0	28097.0
262.0	29050.0
263.0	29989.0
264.0	31246.0
265.0	32371.0
266.0	33431.0
267.0	34658.0
268.0	35950.0
269.0	37175.0
270.0	38439.0
271.0	39554.0
272.0	41029.0
273.0	42286.0
274.0	43747.0
275.0	44614.0
276.0	46130.0
277.0	47488.0
278.0	49699.0
279.0	51259.0
280.0	52984.0
281.0	54245.0
282.0	56105.0
283.0	57609.0
284.0	59512.0
285.0	60774.0
286.0	63124.0
287.0	64683.0
288.0	66810.0
289.0	68472.0
290.0	70821.0
291.0	72177.0
292.0	74447.0
293.0	77072.0
294.0	78334.0
295.0	80723.0
296.0	82857.0
297.0	84450.0
298.0	87046.0
299.0	89068.0
300.0	91019.0
301.0	93736.0
302.0	96462.0
303.0	98408.0
304.0	100516.0
305.0	103058.0
306.0	105632.0
307.0	108069.0
308.0	109852.0
309.0	112334.0
310.0	115021.0
311.0	117810.0
312.0	120005.0
313.0	122490.0
314.0	124663.0
315.0	128571.0
316.0	129976.0
317.0	132638.0
318.0	134863.0
319.0	137485.0
320.0	140401.0
321.0	142464.0
322.0	145359.0
323.0	148003.0
324.0	150108.0
325.0	153099.0
326.0	155417.0
327.0	158522.0
328.0	160817.0
329.0	162859.0
330.0	165659.0
331.0	167788.0
332.0	171516.0
333.0	174544.0
334.0	176797.0
335.0	178663.0
336.0	181365.0
337.0	185214.0
338.0	185287.0
339.0	187669.0
340.0	191377.0
341.0	193606.0
342.0	195690.0
343.0	198581.0
344.0	200916.0
345.0	203300.0
346.0	205006.0
347.0	206976.0
348.0	209955.0
349.0	211116.0
350.0	213968.0
351.0	217324.0
352.0	217648.0
353.0	220660.0
354.0	223116.0
355.0	225435.0
356.0	225957.0
357.0	228564.0
358.0	231334.0
359.0	232419.0
360.0	233823.0
361.0	234154.0
362.0	236758.0
363.0	240407.0
364.0	240798.0
365.0	243321.0
366.0	244399.0
367.0	246379.0
368.0	247196.0
369.0	247395.0
370.0	250065.0
371.0	252013.0
372.0	252307.0
373.0	254505.0
374.0	256290.0
375.0	256963.0
376.0	257831.0
377.0	259582.0
378.0	259133.0
379.0	261148.0
380.0	261585.0
381.0	264119.0
382.0	264715.0
383.0	265425.0
384.0	265638.0
385.0	265360.0
386.0	266771.0
387.0	267377.0
388.0	268501.0
389.0	269596.0
390.0	268062.0
391.0	266939.0
392.0	269676.0
393.0	269444.0
394.0	270169.0
395.0	270160.0
396.0	270005.0
397.0	269796.0
398.0	271367.0
399.0	270149.0
400.0	270653.0
401.0	270222.0
402.0	270228.0
403.0	271249.0
404.0	270038.0
405.0	268573.0
406.0	269671.0
407.0	268345.0
408.0	268654.0
409.0	267606.0
410.0	268718.0
411.0	267838.0
412.0	266035.0
413.0	265926.0
414.0	266155.0
415.0	264641.0
416.0	262745.0
417.0	263092.0
418.0	262624.0
419.0	261565.0
420.0	261756.0
421.0	259777.0
422.0	258407.0
423.0	257764.0
424.0	256730.0
425.0	254565.0
426.0	253207.0
427.0	253945.0
428.0	252481.0
429.0	250585.0
430.0	249991.0
431.0	248556.0
432.0	247105.0
433.0	245022.0
434.0	243733.0
435.0	243335.0
436.0	242003.0
437.0	239641.0
438.0	239096.0
439.0	237354.0
440.0	235834.0
441.0	234806.0
442.0	233290.0
443.0	231895.0
444.0	230311.0
445.0	228641.0
446.0	226945.0
447.0	226202.0
448.0	224778.0
449.0	223664.0
450.0	221765.0
451.0	219848.0
452.0	218745.0
453.0	217608.0
454.0	215299.0
455.0	215511.0
456.0	213352.0
457.0	211805.0
458.0	211086.0
459.0	209159.0
460.0	208075.0
461.0	205954.0
462.0	203934.0
463.0	202444.0
464.0	201753.0
465.0	201011.0
466.0	198808.0
467.0	195954.0
468.0	194880.0
469.0	195007.0
470.0	193393.0
471.0	190973.0
472.0	189689.0
473.0	188907.0
474.0	186875.0
475.0	185964.0
476.0	184745.0
477.0	182329.0
478.0	181157.0
479.0	180006.0
480.0	179150.0
481.0	176644.0
482.0	175265.0
483.0	174845.0
484.0	172167.0
485.0	170672.0
486.0	170211.0
487.0	168769.0
488.0	167476.0
489.0	166135.0
490.0	164906.0
491.0	164553.0
492.0	162559.0
493.0	160862.0
494.0	159783.0
495.0	158698.0
496.0	157780.0
497.0	155354.0
498.0	155051.0
499.0	154098.0
500.0	153864.0
501.0	138709.0
502.0	137142.0
503.0	136243.0
504.0	134572.0
505.0	133018.0
506.0	132185.0
507.0	130771.0
508.0	128943.0
509.0	127603.0
510.0	126883.0
511.0	125776.0
512.0	124703.0
513.0	123407.0
514.0	123467.0
515.0	124646.0
516.0	118624.0
517.0	118522.0
518.0	116586.0
519.0	115543.0
520.0	113931.0
521.0	113855.0
