#Mapping quality	mapping quality
0.0	2.8598913E7
1.0	2.3192202E7
2.0	2.2540218E7
3.0	2.4909891E7
4.0	2.0303739E7
5.0	2.0019839E7
6.0	1.9387873E7
7.0	1.7574025E7
8.0	2.9997934E7
9.0	2.00076E7
10.0	2.0686878E7
11.0	2.2970241E7
12.0	1.9453065E7
13.0	2.7802871E7
14.0	2.3051343E7
15.0	2.7797517E7
16.0	2.5603247E7
17.0	2.5029739E7
18.0	3.1378905E7
19.0	2.8912355E7
20.0	3.0850605E7
21.0	3.0157467E7
22.0	2.1527449E7
23.0	9.2598343E7
24.0	3.5608996E7
25.0	2.8658723E7
26.0	3.0124151E7
27.0	2.9046124E7
28.0	2.6237395E7
29.0	2.7808638E7
30.0	2.5032699E7
31.0	2.235785E7
32.0	2.6804223E7
33.0	2.1638051E7
34.0	2.3440199E7
35.0	1.9934479E7
36.0	2.2337825E7
37.0	1.9895364E7
38.0	1.9818665E7
39.0	1.4432544E7
40.0	3.1555893E7
41.0	3.2081412E7
42.0	1.7510473E7
