#Duplication rate	Coverage
1.0	5.9154762E7
2.0	4980315.0
3.0	469378.0
4.0	79515.0
5.0	27281.0
6.0	15060.0
7.0	9399.0
8.0	6379.0
9.0	4448.0
10.0	3182.0
11.0	2327.0
12.0	1815.0
13.0	1327.0
14.0	1115.0
15.0	931.0
16.0	752.0
17.0	665.0
18.0	499.0
19.0	460.0
20.0	391.0
21.0	410.0
22.0	330.0
23.0	290.0
24.0	266.0
25.0	252.0
26.0	237.0
27.0	200.0
28.0	190.0
29.0	177.0
30.0	164.0
31.0	156.0
32.0	131.0
33.0	147.0
34.0	138.0
35.0	138.0
36.0	127.0
37.0	104.0
38.0	117.0
39.0	109.0
40.0	117.0
41.0	97.0
42.0	74.0
43.0	100.0
44.0	89.0
45.0	84.0
46.0	66.0
47.0	83.0
48.0	71.0
49.0	63.0
50.0	3538.0
