#Coverage (X)	Coverage
1.0	96.96593631806425
2.0	94.47718349972658
3.0	90.93822108855251
4.0	86.06843908412327
5.0	79.7249631870398
6.0	71.95571571903201
7.0	63.03619387780475
8.0	53.449982724031905
9.0	43.80192485015314
10.0	34.694743531042775
11.0	26.581594191266873
12.0	19.733169585843314
13.0	14.230874131401379
14.0	10.005662420095959
15.0	6.8879076715568885
16.0	4.66966703857905
17.0	3.1460833107264676
18.0	2.1261411128389653
19.0	1.459517816831891
20.0	1.0327572977956834
21.0	0.7632845759278268
22.0	0.5928641545747695
23.0	0.48535579733920997
24.0	0.41586244436967945
25.0	0.3692985529289956
26.0	0.3368401386473323
27.0	0.31285823093962506
28.0	0.29421543199751454
29.0	0.27901304507842895
30.0	0.2660083809709448
31.0	0.2544724575640913
32.0	0.2440499056248484
33.0	0.23466749601087145
34.0	0.22605301656851395
35.0	0.21802046697334276
36.0	0.21053098401887382
37.0	0.20356437241441938
38.0	0.19705003349666583
39.0	0.19092822993515313
40.0	0.18511784115041507
41.0	0.17964602047449318
42.0	0.1744667769512489
43.0	0.16959818451732644
44.0	0.16498076040473109
45.0	0.1605641012408654
46.0	0.15627463846675482
47.0	0.15224338690947548
48.0	0.14845727902796568
49.0	0.14487236036600848
50.0	0.14142448117667072
51.0	0.13818687060228285
